scenario,network_structure,arm_restricted,num_agents_restricted,prior_ps[0],prior_ps[1],p_increment[0],p_increment[1],max_ps[0],max_ps[1],avg_final_ps[0],avg_final_ps[1],num_agents,n_steps,n_success,n_runs,avg_time_to_converge
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.5,0.5,0.5,0.5,9,100,499,1000,6.103
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.5,0.5,0.5,0.5,9,100,486,1000,45.166
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.5,0.52,0.5,0.5165499999999938,9,100,533,1000,5.452
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.5,0.52,0.5,0.5151933333333293,9,100,652,1000,44.64
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.5,0.54,0.5,0.5312500000000032,9,100,570,1000,5.693
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.5,0.54,0.5,0.5285888888888923,9,100,741,1000,47.392
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.5,0.56,0.5,0.5442999999999977,9,100,588,1000,4.004
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.5,0.56,0.5,0.5430244444444439,9,100,828,1000,51.349
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.5,0.5800000000000001,0.5,0.5558599999999974,9,100,596,1000,2.751
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.5,0.5800000000000001,0.5,0.556487777777777,9,100,876,1000,52.016
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.5,0.6000000000000001,0.5,0.5668900000000048,9,100,592,1000,3.034
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.5,0.6000000000000001,0.5,0.5719177777777832,9,100,893,1000,54.318
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.5,0.6200000000000001,0.5,0.5808000000000006,9,100,602,1000,2.771
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.5,0.6200000000000001,0.5,0.5830866666666684,9,100,894,1000,56.424
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.5,0.6400000000000001,0.5,0.5948399999999919,9,100,613,1000,2.784
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.5,0.6400000000000001,0.5,0.5952855555555496,9,100,882,1000,55.014
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.5,0.6600000000000001,0.5,0.6055800000000006,9,100,611,1000,2.198
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.5,0.6600000000000001,0.5,0.6114211111111132,9,100,901,1000,56.697
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.5,0.6800000000000002,0.5,0.6210199999999961,9,100,625,1000,2.186
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.5,0.6800000000000002,0.5,0.6248044444444414,9,100,902,1000,59.674
