scenario,network_structure,arm_restricted,num_agents_restricted,prior_ps[0],prior_ps[1],p_increment[0],p_increment[1],max_ps[0],max_ps[1],avg_final_ps[0],avg_final_ps[1],num_agents,n_steps,n_success,n_runs,avg_time_to_converge
baseline,complete,N/A,N/A,0.1,0.1,0.01,0.01,0.4,0.9,0.24953000000000133,0.5217799999999985,9,100,521,1000,4.382
restrict_dissemination,star,random,N/A,0.1,0.1,0.01,0.01,0.4,0.9,0.25746555555555695,0.48752777777777445,9,100,527,1000,60.389
baseline,complete,N/A,N/A,0.12000000000000001,0.12000000000000001,0.01,0.01,0.4,0.9,0.2720400000000015,0.49764999999999565,9,100,476,1000,3.873
restrict_dissemination,star,random,N/A,0.12000000000000001,0.12000000000000001,0.01,0.01,0.4,0.9,0.281164444444445,0.49527555555555214,9,100,482,1000,61.471
baseline,complete,N/A,N/A,0.14,0.14,0.01,0.01,0.4,0.9,0.2706399999999991,0.5400999999999917,9,100,518,1000,3.15
restrict_dissemination,star,random,N/A,0.14,0.14,0.01,0.01,0.4,0.9,0.2939566666666662,0.5081611111111067,9,100,489,1000,62.155
baseline,complete,N/A,N/A,0.16000000000000003,0.16000000000000003,0.01,0.01,0.4,0.9,0.2862200000000005,0.5371499999999981,9,100,501,1000,2.787
restrict_dissemination,star,random,N/A,0.16000000000000003,0.16000000000000003,0.01,0.01,0.4,0.9,0.30448444444444484,0.5259877777777742,9,100,494,1000,61.609
baseline,complete,N/A,N/A,0.18000000000000002,0.18000000000000002,0.01,0.01,0.4,0.9,0.2974300000000008,0.5438099999999955,9,100,496,1000,2.523
restrict_dissemination,star,random,N/A,0.18000000000000002,0.18000000000000002,0.01,0.01,0.4,0.9,0.3152511111111111,0.5432122222222177,9,100,504,1000,63.84
baseline,complete,N/A,N/A,0.2,0.2,0.01,0.01,0.4,0.9,0.30796999999999863,0.5503699999999948,9,100,490,1000,2.139
restrict_dissemination,star,random,N/A,0.2,0.2,0.01,0.01,0.4,0.9,0.3259622222222212,0.5493555555555513,9,100,524,1000,59.034
baseline,complete,N/A,N/A,0.22000000000000003,0.22000000000000003,0.01,0.01,0.4,0.9,0.3118300000000011,0.5885699999999979,9,100,531,1000,2.077
restrict_dissemination,star,random,N/A,0.22000000000000003,0.22000000000000003,0.01,0.01,0.4,0.9,0.33124111111111026,0.5804566666666635,9,100,566,1000,57.924
baseline,complete,N/A,N/A,0.24000000000000002,0.24000000000000002,0.01,0.01,0.4,0.9,0.3286799999999998,0.577649999999995,9,100,500,1000,2.151
restrict_dissemination,star,random,N/A,0.24000000000000002,0.24000000000000002,0.01,0.01,0.4,0.9,0.3396233333333323,0.5976566666666628,9,100,593,1000,56.573
baseline,complete,N/A,N/A,0.26,0.26,0.01,0.01,0.4,0.9,0.33815999999999746,0.5945699999999909,9,100,511,1000,2.064
restrict_dissemination,star,random,N/A,0.26,0.26,0.01,0.01,0.4,0.9,0.3477944444444421,0.6268322222222171,9,100,667,1000,57.843
baseline,complete,N/A,N/A,0.28,0.28,0.01,0.01,0.4,0.9,0.347609999999998,0.6105499999999906,9,100,519,1000,1.986
restrict_dissemination,star,random,N/A,0.28,0.28,0.01,0.01,0.4,0.9,0.35515777777777574,0.6453144444444388,9,100,728,1000,55.078
baseline,complete,N/A,N/A,0.30000000000000004,0.30000000000000004,0.01,0.01,0.4,0.9,0.3582899999999995,0.6282699999999929,9,100,533,1000,2.137
restrict_dissemination,star,random,N/A,0.30000000000000004,0.30000000000000004,0.01,0.01,0.4,0.9,0.3661999999999983,0.6474166666666613,9,100,760,1000,52.464
baseline,complete,N/A,N/A,0.32000000000000006,0.32000000000000006,0.01,0.01,0.4,0.9,0.36976999999999655,0.6252699999999952,9,100,510,1000,2.199
restrict_dissemination,star,random,N/A,0.32000000000000006,0.32000000000000006,0.01,0.01,0.4,0.9,0.3731455555555529,0.6828044444444379,9,100,811,1000,55.453
baseline,complete,N/A,N/A,0.3400000000000001,0.3400000000000001,0.01,0.01,0.4,0.9,0.38028999999999713,0.6378999999999949,9,100,515,1000,2.899
restrict_dissemination,star,random,N/A,0.3400000000000001,0.3400000000000001,0.01,0.01,0.4,0.9,0.3819722222222193,0.6809255555555505,9,100,831,1000,52.778
baseline,complete,N/A,N/A,0.3600000000000001,0.3600000000000001,0.01,0.01,0.4,0.9,0.38791999999999827,0.6596299999999948,9,100,538,1000,2.809
restrict_dissemination,star,random,N/A,0.3600000000000001,0.3600000000000001,0.01,0.01,0.4,0.9,0.38826111111110856,0.7071411111111052,9,100,850,1000,58.316
baseline,complete,N/A,N/A,0.38,0.38,0.01,0.01,0.4,0.9,0.39517999999999415,0.6891999999999904,9,100,580,1000,2.806
restrict_dissemination,star,random,N/A,0.38,0.38,0.01,0.01,0.4,0.9,0.3952811111111084,0.7089455555555492,9,100,874,1000,58.964
baseline,complete,N/A,N/A,0.4,0.4,0.01,0.01,0.4,0.9,0.39999999999999436,0.7164799999999903,9,100,620,1000,3.091
restrict_dissemination,star,random,N/A,0.4,0.4,0.01,0.01,0.4,0.9,0.39999999999999436,0.7356722222222156,9,100,909,1000,61.193
