scenario,network_structure,arm_restricted,num_agents_restricted,prior_ps[0],prior_ps[1],p_increment[0],p_increment[1],max_ps[0],max_ps[1],avg_final_ps[0],avg_final_ps[1],num_agents,n_steps,n_success,n_runs,avg_time_to_converge
baseline,complete,N/A,N/A,0.5,0.5,0,0,0.6,0.6,0.5,0.5,9,100,514,1000,6.216
restrict_dissemination,star,random,N/A,0.5,0.5,0,0,0.6,0.6,0.5,0.5,9,100,491,1000,45.552
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.6,0.5,0.5,9,100,500,1000,2.22
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.6,0.5,0.5,9,100,496,1000,53.638
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.6,0.5,0.5,9,100,495,1000,2.284
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.6,0.5,0.5,9,100,511,1000,47.539
baseline,complete,N/A,N/A,0.5,0.5,0,0,0.6,0.62,0.5,0.5,9,100,514,1000,5.635
restrict_dissemination,star,random,N/A,0.5,0.5,0,0,0.6,0.62,0.5,0.5,9,100,522,1000,43.712
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.62,0.5,0.5,9,100,515,1000,2.228
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.62,0.5,0.5,9,100,506,1000,54.264
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.62,0.5,0.5,9,100,502,1000,2.152
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.62,0.5,0.5,9,100,570,1000,46.94
baseline,complete,N/A,N/A,0.5,0.5,0,0,0.6,0.64,0.5,0.5,9,100,505,1000,5.749
restrict_dissemination,star,random,N/A,0.5,0.5,0,0,0.6,0.64,0.5,0.5,9,100,512,1000,45.598
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.64,0.5,0.5,9,100,504,1000,2.29
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.64,0.5,0.5,9,100,506,1000,53.469
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.64,0.5,0.5,9,100,531,1000,1.396
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.64,0.5,0.5,9,100,668,1000,49.173
baseline,complete,N/A,N/A,0.5,0.5,0,0,0.6,0.66,0.5,0.5,9,100,484,1000,5.779
restrict_dissemination,star,random,N/A,0.5,0.5,0,0,0.6,0.66,0.5,0.5,9,100,502,1000,41.598
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.66,0.5,0.5,9,100,500,1000,2.333
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.66,0.5,0.5,9,100,544,1000,51.763
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.66,0.5,0.5,9,100,508,1000,1.568
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.66,0.5,0.5,9,100,663,1000,49.437
baseline,complete,N/A,N/A,0.5,0.5,0,0,0.6,0.68,0.5,0.5,9,100,459,1000,6.118
restrict_dissemination,star,random,N/A,0.5,0.5,0,0,0.6,0.68,0.5,0.5,9,100,527,1000,43.034
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.68,0.5,0.5,9,100,495,1000,2.524
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.68,0.5,0.5,9,100,523,1000,53.515
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.68,0.5,0.5,9,100,514,1000,1.318
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.68,0.5,0.5,9,100,667,1000,52.132
baseline,complete,N/A,N/A,0.5,0.5,0,0,0.6,0.7000000000000001,0.5,0.5,9,100,514,1000,6.696
restrict_dissemination,star,random,N/A,0.5,0.5,0,0,0.6,0.7000000000000001,0.5,0.5,9,100,494,1000,43.653
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.7000000000000001,0.5,0.5,9,100,513,1000,2.159
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.7000000000000001,0.5,0.5,9,100,510,1000,53.053
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.7000000000000001,0.5,0.5,9,100,532,1000,1.555
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.7000000000000001,0.5,0.5,9,100,711,1000,52.422
baseline,complete,N/A,N/A,0.5,0.5,0,0,0.6,0.7200000000000001,0.5,0.5,9,100,546,1000,5.974
restrict_dissemination,star,random,N/A,0.5,0.5,0,0,0.6,0.7200000000000001,0.5,0.5,9,100,501,1000,44.543
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.7200000000000001,0.5,0.5,9,100,500,1000,2.495
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.7200000000000001,0.5,0.5,9,100,501,1000,53.831
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.7200000000000001,0.5,0.5,9,100,519,1000,1.405
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.7200000000000001,0.5,0.5,9,100,734,1000,54.875
baseline,complete,N/A,N/A,0.5,0.5,0,0,0.6,0.7400000000000001,0.5,0.5,9,100,515,1000,5.773
restrict_dissemination,star,random,N/A,0.5,0.5,0,0,0.6,0.7400000000000001,0.5,0.5,9,100,507,1000,44.686
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.7400000000000001,0.5,0.5,9,100,509,1000,2.14
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.7400000000000001,0.5,0.5,9,100,497,1000,55.24
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.7400000000000001,0.5,0.5,9,100,517,1000,1.495
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.7400000000000001,0.5,0.5,9,100,709,1000,53.927
baseline,complete,N/A,N/A,0.5,0.5,0,0,0.6,0.7600000000000001,0.5,0.5,9,100,524,1000,6.195
restrict_dissemination,star,random,N/A,0.5,0.5,0,0,0.6,0.7600000000000001,0.5,0.5,9,100,505,1000,41.739
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.7600000000000001,0.5,0.5,9,100,509,1000,2.373
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.7600000000000001,0.5,0.5,9,100,514,1000,52.851
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.7600000000000001,0.5,0.5,9,100,470,1000,1.232
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.7600000000000001,0.5,0.5,9,100,739,1000,54.02
baseline,complete,N/A,N/A,0.5,0.5,0,0,0.6,0.7800000000000001,0.5,0.5,9,100,498,1000,6.096
restrict_dissemination,star,random,N/A,0.5,0.5,0,0,0.6,0.7800000000000001,0.5,0.5,9,100,503,1000,44.258
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.7800000000000001,0.5,0.5,9,100,507,1000,2.334
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.7800000000000001,0.5,0.5,9,100,517,1000,54.821
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.7800000000000001,0.5,0.5,9,100,518,1000,1.679
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.7800000000000001,0.5,0.5,9,100,731,1000,54.71
baseline,complete,N/A,N/A,0.5,0.5,0,0,0.6,0.8000000000000002,0.5,0.5,9,100,521,1000,5.652
restrict_dissemination,star,random,N/A,0.5,0.5,0,0,0.6,0.8000000000000002,0.5,0.5,9,100,508,1000,43.234
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.8000000000000002,0.5,0.5,9,100,486,1000,2.29
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.8000000000000002,0.5,0.5,9,100,510,1000,53.472
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.8000000000000002,0.5,0.5,9,100,531,1000,1.255
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.8000000000000002,0.5,0.5,9,100,752,1000,54.632
baseline,complete,N/A,N/A,0.5,0.5,0,0,0.6,0.8200000000000002,0.5,0.5,9,100,502,1000,6.113
restrict_dissemination,star,random,N/A,0.5,0.5,0,0,0.6,0.8200000000000002,0.5,0.5,9,100,532,1000,44.52
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.8200000000000002,0.5,0.5,9,100,498,1000,2.384
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.8200000000000002,0.5,0.5,9,100,503,1000,53.114
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.8200000000000002,0.5,0.5,9,100,520,1000,0.95
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.8200000000000002,0.5,0.5,9,100,752,1000,55.393
baseline,complete,N/A,N/A,0.5,0.5,0,0,0.6,0.8400000000000002,0.5,0.5,9,100,521,1000,5.793
restrict_dissemination,star,random,N/A,0.5,0.5,0,0,0.6,0.8400000000000002,0.5,0.5,9,100,531,1000,43.284
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.8400000000000002,0.5,0.5,9,100,481,1000,2.316
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.8400000000000002,0.5,0.5,9,100,525,1000,51.879
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.8400000000000002,0.5,0.5,9,100,525,1000,1.278
