scenario,network_structure,arm_restricted,num_agents_restricted,prior_ps[0],prior_ps[1],p_increment[0],p_increment[1],max_ps[0],max_ps[1],avg_final_ps[0],avg_final_ps[1],num_agents,n_steps,n_success,n_runs,avg_time_to_converge
baseline,complete,N/A,N/A,0.1,0.1,0.001,0.001,0.6,0.9,0.09999999999999859,0.09999999999999859,9,100,517,1000,12.329
restrict_dissemination,star,random,N/A,0.1,0.1,0.001,0.001,0.6,0.9,0.09999999999999859,0.09999999999999859,9,100,529,1000,49.408
baseline,complete,N/A,N/A,0.12000000000000001,0.12000000000000001,0.001,0.001,0.6,0.9,0.12000000000000152,0.12000000000000152,9,100,499,1000,10.642
restrict_dissemination,star,random,N/A,0.12000000000000001,0.12000000000000001,0.001,0.001,0.6,0.9,0.12000000000000152,0.12000000000000152,9,100,509,1000,52.879
baseline,complete,N/A,N/A,0.14,0.14,0.001,0.001,0.6,0.9,0.13999999999999932,0.13999999999999932,9,100,490,1000,8.93
restrict_dissemination,star,random,N/A,0.14,0.14,0.001,0.001,0.6,0.9,0.13999999999999932,0.13999999999999932,9,100,481,1000,49.459
baseline,complete,N/A,N/A,0.16000000000000003,0.16000000000000003,0.001,0.001,0.6,0.9,0.1599999999999973,0.1599999999999973,9,100,497,1000,8.339
restrict_dissemination,star,random,N/A,0.16000000000000003,0.16000000000000003,0.001,0.001,0.6,0.9,0.1599999999999973,0.1599999999999973,9,100,472,1000,50.269
baseline,complete,N/A,N/A,0.18000000000000002,0.18000000000000002,0.001,0.001,0.6,0.9,0.1800000000000043,0.1800000000000043,9,100,486,1000,7.168
restrict_dissemination,star,random,N/A,0.18000000000000002,0.18000000000000002,0.001,0.001,0.6,0.9,0.1800000000000043,0.1800000000000043,9,100,476,1000,50.681
baseline,complete,N/A,N/A,0.2,0.2,0.001,0.001,0.6,0.9,0.19999999999999718,0.19999999999999718,9,100,493,1000,6.316
restrict_dissemination,star,random,N/A,0.2,0.2,0.001,0.001,0.6,0.9,0.19999999999999718,0.19999999999999718,9,100,524,1000,50.838
baseline,complete,N/A,N/A,0.22000000000000003,0.22000000000000003,0.001,0.001,0.6,0.9,0.21999999999999897,0.21999999999999897,9,100,508,1000,5.398
restrict_dissemination,star,random,N/A,0.22000000000000003,0.22000000000000003,0.001,0.001,0.6,0.9,0.21999999999999897,0.21999999999999897,9,100,489,1000,51.211
baseline,complete,N/A,N/A,0.24000000000000002,0.24000000000000002,0.001,0.001,0.6,0.9,0.24000000000000304,0.24000000000000304,9,100,495,1000,5.078
restrict_dissemination,star,random,N/A,0.24000000000000002,0.24000000000000002,0.001,0.001,0.6,0.9,0.24000000000000304,0.24000000000000304,9,100,483,1000,51.157
baseline,complete,N/A,N/A,0.26,0.26,0.001,0.001,0.6,0.9,0.25999999999999646,0.25999999999999646,9,100,485,1000,4.63
restrict_dissemination,star,random,N/A,0.26,0.26,0.001,0.001,0.6,0.9,0.25999999999999646,0.25999999999999646,9,100,518,1000,50.838
baseline,complete,N/A,N/A,0.28,0.28,0.001,0.001,0.6,0.9,0.27999999999999864,0.27999999999999864,9,100,511,1000,4.721
restrict_dissemination,star,random,N/A,0.28,0.28,0.001,0.001,0.6,0.9,0.27999999999999864,0.27999999999999864,9,100,507,1000,53.07
baseline,complete,N/A,N/A,0.30000000000000004,0.30000000000000004,0.001,0.001,0.6,0.9,0.30000000000000565,0.30000000000000565,9,100,490,1000,4.063
