scenario,network_structure,which_arm_restricted,ps[0],ps[1],num_agents,epsilon,n_steps,n_success,n_runs,avg_time_to_converge,min_time_to_converge,median_time_to_converge,max_time_to_converge,stnd_dev_time_to_converge
baseline,complete,N/A,0.5,0.6,3,0.1,1000,1000,1000,67.033,0,23.0,778,105.2072711888299
restrict_dissemination,star,random,0.5,0.6,3,0.1,1000,1000,1000,59.057,0,20.0,770,93.30589344194716
baseline,complete,N/A,0.5,0.6,4,0.1,1000,1000,1000,51.376,0,19.0,752,81.01308921402763
restrict_dissemination,star,random,0.5,0.6,4,0.1,1000,1000,1000,37.171,0,12.0,802,68.55210980706575
baseline,complete,N/A,0.5,0.6,5,0.1,1000,1000,1000,35.051,0,12.0,786,62.00663189530617
restrict_dissemination,star,random,0.5,0.6,5,0.1,1000,1000,1000,25.561,0,9.0,621,44.29025038312608
baseline,complete,N/A,0.5,0.6,6,0.1,1000,1000,1000,28.02,0,8.0,487,49.82545132760967
restrict_dissemination,star,random,0.5,0.6,6,0.1,1000,1000,1000,20.728,0,7.0,204,31.21409963462025
baseline,complete,N/A,0.5,0.6,7,0.1,1000,1000,1000,22.658,0,6.5,334,38.89669698059207
restrict_dissemination,star,random,0.5,0.6,7,0.1,1000,1000,1000,16.442,0,5.0,227,28.57954926166611
baseline,complete,N/A,0.5,0.6,8,0.1,1000,1000,1000,18.255,0,3.0,296,33.93697062202223
restrict_dissemination,star,random,0.5,0.6,8,0.1,1000,1000,1000,14.273,0,4.0,180,23.878828928571853
baseline,complete,N/A,0.5,0.6,9,0.1,1000,1000,1000,15.081,0,5.0,206,25.47525150023057
restrict_dissemination,star,random,0.5,0.6,9,0.1,1000,1000,1000,11.431,0,4.0,229,19.019916903078204
baseline,complete,N/A,0.5,0.6,10,0.1,1000,1000,1000,16.344,0,5.0,250,30.591954236367446
restrict_dissemination,star,random,0.5,0.6,10,0.1,1000,1000,1000,10.88,0,4.0,136,17.05830003253548
baseline,complete,N/A,0.5,0.6,12,0.1,1000,1000,1000,11.146,0,2.5,158,19.869491286895094
restrict_dissemination,star,random,0.5,0.6,12,0.1,1000,1000,1000,9.512,0,3.0,140,15.872046370900003
baseline,complete,N/A,0.5,0.6,14,0.1,1000,1000,1000,10.227,0,3.0,156,18.69495843803885
restrict_dissemination,star,random,0.5,0.6,14,0.1,1000,1000,1000,6.183,0,1.0,135,11.697329225083818
baseline,complete,N/A,0.5,0.6,16,0.1,1000,1000,1000,8.516,0,2.0,142,15.999679496789929
restrict_dissemination,star,random,0.5,0.6,16,0.1,1000,1000,1000,5.545,0,1.0,80,9.829444287445755
baseline,complete,N/A,0.5,0.6,18,0.1,1000,1000,1000,7.164,0,1.0,274,15.411525038100544
restrict_dissemination,star,random,0.5,0.6,18,0.1,1000,1000,1000,4.838,0,1.0,122,9.28933560595159
baseline,complete,N/A,0.5,0.6,20,0.1,1000,1000,1000,6.319,0,1.0,128,11.944171758644465
restrict_dissemination,star,random,0.5,0.6,20,0.1,1000,1000,1000,4.064,0,1.0,60,6.984690687496476
baseline,complete,N/A,0.5,0.6,25,0.1,1000,1000,1000,4.601,0,1.0,96,9.377195689543862
restrict_dissemination,star,random,0.5,0.6,25,0.1,1000,1000,1000,3.325,0,0.0,44,5.926666432320955
baseline,complete,N/A,0.5,0.6,30,0.1,1000,1000,1000,3.515,0,0.0,86,7.166712984346449
restrict_dissemination,star,random,0.5,0.6,30,0.1,1000,1000,1000,2.51,0,0.0,37,4.745092201422434
