scenario,network_structure,which_arm_restricted,ps[0],ps[1],num_agents,default,n_steps,n_success,n_runs,avg_total_succ_pulls,min_total_succ_pulls,median_total_succ_pulls,max_total_succ_pulls,stnd_dev_total_succ_pulls,avg_ca_time_to_converge,min_ca_time_to_converge,median_ca_time_to_converge,max_ca_time_to_converge,stnd_dev_ca_time_to_converge,avg_group_time_to_converge,min_group_time_to_converge,median_group_time_to_converge,max_group_time_to_converge,stnd_dev_group_time_to_converge,times_group_converged,avg_group_time_to_converge_succ,min_group_time_to_converge_succ,median_group_time_to_converge_succ,max_group_time_to_converge_succ,stnd_dev_group_time_to_converge_succ,times_group_converged_succ
baseline,complete,N/A,0.5,0.6,2,N/A,1000,662,1000,1314.226,0,1994.0,2000,939.748643480798,17.447,1,3.0,954,69.97457531846835,18.243,1,3.0,955,70.11520484887711,1000,13.277945619335348,1,3.0,955,57.882901612676456,662
restrict_dissemination,star,random,0.5,0.6,2,-1,1000,643,1000,1277.549,0,1995.0,2000,951.0397297689514,14.818,1,3.0,970,62.142327571470965,16.066,1,3.0,970,63.17891771785902,1000,11.96578538102644,1,3.0,731,44.66027364922445,643
baseline,complete,N/A,0.5,0.6,3,N/A,1000,687,1000,2051.213,0,2995.0,3000,1384.2678792889042,10.506,1,2.0,887,46.05071078713118,11.289,1,2.0,887,46.83440486437295,1000,12.190684133915575,1,2.0,887,52.02087841380513,687
restrict_dissemination,star,random,0.5,0.6,3,-1,1000,779,1000,2162.069,0,2974.0,3000,1209.4955081516425,18.779,1,2.0,886,66.10791298324278,29.26674500587544,1,4.0,887,88.49735567284137,851,23.906349206349205,1,4.0,716,69.65538157177664,630
baseline,complete,N/A,0.5,0.6,4,N/A,1000,734,1000,2927.134,0,3996.0,4000,1760.7544729586803,7.256,1,1.0,353,22.074384793239425,7.54,1,1.0,353,22.160875433971462,1000,6.784741144414169,1,1.0,227,19.307422197395244,734
restrict_dissemination,star,random,0.5,0.6,4,-1,1000,859,1000,3033.204,0,3965.0,4000,1419.0224136298905,15.444,1,2.0,866,49.78199337109755,31.60681520314548,1,6.0,919,89.22783687619818,763,28.54823151125402,1,6.0,919,75.23788696618288,622
baseline,complete,N/A,0.5,0.6,5,N/A,1000,689,1000,3422.927,0,4993.0,5000,2304.252006979922,13.867,1,1.0,895,68.9115470077403,14.538,1,1.0,895,69.71229845586788,1000,14.452830188679245,1,2.0,895,66.09471934997755,689
restrict_dissemination,star,random,0.5,0.6,5,-1,1000,886,1000,3760.148,0,4947.0,5000,1711.4487144217908,15.914,1,2.0,654,48.53834158683216,39.83474576271186,1,7.5,917,102.14158546839533,708,39.27272727272727,1,8.0,856,94.52067468584337,594
baseline,complete,N/A,0.5,0.6,6,N/A,1000,733,1000,4382.6,0,5994.0,6000,2643.9663072739786,8.524,1,1.0,773,35.0428227173554,8.84,1,1.0,773,35.40509002954236,1000,8.147339699863574,1,1.0,350,25.86469376935062,733
restrict_dissemination,star,random,0.5,0.6,6,-1,1000,935,1000,4607.904,0,5933.5,6000,1872.075153615367,15.613,1,2.0,813,41.38373147747796,44.43451463790447,1,9.0,900,106.26858917868395,649,44.428082191780824,1,10.0,900,105.25810562817287,584
baseline,complete,N/A,0.5,0.6,7,N/A,1000,740,1000,5161.982,0,6993.0,7000,3058.624231198726,7.838,1,1.0,304,27.59495888744899,8.288,1,1.0,304,27.917970126783935,1000,8.536486486486487,1,2.0,276,25.377315228285347,740
restrict_dissemination,star,random,0.5,0.6,7,-1,1000,941,1000,5360.838,0,6934.0,7000,2211.180632095895,15.446,1,2.0,627,44.50742729028493,41.17719568567026,1,11.0,952,92.38539414654211,649,39.52542372881356,1,11.0,912,84.88447901332037,590
baseline,complete,N/A,0.5,0.6,8,N/A,1000,750,1000,5964.273,0,7992.0,8000,3457.900866779006,9.92,1,1.0,882,51.612165232627085,10.04,1,1.0,883,51.626547434435324,1000,11.664,1,1.0,883,58.91142874971998,750
restrict_dissemination,star,random,0.5,0.6,8,-1,1000,967,1000,6142.703,0,7904.5,8000,2388.834389151119,17.824,1,3.0,899,63.47080450096722,49.18151815181518,1,15.5,957,111.06686382211112,606,47.78010471204188,1,16.0,957,106.2256011874398,573
baseline,complete,N/A,0.5,0.6,9,N/A,1000,750,1000,6730.072,0,8991.0,9000,3885.527480383583,8.082,1,1.0,547,36.71489174708269,8.225,1,1.0,547,36.71904648816469,1000,8.698666666666666,1,1.0,542,35.965129383272846,750
restrict_dissemination,star,random,0.5,0.6,9,-1,1000,976,1000,6636.04,0,8797.5,9000,2730.9409364539542,14.141,1,2.0,374,33.83411176608601,54.307129798903105,1,15.0,985,116.96563036952352,547,54.237093690248564,1,16.0,985,113.94915675764776,523
baseline,complete,N/A,0.5,0.6,10,N/A,1000,771,1000,7665.492,0,9990.0,10000,4192.047514990259,8.918,1,1.0,734,45.94302205993854,9.641,1,1.0,734,50.51106927199225,1000,9.163424124513618,1,1.0,734,43.928125008300675,771
restrict_dissemination,star,random,0.5,0.6,10,-1,1000,978,1000,7469.926,0,9875.0,10000,3078.672080706875,12.996,1,3.0,345,28.008998268413674,52.83128295254833,1,19.0,957,111.16407388928128,569,54.24680073126142,1,19.0,957,113.04314493915776,547
baseline,complete,N/A,0.5,0.6,12,N/A,1000,806,1000,9644.076,0,12000.0,12000,4732.371838330542,6.924,1,1.0,797,34.57389512334414,6.993,1,1.0,797,34.569624686999425,1000,7.36848635235732,1,1.0,797,36.11024544015968,806
restrict_dissemination,star,random,0.5,0.6,12,-1,1000,991,1000,8937.158,0,11858.0,12000,3626.323584435895,12.848,1,2.0,465,32.89676117796401,64.75675675675676,1,23.0,984,122.83894210546377,555,65.37362637362638,1,23.0,984,123.58405201517888,546
baseline,complete,N/A,0.5,0.6,14,N/A,1000,820,1000,11448.807,0,14000.0,14000,5365.124737016931,5.286,1,1.0,341,20.366349795680126,5.409,1,1.0,341,20.516669295965173,1000,5.341463414634147,1,1.0,244,17.904570551647012,820
restrict_dissemination,star,random,0.5,0.6,14,-1,1000,995,1000,10040.613,0,13699.0,14000,4335.459160369406,12.403,1,2.0,279,28.45309457686457,69.955078125,1,24.5,972,129.38925017230042,512,69.95266272189349,1,24.0,972,129.6134509777804,507
baseline,complete,N/A,0.5,0.6,16,N/A,1000,820,1000,13088.108,0,16000.0,16000,6136.19966822593,5.336,1,1.0,420,22.84327262018295,5.41,1,1.0,421,22.89440761408777,1000,5.836585365853659,1,1.0,421,24.80131050921342,820
