scenario,network_structure,which_arm_restricted,ps[0],ps[1],num_agents,default,n_steps,n_success,n_runs,avg_total_succ_pulls,min_total_succ_pulls,median_total_succ_pulls,max_total_succ_pulls,stnd_dev_total_succ_pulls,avg_ca_time_to_converge,min_ca_time_to_converge,median_ca_time_to_converge,max_ca_time_to_converge,stnd_dev_ca_time_to_converge,avg_group_time_to_converge,min_group_time_to_converge,median_group_time_to_converge,max_group_time_to_converge,stnd_dev_group_time_to_converge,times_group_converged
baseline,complete,N/A,0.5,0.51,9,N/A,1000,483,1000,4334.731,0,105.0,9000,4471.949494195904,14.712,1,1.0,973,66.93354208466783,15.224,1,1.0,973,67.25552634542383,1000
restrict_dissemination,star,random,0.5,0.51,9,-1,1000,687,1000,4985.191,0,6551.5,9000,3705.19311568493,143.156,1,29.0,976,233.0790502469066,279.034632034632,1,134.0,1000,309.8211958594776,693
baseline,complete,N/A,0.5,0.53,9,N/A,1000,603,1000,5408.321,0,8978.0,9000,4383.869049134451,13.289,1,1.0,922,61.67211265231636,13.607,1,1.0,922,61.951178770060544,1000
restrict_dissemination,star,random,0.5,0.53,9,-1,1000,844,1000,5590.519,0,7669.5,9000,3491.3950480630233,94.484,1,16.0,960,173.24794297191525,207.85954198473283,1,83.0,996,262.0504382365023,655
baseline,complete,N/A,0.5,0.55,9,N/A,1000,668,1000,5984.74,0,8982.5,9000,4223.01443146954,11.599,1,1.0,996,56.427902663487316,12.732,1,1.0,996,62.255250188237135,1000
restrict_dissemination,star,random,0.5,0.55,9,-1,1000,916,1000,6030.421,0,8485.0,9000,3270.7874238108166,47.806,1,6.0,887,108.6500361895936,116.88235294117646,1,40.5,1000,183.2827092735337,612
baseline,complete,N/A,0.5,0.5700000000000001,9,N/A,1000,705,1000,6313.485,0,8991.0,9000,4088.5425791808752,10.255,1,1.0,988,52.820866852031116,10.99,1,1.0,988,54.00690603987605,1000
restrict_dissemination,star,random,0.5,0.5700000000000001,9,-1,1000,943,1000,6119.594,0,8213.0,9000,3107.4781510356597,26.836,1,4.0,880,64.1221420727661,80.25357142857143,1,26.5,990,140.47263328325062,560
baseline,complete,N/A,0.5,0.5900000000000001,9,N/A,1000,741,1000,6637.791,0,8991.0,9000,3927.7148253557057,8.309,1,1.0,540,32.23084732054062,8.578,1,1.0,540,32.35796526359468,1000
restrict_dissemination,star,random,0.5,0.5900000000000001,9,-1,1000,962,1000,6599.367,0,8841.5,9000,2884.2787514924767,16.18,1,3.5,391,37.64446307227664,60.06357388316151,1,24.0,980,106.5195128194001,582
baseline,complete,N/A,0.5,0.6100000000000001,9,N/A,1000,785,1000,7042.095,0,8994.0,9000,3686.9084160004572,7.766,1,1.0,792,42.5474234707579,8.204,1,1.0,792,43.1533357227457,1000
restrict_dissemination,star,random,0.5,0.6100000000000001,9,-1,1000,973,1000,6903.814,0,8920.0,9000,2647.8478274636554,9.781,1,2.0,311,22.920799266168707,34.3481228668942,1,13.5,980,73.5585367761883,586
baseline,complete,N/A,0.5,0.6300000000000001,9,N/A,1000,824,1000,7391.704,0,8997.0,9000,3420.8208533017337,5.524,1,1.0,556,25.474878292152837,5.628,1,1.0,556,25.468796909159252,1000
restrict_dissemination,star,random,0.5,0.6300000000000001,9,-1,1000,984,1000,7019.52,0,8922.0,9000,2489.697399203365,8.049,1,2.0,169,16.70085623553475,39.01045296167247,1,11.0,999,98.61732199444376,574
baseline,complete,N/A,0.5,0.6500000000000001,9,N/A,1000,832,1000,7464.539,0,9000.0,9000,3357.0310511639595,4.655,1,1.0,435,21.04371580781303,4.914,1,1.0,435,21.395013531194603,1000
restrict_dissemination,star,random,0.5,0.6500000000000001,9,-1,1000,984,1000,7205.944,0,8956.0,9000,2384.429519793781,7.34,1,1.0,384,23.846936910219732,23.10472972972973,1,8.0,802,56.837093943127734,592
baseline,complete,N/A,0.5,0.6700000000000002,9,N/A,1000,867,1000,7790.473,0,9000.0,9000,3050.866797038343,3.042,1,1.0,111,7.3753803969693665,3.268,1,1.0,111,8.179864057550102,1000
restrict_dissemination,star,random,0.5,0.6700000000000002,9,-1,1000,985,1000,7524.406,0,8971.0,9000,2105.5550767348736,7.271,1,1.0,651,37.730247269266606,23.113114754098362,1,7.0,843,64.35247705732128,610
baseline,complete,N/A,0.5,0.6900000000000002,9,N/A,1000,891,1000,7997.862,0,9000.0,9000,2802.8074009742445,3.867,1,1.0,419,20.38085648347488,4.161,1,1.0,420,21.397922305681924,1000
restrict_dissemination,star,random,0.5,0.6900000000000002,9,-1,1000,988,1000,7543.599,0,8971.5,9000,2014.9580224409142,3.973,1,1.0,208,9.333502611560142,12.512776831345827,1,6.0,238,21.90472844078044,587
baseline,complete,N/A,0.5,0.7100000000000002,9,N/A,1000,907,1000,8142.18,0,9000.0,9000,2618.0094502503234,3.797,1,1.0,765,27.07049668920022,3.907,1,1.0,765,27.073388243808715,1000
restrict_dissemination,star,random,0.5,0.7100000000000002,9,-1,1000,984,1000,7692.86,1,8982.0,9000,1872.9210795973224,2.845,1,1.0,48,4.83062884105165,11.691275167785236,1,4.0,820,41.9641744503585,596
baseline,complete,N/A,0.5,0.7300000000000002,9,N/A,1000,912,1000,8196.014,0,9000.0,9000,2547.919787160499,2.856,1,1.0,257,12.560862390775561,3.06,1,1.0,258,12.977380321158812,1000
