scenario,network_structure,which_arm_restricted,ps[0],ps[1],num_agents,epsilon,n_steps,n_success,n_runs,avg_total_succ_pulls,min_total_succ_pulls,median_total_succ_pulls,max_total_succ_pulls,stnd_dev_total_succ_pulls,avg_ca_time_to_converge,min_ca_time_to_converge,median_ca_time_to_converge,max_ca_time_to_converge,stnd_dev_ca_time_to_converge,avg_group_time_to_converge,min_group_time_to_converge,median_group_time_to_converge,max_group_time_to_converge,stnd_dev_group_time_to_converge,times_group_converged,avg_group_time_to_converge_succ,min_group_time_to_converge_succ,median_group_time_to_converge_succ,max_group_time_to_converge_succ,stnd_dev_group_time_to_converge_succ,times_group_converged_succ
baseline,complete,N/A,0.5,0.51,9,0.1,1000,708,1000,5842.713,856,7394.5,8150,2657.4902597433916,990.594,935,995.0,1000,11.59427289656406,999.4419263456091,994,1000.0,1000,0.9173485163906023,353,999.3917910447761,994,1000.0,1000,0.9809033688515303,268
restrict_dissemination,star,random,0.5,0.51,9,0.1,1000,741,1000,5275.878,1136,5432.0,8068,1751.0511326389071,991.3,954,994.0,1000,8.567263273648127,999.1594202898551,994,1000.0,1000,1.14996141593492,69,999.0655737704918,994,999.0,1000,1.1855530971648882,61
baseline,complete,N/A,0.5,0.53,9,0.1,1000,875,1000,7384.436,883,7958.0,8178,1386.652006778918,990.602,949,993.0,1000,9.032142381517245,999.3618784530387,995,1000.0,1000,0.9827151510479852,362,999.3649025069637,995,1000.0,1000,0.9834249905018562,359
restrict_dissemination,star,random,0.5,0.53,9,0.1,1000,914,1000,6261.931,1428,6673.5,8105,1386.434314433612,991.069,956,994.0,1000,9.249012866246863,999.2435897435897,993,1000.0,1000,1.1512078098385485,156,999.2387096774194,993,1000.0,1000,1.153305884880458,155
baseline,complete,N/A,0.5,0.55,9,0.1,1000,902,1000,7803.577,2373,8028.0,8181,590.9052411943898,991.523,956,994.0,1000,8.890864468655453,999.3430079155672,993,1000.0,1000,1.0136391386323946,379,999.3430079155672,993,1000.0,1000,1.0136391386323946,379
restrict_dissemination,star,random,0.5,0.55,9,0.1,1000,914,1000,7011.491,2439,7473.0,8157,1032.3687499721211,991.071,959,993.5,1000,8.431604770149038,999.4193548387096,995,1000.0,1000,0.8898783370408853,248,999.4193548387096,995,1000.0,1000,0.8898783370408853,248
baseline,complete,N/A,0.5,0.5700000000000001,9,0.1,1000,901,1000,7941.354,3487,8060.5,8185,389.40218885363237,990.832,946,994.0,1000,9.435347158425067,999.3032581453634,994,1000.0,1000,0.9966180461200767,399,999.3032581453634,994,1000.0,1000,0.9966180461200767,399
restrict_dissemination,star,random,0.5,0.5700000000000001,9,0.1,1000,919,1000,7412.471,4494,7732.0,8125,714.2790933234712,990.881,936,994.0,1000,9.287779013305604,999.3636363636364,995,1000.0,1000,1.096811682910332,352,999.3636363636364,995,1000.0,1000,1.096811682910332,352
baseline,complete,N/A,0.5,0.5900000000000001,9,0.1,1000,888,1000,8013.21,5792,8071.0,8182,199.9873743514825,991.195,938,994.0,1000,8.833287892964885,999.3746701846966,994,1000.0,1000,0.959326987283571,379,999.3746701846966,994,1000.0,1000,0.959326987283571,379
restrict_dissemination,star,random,0.5,0.5900000000000001,9,0.1,1000,897,1000,7666.447,4598,7909.0,8152,517.0885254876578,991.524,933,995.0,1000,8.5217031161617,999.4675675675676,995,1000.0,1000,0.8793591198428774,370,999.4675675675676,995,1000.0,1000,0.8793591198428774,370
