scenario,network_structure,which_arm_restricted,ps[0],ps[1],num_agents,inertia,n_steps,n_success,n_runs,avg_total_succ_pulls,min_total_succ_pulls,median_total_succ_pulls,max_total_succ_pulls,stnd_dev_total_succ_pulls,avg_ca_time_to_converge,min_ca_time_to_converge,median_ca_time_to_converge,max_ca_time_to_converge,stnd_dev_ca_time_to_converge,avg_group_time_to_converge,min_group_time_to_converge,median_group_time_to_converge,max_group_time_to_converge,stnd_dev_group_time_to_converge,times_group_converged,avg_group_time_to_converge_succ,min_group_time_to_converge_succ,median_group_time_to_converge_succ,max_group_time_to_converge_succ,stnd_dev_group_time_to_converge_succ,times_group_converged_succ
baseline,complete,N/A,0.5,0.51,9,5,1000,579,1000,5153.22,3,8873.0,8998,4374.469887152041,31.719,1,4.0,991,110.47241302243741,33.579,3,5.0,991,110.02808622801726,1000,37.30742659758204,3,5.0,991,116.81422653074061,579
restrict_dissemination,star,random,0.5,0.51,9,-1,1000,678,1000,5040.87,2,5739.0,8998,3309.7494196842154,164.015,1,51.0,981,231.01996185394887,354.71478260869566,3,247.0,1000,321.4091614839601,575,356.6957671957672,3,279.5,1000,316.17491480914504,378
baseline,complete,N/A,0.5,0.53,9,5,1000,641,1000,5708.773,3,8932.0,9000,4260.663344770506,22.015,1,4.0,778,70.42369469858849,24.965,1,5.0,881,75.36651627214833,1000,27.346333853354135,1,6.0,781,78.46675333486829,641
restrict_dissemination,star,random,0.5,0.53,9,-1,1000,921,1000,6060.082,6,7775.0,9000,3039.9543347353097,88.581,1,20.0,902,159.38259452964115,222.59278350515464,1,103.5,997,264.0402658871898,582,225.78252427184466,1,105.0,997,263.4827149052139,515
baseline,complete,N/A,0.5,0.55,9,5,1000,742,1000,6608.45,2,8957.0,8997,3893.2938385767907,22.54,1,4.0,855,71.05147711342813,24.8,3,5.0,855,71.24630516735587,1000,28.911051212938006,3,6.0,855,80.38639947272642,742
restrict_dissemination,star,random,0.5,0.55,9,-1,1000,964,1000,6634.7,5,8460.5,8998,2735.6015437194064,40.6,1,11.0,920,78.31633290699968,135.74655172413793,3,54.0,997,197.95649880502503,580,139.37867647058823,3,57.5,994,197.55213381464358,544
baseline,complete,N/A,0.5,0.5700000000000001,9,5,1000,788,1000,7027.972,2,8965.0,9000,3653.983474130117,14.773,1,4.0,812,52.647217124934535,18.027,1,5.0,829,59.97171225669649,1000,19.416243654822335,1,6.0,812,60.30179463872773,788
restrict_dissemination,star,random,0.5,0.5700000000000001,9,-1,1000,977,1000,6881.105,2,8562.5,8997,2477.722723787914,26.544,1,6.0,547,54.80848532845986,93.9544626593807,3,43.0,933,137.18587142257667,549,96.292220113852,3,45.0,933,138.95733306974725,527
baseline,complete,N/A,0.5,0.5900000000000001,9,5,1000,845,1000,7551.936,3,8976.0,9000,3236.288693844231,12.159,1,4.0,718,39.11462282829786,14.013,1,5.0,718,38.82520870516989,1000,14.407100591715976,1,5.0,718,39.942946847172344,845
restrict_dissemination,star,random,0.5,0.5900000000000001,9,-1,1000,992,1000,7334.467,5,8827.5,9000,2185.969691672554,14.867,1,4.0,347,28.085179561469783,66.78829604130809,1,27.0,982,111.15876103850887,581,65.94240837696336,1,28.0,939,104.97618029060523,573
baseline,complete,N/A,0.5,0.6100000000000001,9,5,1000,877,1000,7837.07,2,8980.0,9000,2946.822329747757,12.108,1,3.0,981,54.48567092364744,13.727,1,5.0,981,54.221808075718016,1000,14.921322690992017,1,5.0,981,57.786237341365364,877
restrict_dissemination,star,random,0.5,0.6100000000000001,9,-1,1000,988,1000,7535.154,2,8883.0,9000,2003.3546082219193,13.227,1,4.0,340,26.159232997165645,50.58974358974359,1,22.0,989,87.83622618173428,585,51.15853658536585,1,22.5,989,88.36697489962347,574
baseline,complete,N/A,0.5,0.6300000000000001,9,5,1000,904,1000,8085.287,3,8983.0,8998,2640.0364225955295,10.226,1,3.0,971,46.926271149538394,11.94,3,4.0,971,46.68280625669369,1000,11.789823008849558,3,5.0,971,42.57115420992405,904
