scenario,network_structure,which_arm_restricted,ps[0],ps[1],num_agents,default,n_steps,n_success,n_runs,avg_total_succ_pulls,min_total_succ_pulls,median_total_succ_pulls,max_total_succ_pulls,stnd_dev_total_succ_pulls,avg_ca_time_to_converge,min_ca_time_to_converge,median_ca_time_to_converge,max_ca_time_to_converge,stnd_dev_ca_time_to_converge,avg_group_time_to_converge,min_group_time_to_converge,median_group_time_to_converge,max_group_time_to_converge,stnd_dev_group_time_to_converge,times_group_converged,avg_group_time_to_converge_succ,min_group_time_to_converge_succ,median_group_time_to_converge_succ,max_group_time_to_converge_succ,stnd_dev_group_time_to_converge_succ,times_group_converged_succ
baseline,complete,N/A,0.5,0.51,9,N/A,1000,531,1000,4771.803,0,8911.0,9000,4467.379640481767,14.547,1,1.0,991,71.98828926290722,16.295,1,1.0,991,75.66292338391374,1000,16.55367231638418,1,1.0,991,82.81689944105672,531
restrict_dissemination,star,random,0.5,0.51,9,-1,1000,662,1000,5004.49,0,6601.5,9000,3714.030525170734,141.386,1,33.0,973,225.5356446418171,266.69,1,131.0,1000,301.517925858954,700,272.4681818181818,1,135.0,1000,310.86758930212136,440
baseline,complete,N/A,0.5,0.52,9,N/A,1000,583,1000,5232.263,0,8968.5,9000,4418.124395241831,13.996,1,1.0,693,58.51119537319333,14.57,1,1.0,693,59.26186885342041,1000,15.337907375643224,1,1.0,555,59.65450027878153,583
restrict_dissemination,star,random,0.5,0.52,9,-1,1000,767,1000,5155.803,0,6161.5,9000,3654.227855811813,114.401,1,20.0,978,197.19767290462633,228.11144130757802,1,99.0,1000,278.82019706450166,673,240.76382978723404,1,106.5,1000,285.0474569861463,470
baseline,complete,N/A,0.5,0.53,9,N/A,1000,603,1000,5408.103,0,8968.5,9000,4382.3457737142335,11.261,1,1.0,938,51.95002289701132,12.455,1,1.0,938,57.664720366962676,1000,12.749585406301824,1,1.0,938,54.01432749238833,603
restrict_dissemination,star,random,0.5,0.53,9,-1,1000,849,1000,5474.806,0,7339.5,9000,3525.3188035075636,86.282,1,14.0,955,155.66715284863406,185.13755795981453,1,64.0,998,247.89261634536348,647,190.43313373253494,1,65.0,998,251.38708615557104,501
baseline,complete,N/A,0.5,0.54,9,N/A,1000,639,1000,5715.964,0,8982.0,9000,4296.22439622327,11.561,1,1.0,592,43.42423607848502,12.037,1,1.0,592,43.916211482777065,1000,13.674491392801253,1,1.0,592,49.11537141515231,639
restrict_dissemination,star,random,0.5,0.54,9,-1,1000,867,1000,5631.67,0,7966.0,9000,3488.6167111191794,63.365,1,12.0,910,133.2147130575298,163.56309148264984,1,67.0,1000,225.3196256801118,634,160.78303747534517,1,67.0,1000,217.41341260492032,507
baseline,complete,N/A,0.5,0.55,9,N/A,1000,638,1000,5721.545,0,8981.0,9000,4306.648893046077,10.087,1,1.0,792,50.00575397891726,11.099,1,1.0,792,52.73855514706484,1000,10.236677115987462,1,1.0,761,44.9506044075866,638
restrict_dissemination,star,random,0.5,0.55,9,-1,1000,922,1000,6003.903,0,8490.0,9000,3260.0651330289397,44.954,1,8.0,860,95.60690290977948,130.48252911813643,1,43.0,954,189.76764874465854,601,127.29827915869981,1,47.0,954,184.15018741960435,523
baseline,complete,N/A,0.5,0.56,9,N/A,1000,676,1000,6047.733,0,8987.0,9000,4197.329796633926,12.113,1,1.0,887,58.54699164773542,12.521,1,1.0,887,58.67385754320232,1000,13.742603550295858,1,1.0,887,65.1040724989107,676
restrict_dissemination,star,random,0.5,0.56,9,-1,1000,931,1000,6183.653,0,8629.5,9000,3174.316998755953,29.797,1,4.0,530,66.72936228527888,99.50414593698176,1,25.0,960,173.47363600113607,603,104.59439252336449,1,27.0,960,177.3451409934221,535
baseline,complete,N/A,0.5,0.5700000000000001,9,N/A,1000,693,1000,6217.667,0,8991.0,9000,4141.017509273656,8.784,1,1.0,834,42.98364042283994,9.513,1,1.0,834,45.534117219948385,1000,9.541125541125542,1,1.0,834,46.3306716654604,693
restrict_dissemination,star,random,0.5,0.5700000000000001,9,-1,1000,949,1000,6236.047,0,8652.5,9000,3079.8496305487056,25.743,1,4.0,904,64.22956446216959,82.43554006968641,1,22.5,998,152.44626125181313,574,82.30401529636711,1,22.0,998,151.99045621119927,523
baseline,complete,N/A,0.5,0.5800000000000001,9,N/A,1000,754,1000,6760.623,0,8991.0,9000,3862.787454011805,9.121,1,1.0,906,47.774976284661825,10.038,1,1.0,906,50.05193858383509,1000,10.26657824933687,1,1.0,906,45.96976600946933,754
restrict_dissemination,star,random,0.5,0.5800000000000001,9,-1,1000,946,1000,6327.423,0,8647.5,9000,2999.5449555009172,24.99,1,3.0,666,61.303946854994585,69.47703180212014,1,23.5,938,123.6965053839167,566,69.353515625,1,24.5,938,122.16114656398688,512
baseline,complete,N/A,0.5,0.5900000000000001,9,N/A,1000,742,1000,6654.49,0,8991.0,9000,3926.0829010478114,5.505,1,1.0,559,22.335307810728732,5.995,1,1.0,559,24.74406949149634,1000,7.172506738544475,1,1.0,559,28.489557342011395,742
restrict_dissemination,star,random,0.5,0.5900000000000001,9,-1,1000,977,1000,6612.922,0,8836.5,9000,2789.2722868009855,15.63,1,3.0,823,41.45514563959461,56.24731182795699,1,18.0,947,121.30457143864578,558,57.6785046728972,1,19.0,947,123.21163847505609,535
baseline,complete,N/A,0.5,0.6000000000000001,9,N/A,1000,752,1000,6745.425,0,8991.0,9000,3874.209137924151,8.325,1,1.0,668,36.02301174249594,8.489,1,1.0,668,36.04971399331762,1000,7.454787234042553,1,1.0,431,25.772595507826715,752
restrict_dissemination,star,random,0.5,0.6000000000000001,9,-1,1000,958,1000,6591.871,0,8864.0,9000,2854.52333014796,10.27,1,2.0,230,21.637261841554718,46.20175438596491,1,15.0,973,100.69615402545729,570,45.43181818181818,1,16.0,973,96.9145744724655,528
baseline,complete,N/A,0.5,0.6100000000000001,9,N/A,1000,774,1000,6944.037,0,8991.0,9000,3753.034799682918,5.393,1,1.0,338,18.741092577542005,5.578,1,1.0,338,18.818552441673084,1000,6.114987080103359,1,1.0,338,20.487683517279983,774
restrict_dissemination,star,random,0.5,0.6100000000000001,9,-1,1000,978,1000,6900.885,0,8923.5,9000,2666.2561196882416,11.67,1,2.0,951,43.18582058963335,40.302564102564105,1,12.0,965,89.21286793614019,585,40.87566607460035,1,12.0,965,90.50966109021992,563
baseline,complete,N/A,0.5,0.6200000000000001,9,N/A,1000,808,1000,7236.736,0,8995.0,9000,3541.880210609049,6.665,1,1.0,987,38.58026406078631,6.827,1,1.0,987,38.59832989910315,1000,7.866336633663367,1,1.0,987,42.80579510417414,808
restrict_dissemination,star,random,0.5,0.6200000000000001,9,-1,1000,970,1000,7013.117,0,8926.0,9000,2602.8824167278476,8.403,1,2.0,567,22.012328159465543,28.075125208681136,1,10.0,576,56.49618627880498,599,28.845342706502635,1,10.0,576,57.60358424331708,569
