network_structure,ps[0],ps[1],num_agents,epsilon,n_steps,n_runs,success_convergence_rate,individuals_converged,total_successful_pulls
complete,0.5,0.5001,10,0.1,10,1000,0.536,5.36,50006.22
complete,0.5,0.5001,10,0.1,20,1000,0.529,5.29,100002.218
complete,0.5,0.5001,10,0.1,30,1000,0.533,5.33,150010.617
complete,0.5,0.5001,10,0.1,40,1000,0.524,5.24,200013.411
complete,0.5,0.5001,10,0.1,50,1000,0.516,5.16,250023.297
complete,0.5,0.5001,10,0.1,60,1000,0.523,5.23,300027.554
complete,0.5,0.5001,10,0.1,70,1000,0.52,5.2,350030.993
complete,0.5,0.5001,10,0.1,80,1000,0.52,5.2,400043.648
complete,0.5,0.5001,10,0.1,90,1000,0.528,5.28,450051.962
complete,0.5,0.5001,10,0.1,100,1000,0.532,5.32,500057.021
complete,0.5,0.5001,10,0.1,110,1000,0.538,5.38,550061.12
complete,0.5,0.5001,10,0.1,120,1000,0.535,5.35,600063.322
complete,0.5,0.5001,10,0.1,130,1000,0.527,5.27,650062.604
complete,0.5,0.5001,10,0.1,140,1000,0.543,5.43,700060.798
complete,0.5,0.5001,10,0.1,150,1000,0.543,5.43,750070.165
complete,0.5,0.5001,10,0.1,160,1000,0.545,5.45,800071.151
complete,0.5,0.5001,10,0.1,170,1000,0.538,5.38,850074.51
complete,0.5,0.5001,10,0.1,180,1000,0.539,5.39,900085.963
complete,0.5,0.5001,10,0.1,190,1000,0.545,5.45,950086.793
complete,0.5,0.5001,10,0.1,200,1000,0.544,5.44,1000088.44
complete,0.5,0.5001,10,0.1,210,1000,0.542,5.42,1050090.128
complete,0.5,0.5001,10,0.1,220,1000,0.547,5.47,1100096.916
complete,0.5,0.5001,10,0.1,230,1000,0.546,5.46,1150107.341
complete,0.5,0.5001,10,0.1,240,1000,0.551,5.51,1200106.842
complete,0.5,0.5001,10,0.1,250,1000,0.539,5.39,1250115.963
complete,0.5,0.5001,10,0.1,260,1000,0.548,5.48,1300124.613
complete,0.5,0.5001,10,0.1,270,1000,0.546,5.46,1350125.737
complete,0.5,0.5001,10,0.1,280,1000,0.537,5.37,1400135.728
complete,0.5,0.5001,10,0.1,290,1000,0.551,5.51,1450138.962
complete,0.5,0.5001,10,0.1,300,1000,0.541,5.41,1500145.361
complete,0.5,0.5001,10,0.1,310,1000,0.553,5.53,1550158.942
complete,0.5,0.5001,10,0.1,320,1000,0.55,5.5,1600161.013
complete,0.5,0.5001,10,0.1,330,1000,0.562,5.62,1650161.796
complete,0.5,0.5001,10,0.1,340,1000,0.55,5.5,1700166.771
complete,0.5,0.5001,10,0.1,350,1000,0.562,5.62,1750171.148
complete,0.5,0.5001,10,0.1,360,1000,0.567,5.67,1800166.044
complete,0.5,0.5001,10,0.1,370,1000,0.566,5.66,1850170.565
complete,0.5,0.5001,10,0.1,380,1000,0.561,5.61,1900175.483
complete,0.5,0.5001,10,0.1,390,1000,0.558,5.58,1950181.065
complete,0.5,0.5001,10,0.1,400,1000,0.555,5.55,2000189.573
complete,0.5,0.5001,10,0.1,410,1000,0.558,5.58,2050189.465
complete,0.5,0.5001,10,0.1,420,1000,0.56,5.6,2100196.69
complete,0.5,0.5001,10,0.1,430,1000,0.57,5.7,2150204.466
complete,0.5,0.5001,10,0.1,440,1000,0.562,5.62,2200215.58
complete,0.5,0.5001,10,0.1,450,1000,0.57,5.7,2250220.444
complete,0.5,0.5001,10,0.1,460,1000,0.572,5.72,2300221.243
complete,0.5,0.5001,10,0.1,470,1000,0.581,5.81,2350222.767
complete,0.5,0.5001,10,0.1,480,1000,0.588,5.88,2400231.346
complete,0.5,0.5001,10,0.1,490,1000,0.584,5.84,2450237.021
complete,0.5,0.5001,10,0.1,500,1000,0.577,5.77,2500241.059
complete,0.5,0.5001,10,0.1,510,1000,0.571,5.71,2550244.907
complete,0.5,0.5001,10,0.1,520,1000,0.574,5.74,2600256.399
complete,0.5,0.5001,10,0.1,530,1000,0.58,5.8,2650263.381
complete,0.5,0.5001,10,0.1,540,1000,0.579,5.79,2700270.163
complete,0.5,0.5001,10,0.1,550,1000,0.581,5.81,2750278.845
complete,0.5,0.5001,10,0.1,560,1000,0.581,5.81,2800276.693
complete,0.5,0.5001,10,0.1,570,1000,0.584,5.84,2850272.534
complete,0.5,0.5001,10,0.1,580,1000,0.585,5.85,2900279.481
complete,0.5,0.5001,10,0.1,590,1000,0.587,5.87,2950286.886
complete,0.5,0.5001,10,0.1,600,1000,0.58,5.8,3000290.969
complete,0.5,0.5001,10,0.1,610,1000,0.58,5.8,3050295.698
