network_structure,ps[0],ps[1],num_agents,epsilon,n_steps,n_runs,success_convergence_rate,individuals_converged,total_successful_pulls
complete,0.5,0.5001,10,0.1,1,1000,0.515,5.15,24859.97
complete,0.5,0.5001,10,0.1,2,1000,0.507,5.07,50454.87
complete,0.5,0.5001,10,0.1,3,1000,0.51,5.1,75882.31
complete,0.5,0.5001,10,0.1,4,1000,0.52,5.2,101214.38
complete,0.5,0.5001,10,0.1,5,1000,0.53,5.3,126832.37
complete,0.5,0.5001,10,0.1,6,1000,0.514,5.14,153025.41
complete,0.5,0.5001,10,0.1,7,1000,0.516,5.16,178613.45
complete,0.5,0.5001,10,0.1,8,1000,0.514,5.14,204075.66
complete,0.5,0.5001,10,0.1,9,1000,0.522,5.22,229740.83
complete,0.5,0.5001,10,0.1,10,1000,0.532,5.32,255671.11
complete,0.5,0.5001,10,0.1,11,1000,0.535,5.35,281662.27
complete,0.5,0.5001,10,0.1,12,1000,0.519,5.19,308285.94
complete,0.5,0.5001,10,0.1,13,1000,0.527,5.27,334193.1
complete,0.5,0.5001,10,0.1,14,1000,0.51,5.1,360163.37
complete,0.5,0.5001,10,0.1,15,1000,0.519,5.19,385659.59
complete,0.5,0.5001,10,0.1,16,1000,0.521,5.21,411511.5
complete,0.5,0.5001,10,0.1,17,1000,0.528,5.28,437533.04
complete,0.5,0.5001,10,0.1,18,1000,0.525,5.25,463768.17
complete,0.5,0.5001,10,0.1,19,1000,0.515,5.15,489787.74
complete,0.5,0.5001,10,0.1,20,1000,0.516,5.16,515344.84
complete,0.5,0.5001,10,0.1,21,1000,0.522,5.22,541024.78
complete,0.5,0.5001,10,0.1,22,1000,0.522,5.22,567139.08
complete,0.5,0.5001,10,0.1,23,1000,0.511,5.11,592817.46
complete,0.5,0.5001,10,0.1,24,1000,0.522,5.22,618087.24
complete,0.5,0.5001,10,0.1,25,1000,0.52,5.2,643712.55
complete,0.5,0.5001,10,0.1,26,1000,0.527,5.27,669538.79
complete,0.5,0.5001,10,0.1,27,1000,0.53,5.3,695482.81
complete,0.5,0.5001,10,0.1,28,1000,0.526,5.26,721653.15
complete,0.5,0.5001,10,0.1,29,1000,0.526,5.26,747711.48
complete,0.5,0.5001,10,0.1,30,1000,0.527,5.27,773871.7
complete,0.5,0.5001,10,0.1,31,1000,0.515,5.15,799994.39
complete,0.5,0.5001,10,0.1,32,1000,0.514,5.14,825819.16
complete,0.5,0.5001,10,0.1,33,1000,0.508,5.08,851100.89
