network_structure,ps[0],ps[1],num_agents,epsilon,n_steps,n_runs,success_convergence_rate,individuals_converged,total_successful_pulls
complete,0.5,0.5001,10,0.1,1,1000,0.506,5.06,50014.97
complete,0.5,0.5001,10,0.1,2,1000,0.495,4.95,100010.79
complete,0.5,0.5001,10,0.1,3,1000,0.497,4.97,150003.03
complete,0.5,0.5001,10,0.1,4,1000,0.508,5.08,200003.9
complete,0.5,0.5001,10,0.1,5,1000,0.527,5.27,249984.67
complete,0.5,0.5001,10,0.1,6,1000,0.523,5.23,299986.22
complete,0.5,0.5001,10,0.1,7,1000,0.503,5.03,349984.1
complete,0.5,0.5001,10,0.1,8,1000,0.51,5.1,399983.27
complete,0.5,0.5001,10,0.1,9,1000,0.519,5.19,449994.5
complete,0.5,0.5001,10,0.1,10,1000,0.524,5.24,499979.14
complete,0.5,0.5001,10,0.1,11,1000,0.524,5.24,549984.93
complete,0.5,0.5001,10,0.1,12,1000,0.517,5.17,600022.55
complete,0.5,0.5001,10,0.1,13,1000,0.529,5.29,650035.38
complete,0.5,0.5001,10,0.1,14,1000,0.51,5.1,700053.02
complete,0.5,0.5001,10,0.1,15,1000,0.519,5.19,750058.73
complete,0.5,0.5001,10,0.1,16,1000,0.519,5.19,800062.66
complete,0.5,0.5001,10,0.1,17,1000,0.519,5.19,850112.06
complete,0.5,0.5001,10,0.1,18,1000,0.513,5.13,900100.94
complete,0.5,0.5001,10,0.1,19,1000,0.516,5.16,950109.69
complete,0.5,0.5001,10,0.1,20,1000,0.525,5.25,1000119.61
complete,0.5,0.5001,10,0.1,21,1000,0.521,5.21,1050138.71
complete,0.5,0.5001,10,0.1,22,1000,0.519,5.19,1100149.59
complete,0.5,0.5001,10,0.1,23,1000,0.52,5.2,1150135.45
complete,0.5,0.5001,10,0.1,24,1000,0.517,5.17,1200147.2
complete,0.5,0.5001,10,0.1,25,1000,0.527,5.27,1250138.55
complete,0.5,0.5001,10,0.1,26,1000,0.532,5.32,1300135.46
complete,0.5,0.5001,10,0.1,27,1000,0.532,5.32,1350121.58
complete,0.5,0.5001,10,0.1,28,1000,0.536,5.36,1400111.64
complete,0.5,0.5001,10,0.1,29,1000,0.524,5.24,1450096.58
complete,0.5,0.5001,10,0.1,30,1000,0.529,5.29,1500102.54
complete,0.5,0.5001,10,0.1,31,1000,0.538,5.38,1550121.06
complete,0.5,0.5001,10,0.1,32,1000,0.536,5.36,1600093.09
complete,0.5,0.5001,10,0.1,33,1000,0.539,5.39,1650101.68
complete,0.5,0.5001,10,0.1,34,1000,0.541,5.41,1700098.5
complete,0.5,0.5001,10,0.1,35,1000,0.538,5.38,1750089.93
complete,0.5,0.5001,10,0.1,36,1000,0.535,5.35,1800071.96
complete,0.5,0.5001,10,0.1,37,1000,0.528,5.28,1850070.7
complete,0.5,0.5001,10,0.1,38,1000,0.522,5.22,1900072.98
complete,0.5,0.5001,10,0.1,39,1000,0.53,5.3,1950060.43
complete,0.5,0.5001,10,0.1,40,1000,0.516,5.16,2000067.52
complete,0.5,0.5001,10,0.1,41,1000,0.517,5.17,2050079.94
complete,0.5,0.5001,10,0.1,42,1000,0.519,5.19,2100090.61
complete,0.5,0.5001,10,0.1,43,1000,0.52,5.2,2150092.81
complete,0.5,0.5001,10,0.1,44,1000,0.52,5.2,2200101.13
complete,0.5,0.5001,10,0.1,45,1000,0.519,5.19,2250119.7
complete,0.5,0.5001,10,0.1,46,1000,0.512,5.12,2300115.81
complete,0.5,0.5001,10,0.1,47,1000,0.523,5.23,2350133.46
complete,0.5,0.5001,10,0.1,48,1000,0.51,5.1,2400133.52
complete,0.5,0.5001,10,0.1,49,1000,0.522,5.22,2450146.86
complete,0.5,0.5001,10,0.1,50,1000,0.525,5.25,2500142.04
complete,0.5,0.5001,10,0.1,51,1000,0.526,5.26,2550139.84
complete,0.5,0.5001,10,0.1,52,1000,0.53,5.3,2600140.29
complete,0.5,0.5001,10,0.1,53,1000,0.532,5.32,2650150.64
complete,0.5,0.5001,10,0.1,54,1000,0.531,5.31,2700147.16
complete,0.5,0.5001,10,0.1,55,1000,0.533,5.33,2750169.84
complete,0.5,0.5001,10,0.1,56,1000,0.527,5.27,2800157.26
complete,0.5,0.5001,10,0.1,57,1000,0.523,5.23,2850164.34
complete,0.5,0.5001,10,0.1,58,1000,0.535,5.35,2900175.94
complete,0.5,0.5001,10,0.1,59,1000,0.528,5.28,2950191.47
complete,0.5,0.5001,10,0.1,60,1000,0.532,5.32,3000186.65
complete,0.5,0.5001,10,0.1,61,1000,0.53,5.3,3050195.89
complete,0.5,0.5001,10,0.1,62,1000,0.533,5.33,3100170.76
complete,0.5,0.5001,10,0.1,63,1000,0.53,5.3,3150179.15
complete,0.5,0.5001,10,0.1,64,1000,0.536,5.36,3200167.49
complete,0.5,0.5001,10,0.1,65,1000,0.537,5.37,3250141.69
complete,0.5,0.5001,10,0.1,66,1000,0.534,5.34,3300136.99
complete,0.5,0.5001,10,0.1,67,1000,0.532,5.32,3350140.27
complete,0.5,0.5001,10,0.1,68,1000,0.534,5.34,3400100.9
complete,0.5,0.5001,10,0.1,69,1000,0.529,5.29,3450125.84
complete,0.5,0.5001,10,0.1,70,1000,0.528,5.28,3500142.91
complete,0.5,0.5001,10,0.1,71,1000,0.529,5.29,3550151.25
complete,0.5,0.5001,10,0.1,72,1000,0.531,5.31,3600176.96
complete,0.5,0.5001,10,0.1,73,1000,0.538,5.38,3650174.08
complete,0.5,0.5001,10,0.1,74,1000,0.539,5.39,3700184.37
complete,0.5,0.5001,10,0.1,75,1000,0.539,5.39,3750207.07
complete,0.5,0.5001,10,0.1,76,1000,0.528,5.28,3800238.45
complete,0.5,0.5001,10,0.1,77,1000,0.535,5.35,3850263.37
complete,0.5,0.5001,10,0.1,78,1000,0.53,5.3,3900268.43
complete,0.5,0.5001,10,0.1,79,1000,0.519,5.19,3950287.05
complete,0.5,0.5001,10,0.1,80,1000,0.519,5.19,4000283.52
complete,0.5,0.5001,10,0.1,81,1000,0.52,5.2,4050286.94
complete,0.5,0.5001,10,0.1,82,1000,0.521,5.21,4100305.36
complete,0.5,0.5001,10,0.1,83,1000,0.525,5.25,4150306.32
complete,0.5,0.5001,10,0.1,84,1000,0.525,5.25,4200316.6
complete,0.5,0.5001,10,0.1,85,1000,0.516,5.16,4250326.79
complete,0.5,0.5001,10,0.1,86,1000,0.513,5.13,4300330.73
