network_structure,ps[0],ps[1],num_agents,default,n_steps,n_runs,success_convergence_rate,individuals_converged,total_successful_pulls
complete,0.5,0.5001,10,N/A,10,1000,0.531,5.31,50003.798
complete,0.5,0.5001,10,N/A,20,1000,0.538,5.38,100009.926
complete,0.5,0.5001,10,N/A,30,1000,0.536,5.36,150006.061
complete,0.5,0.5001,10,N/A,40,1000,0.535,5.35,200006.329
complete,0.5,0.5001,10,N/A,50,1000,0.53,5.3,250012.272
complete,0.5,0.5001,10,N/A,60,1000,0.534,5.34,300013.341
complete,0.5,0.5001,10,N/A,70,1000,0.537,5.37,350008.948
complete,0.5,0.5001,10,N/A,80,1000,0.54,5.4,400016.246
complete,0.5,0.5001,10,N/A,90,1000,0.539,5.39,450030.944
complete,0.5,0.5001,10,N/A,100,1000,0.538,5.38,500028.773
complete,0.5,0.5001,10,N/A,110,1000,0.54,5.4,550034.795
complete,0.5,0.5001,10,N/A,120,1000,0.539,5.39,600046.202
complete,0.5,0.5001,10,N/A,130,1000,0.539,5.39,650048.325
complete,0.5,0.5001,10,N/A,140,1000,0.537,5.37,700055.794
complete,0.5,0.5001,10,N/A,150,1000,0.538,5.38,750057.79
complete,0.5,0.5001,10,N/A,160,1000,0.538,5.38,800069.856
complete,0.5,0.5001,10,N/A,170,1000,0.537,5.37,850069.154
complete,0.5,0.5001,10,N/A,180,1000,0.538,5.38,900070.944
complete,0.5,0.5001,10,N/A,190,1000,0.538,5.38,950077.532
complete,0.5,0.5001,10,N/A,200,1000,0.537,5.37,1000080.252
complete,0.5,0.5001,10,N/A,210,1000,0.537,5.37,1050095.506
complete,0.5,0.5001,10,N/A,220,1000,0.537,5.37,1100100.701
complete,0.5,0.5001,10,N/A,230,1000,0.537,5.37,1150101.653
complete,0.5,0.5001,10,N/A,240,1000,0.537,5.37,1200114.51
complete,0.5,0.5001,10,N/A,250,1000,0.536,5.36,1250125.936
complete,0.5,0.5001,10,N/A,260,1000,0.538,5.38,1300133.103
complete,0.5,0.5001,10,N/A,270,1000,0.537,5.37,1350142.711
complete,0.5,0.5001,10,N/A,280,1000,0.538,5.38,1400139.725
complete,0.5,0.5001,10,N/A,290,1000,0.537,5.37,1450139.137
complete,0.5,0.5001,10,N/A,300,1000,0.537,5.37,1500143.545
complete,0.5,0.5001,10,N/A,310,1000,0.537,5.37,1550140.434
complete,0.5,0.5001,10,N/A,320,1000,0.537,5.37,1600141.977
complete,0.5,0.5001,10,N/A,330,1000,0.537,5.37,1650145.054
complete,0.5,0.5001,10,N/A,340,1000,0.537,5.37,1700148.905
complete,0.5,0.5001,10,N/A,350,1000,0.538,5.38,1750154.907
complete,0.5,0.5001,10,N/A,360,1000,0.536,5.36,1800155.91
complete,0.5,0.5001,10,N/A,370,1000,0.537,5.37,1850165.604
complete,0.5,0.5001,10,N/A,380,1000,0.537,5.37,1900162.649
complete,0.5,0.5001,10,N/A,390,1000,0.537,5.37,1950163.717
complete,0.5,0.5001,10,N/A,400,1000,0.537,5.37,2000170.673
complete,0.5,0.5001,10,N/A,410,1000,0.536,5.36,2050166.368
complete,0.5,0.5001,10,N/A,420,1000,0.537,5.37,2100169.764
complete,0.5,0.5001,10,N/A,430,1000,0.537,5.37,2150179.394
complete,0.5,0.5001,10,N/A,440,1000,0.537,5.37,2200181.152
complete,0.5,0.5001,10,N/A,450,1000,0.537,5.37,2250190.676
complete,0.5,0.5001,10,N/A,460,1000,0.537,5.37,2300201.853
complete,0.5,0.5001,10,N/A,470,1000,0.537,5.37,2350197.964
complete,0.5,0.5001,10,N/A,480,1000,0.537,5.37,2400204.006
complete,0.5,0.5001,10,N/A,490,1000,0.538,5.38,2450214.925
complete,0.5,0.5001,10,N/A,500,1000,0.538,5.38,2500216.664
complete,0.5,0.5001,10,N/A,510,1000,0.538,5.38,2550230.341
complete,0.5,0.5001,10,N/A,520,1000,0.537,5.37,2600242.361
complete,0.5,0.5001,10,N/A,530,1000,0.537,5.37,2650250.225
complete,0.5,0.5001,10,N/A,540,1000,0.537,5.37,2700261.682
complete,0.5,0.5001,10,N/A,550,1000,0.537,5.37,2750268.871
complete,0.5,0.5001,10,N/A,560,1000,0.537,5.37,2800271.412
complete,0.5,0.5001,10,N/A,570,1000,0.537,5.37,2850278.335
complete,0.5,0.5001,10,N/A,580,1000,0.537,5.37,2900290.98
complete,0.5,0.5001,10,N/A,590,1000,0.537,5.37,2950300.119
complete,0.5,0.5001,10,N/A,600,1000,0.537,5.37,3000293.934
complete,0.5,0.5001,10,N/A,610,1000,0.537,5.37,3050298.135
complete,0.5,0.5001,10,N/A,620,1000,0.537,5.37,3100311.187
complete,0.5,0.5001,10,N/A,630,1000,0.537,5.37,3150317.658
complete,0.5,0.5001,10,N/A,640,1000,0.537,5.37,3200327.077
