network_structure,ps[0],ps[1],num_agents,default,n_steps,n_runs,success_convergence_rate,individuals_converged,total_successful_pulls
complete,0.5,0.5001,10,N/A,10,1000,0.508,5.08,500056.99
complete,0.5,0.5001,10,N/A,20,1000,0.507,5.07,1000079.86
complete,0.5,0.5001,10,N/A,30,1000,0.512,5.12,1500117.18
complete,0.5,0.5001,10,N/A,40,1000,0.508,5.08,2000116.93
complete,0.5,0.5001,10,N/A,50,1000,0.504,5.04,2500145.86
complete,0.5,0.5001,10,N/A,60,1000,0.513,5.13,3000168.15
complete,0.5,0.5001,10,N/A,70,1000,0.513,5.13,3500279.35
complete,0.5,0.5001,10,N/A,80,1000,0.515,5.15,4000364.97
complete,0.5,0.5001,10,N/A,90,1000,0.514,5.14,4500428.03
complete,0.5,0.5001,10,N/A,100,1000,0.514,5.14,5000424.97
complete,0.5,0.5001,10,N/A,110,1000,0.515,5.15,5500397.2
complete,0.5,0.5001,10,N/A,120,1000,0.514,5.14,6000549.68
complete,0.5,0.5001,10,N/A,130,1000,0.515,5.15,6500597.56
complete,0.5,0.5001,10,N/A,140,1000,0.513,5.13,7000722.87
complete,0.5,0.5001,10,N/A,150,1000,0.513,5.13,7500779.57
complete,0.5,0.5001,10,N/A,160,1000,0.513,5.13,8000876.44
complete,0.5,0.5001,10,N/A,170,1000,0.513,5.13,8500956.5
complete,0.5,0.5001,10,N/A,180,1000,0.512,5.12,9001014.26
complete,0.5,0.5001,10,N/A,190,1000,0.514,5.14,9501032.45
complete,0.5,0.5001,10,N/A,200,1000,0.514,5.14,10001108.81
complete,0.5,0.5001,10,N/A,210,1000,0.515,5.15,10501179.69
complete,0.5,0.5001,10,N/A,220,1000,0.514,5.14,11001221.52
complete,0.5,0.5001,10,N/A,230,1000,0.514,5.14,11501336.45
complete,0.5,0.5001,10,N/A,240,1000,0.514,5.14,12001372.29
complete,0.5,0.5001,10,N/A,250,1000,0.514,5.14,12501412.92
complete,0.5,0.5001,10,N/A,260,1000,0.514,5.14,13001630.26
complete,0.5,0.5001,10,N/A,270,1000,0.514,5.14,13501713.81
complete,0.5,0.5001,10,N/A,280,1000,0.514,5.14,14001809.47
complete,0.5,0.5001,10,N/A,290,1000,0.514,5.14,14501893.72
complete,0.5,0.5001,10,N/A,300,1000,0.514,5.14,15001898.85
complete,0.5,0.5001,10,N/A,310,1000,0.514,5.14,15501897.04
complete,0.5,0.5001,10,N/A,320,1000,0.514,5.14,16001889.57
complete,0.5,0.5001,10,N/A,330,1000,0.514,5.14,16502006.1
complete,0.5,0.5001,10,N/A,340,1000,0.514,5.14,17002057.54
complete,0.5,0.5001,10,N/A,350,1000,0.514,5.14,17502047.98
complete,0.5,0.5001,10,N/A,360,1000,0.515,5.15,18001983.16
complete,0.5,0.5001,10,N/A,370,1000,0.514,5.14,18502038.36
complete,0.5,0.5001,10,N/A,380,1000,0.514,5.14,19002107.57
complete,0.5,0.5001,10,N/A,390,1000,0.514,5.14,19502241.01
complete,0.5,0.5001,10,N/A,400,1000,0.514,5.14,20002222.76
complete,0.5,0.5001,10,N/A,410,1000,0.514,5.14,20502250.32
complete,0.5,0.5001,10,N/A,420,1000,0.514,5.14,21002280.75
complete,0.5,0.5001,10,N/A,430,1000,0.514,5.14,21502385.12
complete,0.5,0.5001,10,N/A,440,1000,0.514,5.14,22002434.7
complete,0.5,0.5001,10,N/A,450,1000,0.514,5.14,22502497.62
