network_structure,ps[0],ps[1],num_agents,default,n_steps,n_runs,success_convergence_rate,individuals_converged,total_successful_pulls
complete,0.5,0.5001,10,N/A,10,500,0.478,4.78,50004.332
complete,0.5,0.5001,10,N/A,20,500,0.48,4.8,100009.012
complete,0.5,0.5001,10,N/A,30,500,0.488,4.88,150013.502
complete,0.5,0.5001,10,N/A,40,500,0.486,4.86,200025.978
complete,0.5,0.5001,10,N/A,50,500,0.48,4.8,250025.854
complete,0.5,0.5001,10,N/A,60,500,0.48,4.8,300027.686
complete,0.5,0.5001,10,N/A,70,500,0.476,4.76,350029.316
complete,0.5,0.5001,10,N/A,80,500,0.472,4.72,400031.216
complete,0.5,0.5001,10,N/A,90,500,0.47,4.7,450022.382
complete,0.5,0.5001,10,N/A,100,500,0.472,4.72,500024.162
complete,0.5,0.5001,10,N/A,110,500,0.474,4.74,550035.164
complete,0.5,0.5001,10,N/A,120,500,0.474,4.74,600042.964
complete,0.5,0.5001,10,N/A,130,500,0.48,4.8,650049.472
complete,0.5,0.5001,10,N/A,140,500,0.48,4.8,700061.91
complete,0.5,0.5001,10,N/A,150,500,0.48,4.8,750070.456
complete,0.5,0.5001,10,N/A,160,500,0.478,4.78,800071.754
complete,0.5,0.5001,10,N/A,170,500,0.476,4.76,850089.406
complete,0.5,0.5001,10,N/A,180,500,0.472,4.72,900100.132
complete,0.5,0.5001,10,N/A,190,500,0.476,4.76,950091.07
complete,0.5,0.5001,10,N/A,200,500,0.474,4.74,1000094.546
complete,0.5,0.5001,10,N/A,210,500,0.476,4.76,1050098.894
complete,0.5,0.5001,10,N/A,220,500,0.476,4.76,1100106.808
complete,0.5,0.5001,10,N/A,230,500,0.476,4.76,1150111.472
complete,0.5,0.5001,10,N/A,240,500,0.476,4.76,1200116.762
complete,0.5,0.5001,10,N/A,250,500,0.476,4.76,1250114.474
complete,0.5,0.5001,10,N/A,260,500,0.476,4.76,1300122.568
complete,0.5,0.5001,10,N/A,270,500,0.476,4.76,1350135.59
complete,0.5,0.5001,10,N/A,280,500,0.478,4.78,1400149.128
complete,0.5,0.5001,10,N/A,290,500,0.478,4.78,1450154.694
complete,0.5,0.5001,10,N/A,300,500,0.478,4.78,1500166.022
complete,0.5,0.5001,10,N/A,310,500,0.476,4.76,1550189.422
complete,0.5,0.5001,10,N/A,320,500,0.476,4.76,1600198.806
complete,0.5,0.5001,10,N/A,330,500,0.476,4.76,1650205.718
complete,0.5,0.5001,10,N/A,340,500,0.476,4.76,1700211.45
complete,0.5,0.5001,10,N/A,350,500,0.476,4.76,1750216.522
complete,0.5,0.5001,10,N/A,360,500,0.476,4.76,1800225.63
complete,0.5,0.5001,10,N/A,370,500,0.474,4.74,1850216.786
complete,0.5,0.5001,10,N/A,380,500,0.474,4.74,1900231.52
complete,0.5,0.5001,10,N/A,390,500,0.474,4.74,1950246.888
complete,0.5,0.5001,10,N/A,400,500,0.474,4.74,2000257.63
complete,0.5,0.5001,10,N/A,410,500,0.474,4.74,2050282.152
complete,0.5,0.5001,10,N/A,420,500,0.474,4.74,2100291.036
complete,0.5,0.5001,10,N/A,430,500,0.474,4.74,2150302.876
complete,0.5,0.5001,10,N/A,440,500,0.476,4.76,2200308.324
complete,0.5,0.5001,10,N/A,450,500,0.478,4.78,2250300.478
complete,0.5,0.5001,10,N/A,460,500,0.476,4.76,2300303.928
complete,0.5,0.5001,10,N/A,470,500,0.476,4.76,2350313.734
complete,0.5,0.5001,10,N/A,480,500,0.478,4.78,2400316.3
complete,0.5,0.5001,10,N/A,490,500,0.478,4.78,2450325.294
complete,0.5,0.5001,10,N/A,500,500,0.478,4.78,2500327.908
cycle,0.5,0.5001,10,N/A,10,500,0.1,5.098,50007.332
cycle,0.5,0.5001,10,N/A,20,500,0.132,5.036,100021.706
cycle,0.5,0.5001,10,N/A,30,500,0.142,5.118,150029.344
cycle,0.5,0.5001,10,N/A,40,500,0.154,5.102,200037.682
cycle,0.5,0.5001,10,N/A,50,500,0.146,5.084,250049.826
cycle,0.5,0.5001,10,N/A,60,500,0.16,5.072,300062.128
cycle,0.5,0.5001,10,N/A,70,500,0.162,5.002,350067.602
cycle,0.5,0.5001,10,N/A,80,500,0.164,4.972,400076.716
