network_structure,ps[0],ps[1],num_agents,default,n_steps,n_success,n_runs,proportion_converged
complete,0.5,0.5001,9,N/A,10000,492,1000,0.492
cycle,0.5,0.5001,9,N/A,10000,461,1000,0.461
wheel,0.5,0.5001,9,N/A,10000,544,1000,0.544
complete,0.5,0.5005,9,N/A,10000,567,1000,0.567
cycle,0.5,0.5005,9,N/A,10000,853,1000,0.853
wheel,0.5,0.5005,9,N/A,10000,744,1000,0.744
complete,0.5,0.501,9,N/A,10000,602,1000,0.602
cycle,0.5,0.501,9,N/A,10000,920,1000,0.92
wheel,0.5,0.501,9,N/A,10000,832,1000,0.832
complete,0.5,0.502,9,N/A,10000,691,1000,0.691
cycle,0.5,0.502,9,N/A,10000,963,1000,0.963
wheel,0.5,0.502,9,N/A,10000,887,1000,0.887
complete,0.5,0.505,9,N/A,10000,833,1000,0.833
cycle,0.5,0.505,9,N/A,10000,993,1000,0.993
wheel,0.5,0.505,9,N/A,10000,975,1000,0.975
complete,0.5,0.51,9,N/A,10000,952,1000,0.952
cycle,0.5,0.51,9,N/A,10000,999,1000,0.999
wheel,0.5,0.51,9,N/A,10000,999,1000,0.999
complete,0.5,0.52,9,N/A,10000,994,1000,0.994
cycle,0.5,0.52,9,N/A,10000,1000,1000,1.0
wheel,0.5,0.52,9,N/A,10000,999,1000,0.999
complete,0.5,0.55,9,N/A,10000,1000,1000,1.0
cycle,0.5,0.55,9,N/A,10000,1000,1000,1.0
wheel,0.5,0.55,9,N/A,10000,1000,1000,1.0
complete,0.5,0.6,9,N/A,10000,1000,1000,1.0
cycle,0.5,0.6,9,N/A,10000,1000,1000,1.0
wheel,0.5,0.6,9,N/A,10000,1000,1000,1.0
