scenario,network_structure,arm_restricted,num_agents_restricted,prior_ps[0],prior_ps[1],p_increment[0],p_increment[1],max_ps[0],max_ps[1],avg_final_ps[0],avg_final_ps[1],num_agents,n_steps,n_success,n_runs,avg_time_to_converge
baseline,complete,N/A,N/A,0.1,0.1,0.01,0.01,0.8,0.95,0.44681000000000676,0.5401500000000017,9,100,512,1000,4.419
restrict_dissemination,star,random,N/A,0.1,0.1,0.01,0.01,0.8,0.95,0.44457777777778124,0.4968255555555529,9,100,491,1000,59.951
restrict_dissemination,star,other,N/A,0.1,0.1,0.01,0.01,0.8,0.95,0.1850188888888891,0.8002900000000107,9,100,824,1000,60.571
restrict_dissemination,star,target,N/A,0.1,0.1,0.01,0.01,0.8,0.95,0.6910399999999964,0.18292888888888872,9,100,154,1000,57.773
baseline,complete,N/A,N/A,0.12000000000000001,0.12000000000000001,0.01,0.01,0.8,0.95,0.4622500000000042,0.5451499999999975,9,100,505,1000,3.791
restrict_dissemination,star,random,N/A,0.12000000000000001,0.12000000000000001,0.01,0.01,0.8,0.95,0.4360566666666693,0.5228777777777753,9,100,519,1000,60.07
restrict_dissemination,star,other,N/A,0.12000000000000001,0.12000000000000001,0.01,0.01,0.8,0.95,0.20791666666666647,0.8186900000000105,9,100,839,1000,60.337
restrict_dissemination,star,target,N/A,0.12000000000000001,0.12000000000000001,0.01,0.01,0.8,0.95,0.7060999999999943,0.20603555555555553,9,100,144,1000,61.48
baseline,complete,N/A,N/A,0.14,0.14,0.01,0.01,0.8,0.95,0.4730000000000006,0.5553199999999952,9,100,505,1000,3.137
restrict_dissemination,star,random,N/A,0.14,0.14,0.01,0.01,0.8,0.95,0.47485888888889166,0.5232033333333297,9,100,484,1000,60.358
restrict_dissemination,star,other,N/A,0.14,0.14,0.01,0.01,0.8,0.95,0.23096666666666638,0.8308600000000093,9,100,851,1000,58.748
restrict_dissemination,star,target,N/A,0.14,0.14,0.01,0.01,0.8,0.95,0.7161099999999925,0.22900999999999946,9,100,130,1000,59.965
baseline,complete,N/A,N/A,0.16000000000000003,0.16000000000000003,0.01,0.01,0.8,0.95,0.48876000000000697,0.5595700000000007,9,100,497,1000,2.829
restrict_dissemination,star,random,N/A,0.16000000000000003,0.16000000000000003,0.01,0.01,0.8,0.95,0.4761644444444486,0.5635411111111099,9,100,516,1000,61.499
restrict_dissemination,star,other,N/A,0.16000000000000003,0.16000000000000003,0.01,0.01,0.8,0.95,0.25089555555555576,0.8485300000000106,9,100,867,1000,60.723
restrict_dissemination,star,target,N/A,0.16000000000000003,0.16000000000000003,0.01,0.01,0.8,0.95,0.7223299999999934,0.2547433333333338,9,100,132,1000,61.016
baseline,complete,N/A,N/A,0.18000000000000002,0.18000000000000002,0.01,0.01,0.8,0.95,0.49302000000000495,0.5764199999999988,9,100,506,1000,2.442
restrict_dissemination,star,random,N/A,0.18000000000000002,0.18000000000000002,0.01,0.01,0.8,0.95,0.4854855555555584,0.5754355555555543,9,100,517,1000,61.722
