scenario,network_structure,arm_restricted,num_agents_restricted,prior_ps[0],prior_ps[1],p_increment[0],p_increment[1],max_ps[0],max_ps[1],avg_final_ps[0],avg_final_ps[1],num_agents,n_steps,n_success,n_runs,avg_time_to_converge
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.6,0.4743900000000025,0.475680000000003,9,100,504,1000,1.382
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.6,0.49325777777778235,0.48594444444444856,9,100,480,1000,60.167
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.62,0.4738300000000025,0.4846700000000003,9,100,501,1000,1.244
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.62,0.4850688888888929,0.503182222222224,9,100,518,1000,60.009
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.64,0.47779000000000404,0.49110999999999333,9,100,489,1000,1.315
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.64,0.4873422222222267,0.5124966666666613,9,100,521,1000,59.096
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.66,0.4713600000000028,0.509180000000004,9,100,512,1000,1.321
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.66,0.49298222222222665,0.5116633333333379,9,100,484,1000,59.388
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.68,0.4781900000000033,0.5111100000000011,9,100,489,1000,1.365
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.68,0.4831477777777821,0.5356400000000011,9,100,531,1000,59.762
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.7000000000000001,0.47032000000000324,0.5320199999999958,9,100,523,1000,1.438
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.7000000000000001,0.4853211111111148,0.5424377777777748,9,100,522,1000,60.673
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.7200000000000001,0.47248000000000256,0.5386400000000068,9,100,511,1000,1.39
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.7200000000000001,0.4856366666666702,0.552741111111118,9,100,522,1000,59.013
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.7400000000000001,0.47178000000000286,0.5515300000000029,9,100,515,1000,1.417
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.7400000000000001,0.4889611111111158,0.5640622222222252,9,100,530,1000,60.732
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.7600000000000001,0.47189000000000336,0.5620499999999963,9,100,519,1000,1.346
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.7600000000000001,0.4860422222222261,0.5755266666666639,9,100,528,1000,59.586
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.7800000000000001,0.4769100000000034,0.562239999999993,9,100,491,1000,1.408
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.7800000000000001,0.4890100000000044,0.5819388888888822,9,100,518,1000,60.77
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.8000000000000002,0.4806900000000036,0.5641800000000017,9,100,474,1000,1.333
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.8000000000000002,0.4890277777777819,0.5904766666666661,9,100,510,1000,59.377
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.8200000000000002,0.4731900000000026,0.5875100000000013,9,100,508,1000,1.243
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.8200000000000002,0.4871833333333372,0.605223333333335,9,100,522,1000,59.914
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.8400000000000002,0.4747300000000038,0.5962899999999978,9,100,502,1000,1.394
