scenario,network_structure,which_arm_restricted,ps[0],ps[1],num_agents,epsilon,n_steps,n_success,n_runs,avg_time_to_converge,min_time_to_converge,median_time_to_converge,max_time_to_converge,stnd_dev_time_to_converge
baseline,complete,N/A,0.5,0.6,9,0.01,1000,996,1000,88.924,0,8.0,985,162.9776924121826
restrict_dissemination,star,random,0.5,0.6,9,0.01,1000,1000,1000,29.802,0,5.0,743,76.61172753567172
baseline,complete,N/A,0.5,0.6,9,0.03,1000,1000,1000,39.489,0,7.0,834,81.15952118513268
restrict_dissemination,star,random,0.5,0.6,9,0.03,1000,1000,1000,16.798,0,4.0,866,39.44055268375432
baseline,complete,N/A,0.5,0.6,9,0.049999999999999996,1000,1000,1000,28.835,0,7.0,558,52.878424475394496
restrict_dissemination,star,random,0.5,0.6,9,0.049999999999999996,1000,1000,1000,13.579,0,4.0,177,23.19818439016295
baseline,complete,N/A,0.5,0.6,9,0.06999999999999999,1000,1000,1000,20.357,0,5.0,465,38.147313811066695
restrict_dissemination,star,random,0.5,0.6,9,0.06999999999999999,1000,1000,1000,13.31,0,4.0,322,23.918233630433495
baseline,complete,N/A,0.5,0.6,9,0.08999999999999998,1000,1000,1000,18.991,0,5.0,298,33.711554680850895
restrict_dissemination,star,random,0.5,0.6,9,0.08999999999999998,1000,1000,1000,11.612,0,4.0,147,18.36310039181837
baseline,complete,N/A,0.5,0.6,9,0.10999999999999997,1000,1000,1000,16.875,0,5.0,247,27.96471660861236
restrict_dissemination,star,random,0.5,0.6,9,0.10999999999999997,1000,1000,1000,12.717,0,4.0,172,20.748226695310613
baseline,complete,N/A,0.5,0.6,9,0.12999999999999998,1000,1000,1000,14.724,0,4.0,332,26.481159793332317
restrict_dissemination,star,random,0.5,0.6,9,0.12999999999999998,1000,1000,1000,11.281,0,4.0,131,17.94441525935019
baseline,complete,N/A,0.5,0.6,9,0.15,1000,1000,1000,14.322,0,4.0,241,24.589435048410525
restrict_dissemination,star,random,0.5,0.6,9,0.15,1000,1000,1000,11.081,0,4.0,123,17.372692335962206
baseline,complete,N/A,0.5,0.6,9,0.16999999999999998,1000,1000,1000,13.222,0,3.0,193,22.70213020841877
restrict_dissemination,star,random,0.5,0.6,9,0.16999999999999998,1000,1000,1000,10.178,0,3.0,194,16.705457671072647
baseline,complete,N/A,0.5,0.6,9,0.18999999999999997,1000,1000,1000,11.905,0,4.0,135,18.767737610058383
restrict_dissemination,star,random,0.5,0.6,9,0.18999999999999997,1000,1000,1000,11.382,0,4.0,148,18.359631695652286
