scenario,network_structure,which_arm_restricted,ps[0],ps[1],num_agents,steps_until_change,n_steps,n_success,n_runs,avg_time_to_converge,min_time_to_converge,median_time_to_converge,max_time_to_converge,stnd_dev_time_to_converge
baseline,complete,N/A,0.5,0.6,9,1,1000,807,1000,9.883,0,0.0,990,57.60770183751474
restrict_dissemination,star,random,0.5,0.6,9,1,1000,987,1000,15.778,0,3.0,807,50.47201913932114
baseline,complete,N/A,0.5,0.6,9,2,1000,862,1000,9.085,0,1.0,661,38.51537063303429
restrict_dissemination,star,random,0.5,0.6,9,2,1000,990,1000,16.482,0,2.5,842,53.3291822176189
baseline,complete,N/A,0.5,0.6,9,3,1000,903,1000,11.776,0,1.0,897,55.18088277655587
restrict_dissemination,star,random,0.5,0.6,9,3,1000,991,1000,12.261,0,3.0,587,30.02380520520342
baseline,complete,N/A,0.5,0.6,9,4,1000,913,1000,12.299,0,2.0,999,51.78819941840033
restrict_dissemination,star,random,0.5,0.6,9,4,1000,989,1000,13.833,0,3.0,866,39.816718988384764
baseline,complete,N/A,0.5,0.6,9,5,1000,905,1000,12.185,0,2.0,976,47.48781712186822
restrict_dissemination,star,random,0.5,0.6,9,5,1000,997,1000,13.436,0,3.0,720,36.17067740587671
baseline,complete,N/A,0.5,0.6,9,6,1000,924,1000,11.519,0,2.0,600,35.245136387876265
restrict_dissemination,star,random,0.5,0.6,9,6,1000,993,1000,16.897,0,3.0,849,52.55410917330822
baseline,complete,N/A,0.5,0.6,9,7,1000,947,1000,11.804,0,2.0,848,42.18897467348549
restrict_dissemination,star,random,0.5,0.6,9,7,1000,994,1000,16.293,0,3.0,862,49.85405852084662
baseline,complete,N/A,0.5,0.6,9,8,1000,949,1000,12.688,0,3.0,971,40.7641099007448
restrict_dissemination,star,random,0.5,0.6,9,8,1000,996,1000,15.902,0,3.0,959,56.661771910168845
baseline,complete,N/A,0.5,0.6,9,9,1000,958,1000,13.516,0,3.0,790,46.296735781262164
restrict_dissemination,star,random,0.5,0.6,9,9,1000,996,1000,13.118,0,4.0,736,36.03226437514024
baseline,complete,N/A,0.5,0.6,9,10,1000,971,1000,14.887,0,3.0,994,52.54223283226551
restrict_dissemination,star,random,0.5,0.6,9,10,1000,992,1000,14.46,0,4.0,794,40.313327820957674
baseline,complete,N/A,0.5,0.6,9,11,1000,963,1000,13.955,0,3.0,817,44.32072850258668
restrict_dissemination,star,random,0.5,0.6,9,11,1000,1000,1000,13.398,0,3.0,479,30.408248815083052
baseline,complete,N/A,0.5,0.6,9,12,1000,974,1000,14.117,0,3.0,635,45.21784283886174
restrict_dissemination,star,random,0.5,0.6,9,12,1000,1000,1000,14.017,0,4.0,526,30.636623687997997
baseline,complete,N/A,0.5,0.6,9,13,1000,972,1000,13.579,0,3.0,899,44.55719648945611
restrict_dissemination,star,random,0.5,0.6,9,13,1000,998,1000,12.134,0,4.0,561,28.695923822034377
baseline,complete,N/A,0.5,0.6,9,14,1000,978,1000,13.993,0,3.5,786,48.45801224771813
restrict_dissemination,star,random,0.5,0.6,9,14,1000,996,1000,12.252,0,3.0,490,26.625786298248546
baseline,complete,N/A,0.5,0.6,9,15,1000,977,1000,12.692,0,3.0,822,45.27718118434495
restrict_dissemination,star,random,0.5,0.6,9,15,1000,1000,1000,12.576,0,4.0,197,22.45743137582747
baseline,complete,N/A,0.5,0.6,9,16,1000,981,1000,14.085,0,4.0,677,42.669541537260514
restrict_dissemination,star,random,0.5,0.6,9,16,1000,999,1000,12.804,0,4.0,575,28.673081173811784
baseline,complete,N/A,0.5,0.6,9,17,1000,982,1000,14.355,0,3.0,751,44.424778840192324
restrict_dissemination,star,random,0.5,0.6,9,17,1000,998,1000,13.318,0,5.0,231,24.43380600725151
baseline,complete,N/A,0.5,0.6,9,18,1000,986,1000,15.709,0,4.0,841,48.7503468603045
restrict_dissemination,star,random,0.5,0.6,9,18,1000,999,1000,11.582,0,3.0,547,25.622632105230718
baseline,complete,N/A,0.5,0.6,9,19,1000,985,1000,13.07,0,3.0,601,36.355399874021465
restrict_dissemination,star,random,0.5,0.6,9,19,1000,1000,1000,12.017,0,3.0,283,22.88271642528483
baseline,complete,N/A,0.5,0.6,9,20,1000,989,1000,14.974,0,4.0,936,51.12699212744673
restrict_dissemination,star,random,0.5,0.6,9,20,1000,999,1000,13.046,0,4.0,921,38.86615345001355
