scenario,network_structure,which_arm_restricted,ps[0],ps[1],num_agents,steps_until_change,n_steps,n_success,n_runs,avg_time_to_converge,min_time_to_converge,median_time_to_converge,max_time_to_converge,stnd_dev_time_to_converge
baseline,complete,N/A,0.5,0.6,3,5,1000,832,1000,36.312,1,8.0,963,95.32351575555741
restrict_dissemination,star,random,0.5,0.6,3,5,1000,920,1000,36.948,1,11.0,821,79.73274920633303
baseline,complete,N/A,0.5,0.6,4,5,1000,828,1000,24.356,1,5.0,913,77.77906700391823
restrict_dissemination,star,random,0.5,0.6,4,5,1000,933,1000,31.626,1,8.0,634,63.65816620041768
baseline,complete,N/A,0.5,0.6,5,5,1000,860,1000,19.721,1,5.0,808,52.881954946843635
restrict_dissemination,star,random,0.5,0.6,5,5,1000,964,1000,27.113,1,7.0,1001,59.36766991385125
baseline,complete,N/A,0.5,0.6,6,5,1000,860,1000,20.62,1,5.0,1001,70.32861153186518
restrict_dissemination,star,random,0.5,0.6,6,5,1000,978,1000,22.922,1,7.0,929,58.25047567187757
baseline,complete,N/A,0.5,0.6,7,5,1000,909,1000,15.714,1,4.0,573,42.66577321460376
restrict_dissemination,star,random,0.5,0.6,7,5,1000,993,1000,21.477,1,7.0,935,61.11745635250211
baseline,complete,N/A,0.5,0.6,8,5,1000,914,1000,14.984,1,4.0,844,48.65747367054727
restrict_dissemination,star,random,0.5,0.6,8,5,1000,990,1000,18.295,1,6.0,769,45.45844228523455
baseline,complete,N/A,0.5,0.6,9,5,1000,914,1000,13.955,1,4.0,963,51.751048057020064
restrict_dissemination,star,random,0.5,0.6,9,5,1000,996,1000,18.095,1,5.0,989,51.836531278626275
baseline,complete,N/A,0.5,0.6,10,5,1000,934,1000,14.693,1,3.0,975,53.70782765109757
restrict_dissemination,star,random,0.5,0.6,10,5,1000,994,1000,15.746,1,5.0,677,40.38759071794206
baseline,complete,N/A,0.5,0.6,12,5,1000,952,1000,11.667,1,3.0,742,37.54485465413337
restrict_dissemination,star,random,0.5,0.6,12,5,1000,998,1000,12.23,1,4.0,829,37.452571340296515
baseline,complete,N/A,0.5,0.6,14,5,1000,958,1000,9.189,1,3.0,319,21.462275718105943
restrict_dissemination,star,random,0.5,0.6,14,5,1000,1000,1000,9.101,1,3.0,438,20.596523954298696
baseline,complete,N/A,0.5,0.6,16,5,1000,957,1000,9.988,1,3.0,838,42.65742439482252
restrict_dissemination,star,random,0.5,0.6,16,5,1000,999,1000,7.45,1,3.0,148,13.354081773001093
baseline,complete,N/A,0.5,0.6,18,5,1000,975,1000,6.651,1,1.0,276,17.92376073819331
restrict_dissemination,star,random,0.5,0.6,18,5,1000,999,1000,7.248,1,3.0,130,12.736188440816976
baseline,complete,N/A,0.5,0.6,20,5,1000,969,1000,7.181,1,3.0,375,20.554810604819497
restrict_dissemination,star,random,0.5,0.6,20,5,1000,1000,1000,6.138,1,3.0,179,11.30871150927461
baseline,complete,N/A,0.5,0.6,25,5,1000,978,1000,5.932,1,1.0,389,17.580653457707424
restrict_dissemination,star,random,0.5,0.6,25,5,1000,1000,1000,4.934,1,1.0,119,8.406761802263699
baseline,complete,N/A,0.5,0.6,30,5,1000,991,1000,4.74,1,1.0,280,13.684019877214444
restrict_dissemination,star,random,0.5,0.6,30,5,1000,1000,1000,3.815,1,1.0,59,5.337675055677331
