scenario,which_arm_restricted,num_agents,p,epsilon,sim_id,agent_id,was_correct,time_to_lock
baseline,N/A,9,0.6,0.1,0,0,True,21
baseline,N/A,9,0.6,0.1,0,1,True,21
baseline,N/A,9,0.6,0.1,0,2,True,21
baseline,N/A,9,0.6,0.1,0,3,True,21
baseline,N/A,9,0.6,0.1,0,4,True,21
baseline,N/A,9,0.6,0.1,0,5,True,21
baseline,N/A,9,0.6,0.1,0,6,True,21
baseline,N/A,9,0.6,0.1,0,7,True,21
baseline,N/A,9,0.6,0.1,0,8,True,21
baseline,N/A,9,0.6,0.1,1,0,True,1
baseline,N/A,9,0.6,0.1,1,1,True,1
baseline,N/A,9,0.6,0.1,1,2,True,1
baseline,N/A,9,0.6,0.1,1,3,True,1
baseline,N/A,9,0.6,0.1,1,4,True,1
baseline,N/A,9,0.6,0.1,1,5,True,1
baseline,N/A,9,0.6,0.1,1,6,True,1
baseline,N/A,9,0.6,0.1,1,7,True,1
baseline,N/A,9,0.6,0.1,1,8,True,1
baseline,N/A,9,0.6,0.1,2,0,True,4
baseline,N/A,9,0.6,0.1,2,1,True,4
baseline,N/A,9,0.6,0.1,2,2,True,4
baseline,N/A,9,0.6,0.1,2,3,True,4
baseline,N/A,9,0.6,0.1,2,4,True,4
baseline,N/A,9,0.6,0.1,2,5,True,4
baseline,N/A,9,0.6,0.1,2,6,True,4
baseline,N/A,9,0.6,0.1,2,7,True,4
baseline,N/A,9,0.6,0.1,2,8,True,4
baseline,N/A,9,0.6,0.1,3,0,True,1
baseline,N/A,9,0.6,0.1,3,1,True,1
baseline,N/A,9,0.6,0.1,3,2,True,5
baseline,N/A,9,0.6,0.1,3,3,True,5
baseline,N/A,9,0.6,0.1,3,4,True,5
baseline,N/A,9,0.6,0.1,3,5,True,1
baseline,N/A,9,0.6,0.1,3,6,True,5
baseline,N/A,9,0.6,0.1,3,7,True,5
baseline,N/A,9,0.6,0.1,3,8,True,1
baseline,N/A,9,0.6,0.1,4,0,True,1
baseline,N/A,9,0.6,0.1,4,1,True,1
baseline,N/A,9,0.6,0.1,4,2,True,1
baseline,N/A,9,0.6,0.1,4,3,True,1
baseline,N/A,9,0.6,0.1,4,4,True,1
baseline,N/A,9,0.6,0.1,4,5,True,1
baseline,N/A,9,0.6,0.1,4,6,True,1
baseline,N/A,9,0.6,0.1,4,7,True,1
baseline,N/A,9,0.6,0.1,4,8,True,1
baseline,N/A,9,0.6,0.1,5,0,True,8
baseline,N/A,9,0.6,0.1,5,1,True,8
baseline,N/A,9,0.6,0.1,5,2,True,8
baseline,N/A,9,0.6,0.1,5,3,True,8
baseline,N/A,9,0.6,0.1,5,4,True,8
baseline,N/A,9,0.6,0.1,5,5,True,8
baseline,N/A,9,0.6,0.1,5,6,True,8
baseline,N/A,9,0.6,0.1,5,7,True,8
baseline,N/A,9,0.6,0.1,5,8,True,8
baseline,N/A,9,0.6,0.1,6,0,True,13
baseline,N/A,9,0.6,0.1,6,1,True,13
baseline,N/A,9,0.6,0.1,6,2,True,13
baseline,N/A,9,0.6,0.1,6,3,True,13
baseline,N/A,9,0.6,0.1,6,4,True,13
baseline,N/A,9,0.6,0.1,6,5,True,13
baseline,N/A,9,0.6,0.1,6,6,True,13
baseline,N/A,9,0.6,0.1,6,7,True,13
baseline,N/A,9,0.6,0.1,6,8,True,13
baseline,N/A,9,0.6,0.1,7,0,True,46
baseline,N/A,9,0.6,0.1,7,1,True,46
baseline,N/A,9,0.6,0.1,7,2,True,46
baseline,N/A,9,0.6,0.1,7,3,True,46
baseline,N/A,9,0.6,0.1,7,4,True,46
baseline,N/A,9,0.6,0.1,7,5,True,46
baseline,N/A,9,0.6,0.1,7,6,True,46
baseline,N/A,9,0.6,0.1,7,7,True,46
baseline,N/A,9,0.6,0.1,7,8,True,46
baseline,N/A,9,0.6,0.1,8,0,True,3
baseline,N/A,9,0.6,0.1,8,1,True,3
baseline,N/A,9,0.6,0.1,8,2,True,3
baseline,N/A,9,0.6,0.1,8,3,True,3
baseline,N/A,9,0.6,0.1,8,4,True,3
baseline,N/A,9,0.6,0.1,8,5,True,3
baseline,N/A,9,0.6,0.1,8,6,True,3
baseline,N/A,9,0.6,0.1,8,7,True,3
baseline,N/A,9,0.6,0.1,8,8,True,3
baseline,N/A,9,0.6,0.1,9,0,True,81
baseline,N/A,9,0.6,0.1,9,1,True,81
baseline,N/A,9,0.6,0.1,9,2,True,81
baseline,N/A,9,0.6,0.1,9,3,True,81
baseline,N/A,9,0.6,0.1,9,4,True,81
baseline,N/A,9,0.6,0.1,9,5,True,81
baseline,N/A,9,0.6,0.1,9,6,True,81
baseline,N/A,9,0.6,0.1,9,7,True,81
baseline,N/A,9,0.6,0.1,9,8,True,81
baseline,N/A,9,0.6,0.1,10,0,False,80
baseline,N/A,9,0.6,0.1,10,1,False,80
baseline,N/A,9,0.6,0.1,10,2,False,80
baseline,N/A,9,0.6,0.1,10,3,False,80
baseline,N/A,9,0.6,0.1,10,4,False,80
baseline,N/A,9,0.6,0.1,10,5,False,80
baseline,N/A,9,0.6,0.1,10,6,False,80
baseline,N/A,9,0.6,0.1,10,7,False,80
baseline,N/A,9,0.6,0.1,10,8,False,80
baseline,N/A,9,0.6,0.1,11,0,True,1
baseline,N/A,9,0.6,0.1,11,1,True,1
baseline,N/A,9,0.6,0.1,11,2,True,1
baseline,N/A,9,0.6,0.1,11,3,True,1
baseline,N/A,9,0.6,0.1,11,4,True,1
baseline,N/A,9,0.6,0.1,11,5,True,1
baseline,N/A,9,0.6,0.1,11,6,True,1
baseline,N/A,9,0.6,0.1,11,7,True,1
baseline,N/A,9,0.6,0.1,11,8,True,1
baseline,N/A,9,0.6,0.1,12,0,True,65
baseline,N/A,9,0.6,0.1,12,1,True,65
baseline,N/A,9,0.6,0.1,12,2,True,65
baseline,N/A,9,0.6,0.1,12,3,True,65
baseline,N/A,9,0.6,0.1,12,4,True,65
