scenario,which_arm_restricted,num_agents,p,inertia,sim_id,agent_id,was_correct,time_to_lock
baseline,N/A,9,0.6,5,0,0,True,3
baseline,N/A,9,0.6,5,0,1,True,3
baseline,N/A,9,0.6,5,0,2,True,3
baseline,N/A,9,0.6,5,0,3,True,3
baseline,N/A,9,0.6,5,0,4,True,3
baseline,N/A,9,0.6,5,0,5,True,3
baseline,N/A,9,0.6,5,0,6,True,3
baseline,N/A,9,0.6,5,0,7,True,3
baseline,N/A,9,0.6,5,0,8,True,3
baseline,N/A,9,0.6,5,1,0,True,29
baseline,N/A,9,0.6,5,1,1,True,29
baseline,N/A,9,0.6,5,1,2,True,29
baseline,N/A,9,0.6,5,1,3,True,29
baseline,N/A,9,0.6,5,1,4,True,29
baseline,N/A,9,0.6,5,1,5,True,29
baseline,N/A,9,0.6,5,1,6,True,29
baseline,N/A,9,0.6,5,1,7,True,29
baseline,N/A,9,0.6,5,1,8,True,29
baseline,N/A,9,0.6,5,2,0,True,34
baseline,N/A,9,0.6,5,2,1,True,34
baseline,N/A,9,0.6,5,2,2,True,34
baseline,N/A,9,0.6,5,2,3,True,34
baseline,N/A,9,0.6,5,2,4,True,34
baseline,N/A,9,0.6,5,2,5,True,34
baseline,N/A,9,0.6,5,2,6,True,34
baseline,N/A,9,0.6,5,2,7,True,34
baseline,N/A,9,0.6,5,2,8,True,34
baseline,N/A,9,0.6,5,3,0,True,5
baseline,N/A,9,0.6,5,3,1,True,5
baseline,N/A,9,0.6,5,3,2,True,5
baseline,N/A,9,0.6,5,3,3,True,1
baseline,N/A,9,0.6,5,3,4,True,5
baseline,N/A,9,0.6,5,3,5,True,4
baseline,N/A,9,0.6,5,3,6,True,5
baseline,N/A,9,0.6,5,3,7,True,3
baseline,N/A,9,0.6,5,3,8,True,4
baseline,N/A,9,0.6,5,4,0,True,3
baseline,N/A,9,0.6,5,4,1,True,3
baseline,N/A,9,0.6,5,4,2,True,3
baseline,N/A,9,0.6,5,4,3,True,3
baseline,N/A,9,0.6,5,4,4,True,3
baseline,N/A,9,0.6,5,4,5,True,3
baseline,N/A,9,0.6,5,4,6,True,3
baseline,N/A,9,0.6,5,4,7,True,3
baseline,N/A,9,0.6,5,4,8,True,3
baseline,N/A,9,0.6,5,5,0,True,7
baseline,N/A,9,0.6,5,5,1,True,7
baseline,N/A,9,0.6,5,5,2,True,7
baseline,N/A,9,0.6,5,5,3,True,7
baseline,N/A,9,0.6,5,5,4,True,7
baseline,N/A,9,0.6,5,5,5,True,7
baseline,N/A,9,0.6,5,5,6,True,7
baseline,N/A,9,0.6,5,5,7,True,7
baseline,N/A,9,0.6,5,5,8,True,7
baseline,N/A,9,0.6,5,6,0,True,21
baseline,N/A,9,0.6,5,6,1,True,21
baseline,N/A,9,0.6,5,6,2,True,21
baseline,N/A,9,0.6,5,6,3,True,21
baseline,N/A,9,0.6,5,6,4,True,21
baseline,N/A,9,0.6,5,6,5,True,21
baseline,N/A,9,0.6,5,6,6,True,21
baseline,N/A,9,0.6,5,6,7,True,21
baseline,N/A,9,0.6,5,6,8,True,21
baseline,N/A,9,0.6,5,7,0,True,23
baseline,N/A,9,0.6,5,7,1,True,23
baseline,N/A,9,0.6,5,7,2,True,23
baseline,N/A,9,0.6,5,7,3,True,23
baseline,N/A,9,0.6,5,7,4,True,23
baseline,N/A,9,0.6,5,7,5,True,23
baseline,N/A,9,0.6,5,7,6,True,23
baseline,N/A,9,0.6,5,7,7,True,23
baseline,N/A,9,0.6,5,7,8,True,23
baseline,N/A,9,0.6,5,8,0,True,1
baseline,N/A,9,0.6,5,8,1,True,1
baseline,N/A,9,0.6,5,8,2,True,1
