scenario,which_arm_restricted,num_agents,p,sim_id,agent_id,was_correct,time_to_lock
baseline,N/A,9,0.5,0,0,True,14
baseline,N/A,9,0.5,0,1,True,14
baseline,N/A,9,0.5,0,2,True,14
baseline,N/A,9,0.5,0,3,True,14
baseline,N/A,9,0.5,0,4,True,14
baseline,N/A,9,0.5,0,5,True,14
baseline,N/A,9,0.5,0,6,True,14
baseline,N/A,9,0.5,0,7,True,14
baseline,N/A,9,0.5,0,8,True,14
baseline,N/A,9,0.5,1,0,True,1
baseline,N/A,9,0.5,1,1,True,1
baseline,N/A,9,0.5,1,2,True,1
baseline,N/A,9,0.5,1,3,True,1
baseline,N/A,9,0.5,1,4,True,1
baseline,N/A,9,0.5,1,5,True,1
baseline,N/A,9,0.5,1,6,True,1
baseline,N/A,9,0.5,1,7,True,1
baseline,N/A,9,0.5,1,8,True,1
baseline,N/A,9,0.5,2,0,True,1
baseline,N/A,9,0.5,2,1,True,1
baseline,N/A,9,0.5,2,2,True,1
baseline,N/A,9,0.5,2,3,True,1
baseline,N/A,9,0.5,2,4,True,1
baseline,N/A,9,0.5,2,5,True,1
baseline,N/A,9,0.5,2,6,True,1
baseline,N/A,9,0.5,2,7,True,1
baseline,N/A,9,0.5,2,8,True,1
baseline,N/A,9,0.5,3,0,False,1
baseline,N/A,9,0.5,3,1,False,1
baseline,N/A,9,0.5,3,2,False,1
baseline,N/A,9,0.5,3,3,False,1
baseline,N/A,9,0.5,3,4,False,1
baseline,N/A,9,0.5,3,5,False,1
baseline,N/A,9,0.5,3,6,False,1
baseline,N/A,9,0.5,3,7,False,1
baseline,N/A,9,0.5,3,8,False,1
baseline,N/A,9,0.5,4,0,False,4
baseline,N/A,9,0.5,4,1,False,3
baseline,N/A,9,0.5,4,2,False,4
baseline,N/A,9,0.5,4,3,False,3
baseline,N/A,9,0.5,4,4,False,4
baseline,N/A,9,0.5,4,5,False,4
baseline,N/A,9,0.5,4,6,False,4
baseline,N/A,9,0.5,4,7,False,4
baseline,N/A,9,0.5,4,8,False,4
baseline,N/A,9,0.5,5,0,True,1
baseline,N/A,9,0.5,5,1,True,1
baseline,N/A,9,0.5,5,2,True,1
baseline,N/A,9,0.5,5,3,True,1
baseline,N/A,9,0.5,5,4,True,1
baseline,N/A,9,0.5,5,5,True,1
baseline,N/A,9,0.5,5,6,True,1
baseline,N/A,9,0.5,5,7,True,1
baseline,N/A,9,0.5,5,8,True,1
baseline,N/A,9,0.5,6,0,True,1
baseline,N/A,9,0.5,6,1,True,1
baseline,N/A,9,0.5,6,2,True,1
baseline,N/A,9,0.5,6,3,True,1
baseline,N/A,9,0.5,6,4,True,1
baseline,N/A,9,0.5,6,5,True,1
baseline,N/A,9,0.5,6,6,True,1
baseline,N/A,9,0.5,6,7,True,1
baseline,N/A,9,0.5,6,8,True,1
baseline,N/A,9,0.5,7,0,True,1
baseline,N/A,9,0.5,7,1,True,1
baseline,N/A,9,0.5,7,2,True,1
baseline,N/A,9,0.5,7,3,True,1
baseline,N/A,9,0.5,7,4,True,1
baseline,N/A,9,0.5,7,5,True,1
baseline,N/A,9,0.5,7,6,True,1
baseline,N/A,9,0.5,7,7,True,1
baseline,N/A,9,0.5,7,8,True,1
baseline,N/A,9,0.5,8,0,True,1
baseline,N/A,9,0.5,8,1,True,1
baseline,N/A,9,0.5,8,2,True,1
baseline,N/A,9,0.5,8,3,True,1
baseline,N/A,9,0.5,8,4,True,1
baseline,N/A,9,0.5,8,5,True,1
baseline,N/A,9,0.5,8,6,True,1
baseline,N/A,9,0.5,8,7,True,1
baseline,N/A,9,0.5,8,8,True,1
baseline,N/A,9,0.5,9,0,True,1
baseline,N/A,9,0.5,9,1,True,1
baseline,N/A,9,0.5,9,2,True,1
baseline,N/A,9,0.5,9,3,True,1
baseline,N/A,9,0.5,9,4,True,1
baseline,N/A,9,0.5,9,5,True,1
baseline,N/A,9,0.5,9,6,True,1
baseline,N/A,9,0.5,9,7,True,1
baseline,N/A,9,0.5,9,8,True,1
baseline,N/A,9,0.5,10,0,False,3
baseline,N/A,9,0.5,10,1,False,3
baseline,N/A,9,0.5,10,2,False,3
baseline,N/A,9,0.5,10,3,False,3
baseline,N/A,9,0.5,10,4,False,3
baseline,N/A,9,0.5,10,5,False,3
baseline,N/A,9,0.5,10,6,False,3
baseline,N/A,9,0.5,10,7,False,3
baseline,N/A,9,0.5,10,8,False,3
baseline,N/A,9,0.5,11,0,True,4
baseline,N/A,9,0.5,11,1,True,1
baseline,N/A,9,0.5,11,2,True,4
baseline,N/A,9,0.5,11,3,True,1
baseline,N/A,9,0.5,11,4,True,4
baseline,N/A,9,0.5,11,5,True,4
baseline,N/A,9,0.5,11,6,True,1
baseline,N/A,9,0.5,11,7,True,1
baseline,N/A,9,0.5,11,8,True,4
baseline,N/A,9,0.5,12,0,False,1
