network_structure,grid_size,sigma,num_agents,agent_range,num_timesteps,num_simulations,success_proportion,avg_time_to_peak,avg_max_visits,avg_visits,one+_visit,two+_visits,three+_visits,four+_visits,five+_visits,six+_visits,seven+_visits,eight+_visits,nine+_visits,ten+_visits
complete,101,1,10,5,200,100,0.67,78.58208955223881,2.13,0.11729242231153807,1182.24,13.9,0.35,0.01,0.0,0.0,0.0,0.0,0.0,0.0
isolated,101,1,10,5,200,100,0.57,89.15789473684211,2.55,0.13510440152926184,1236.94,129.27,11.43,0.55,0.01,0.0,0.0,0.0,0.0,0.0
complete,101,1,10,10,200,100,0.81,76.25925925925925,3.06,0.09878443289873542,979.55,25.06,2.73,0.34,0.02,0.0,0.0,0.0,0.0,0.0
isolated,101,1,10,10,200,100,0.79,76.67088607594937,2.66,0.10152926183707477,937.16,87.73,9.53,1.14,0.13,0.01,0.0,0.0,0.0,0.0
complete,101,1,10,unlimited,200,100,0.69,75.91304347826087,8.04,0.11310655818057054,1108.45,21.2,10.65,5.26,2.75,1.71,1.12,0.94,0.88,0.84
isolated,101,1,10,unlimited,200,100,0.82,76.42682926829268,2.61,0.0977061072443878,926.91,64.94,4.23,0.5,0.1,0.02,0.0,0.0,0.0,0.0
complete,101,2,10,5,200,100,0.76,68.53947368421052,2.15,0.09909812763454562,998.85,11.63,0.41,0.01,0.0,0.0,0.0,0.0,0.0,0.0
isolated,101,2,10,5,200,100,0.73,62.06849315068493,2.36,0.09833349671600825,880.98,103.72,16.02,1.9,0.48,0.0,0.0,0.0,0.0,0.0
complete,101,2,10,10,200,100,0.96,55.208333333333336,2.76,0.060778355063229095,599.62,18.59,1.6,0.17,0.02,0.0,0.0,0.0,0.0,0.0
isolated,101,2,10,10,200,100,0.92,68.32608695652173,2.59,0.0782864425056367,712.08,73.97,9.97,2.15,0.25,0.09,0.09,0.0,0.0,0.0
complete,101,2,10,unlimited,200,100,0.98,40.91836734693877,6.85,0.04421135182825213,403.48,24.67,12.29,5.47,2.28,0.97,0.57,0.45,0.41,0.41
isolated,101,2,10,unlimited,200,100,0.99,47.505050505050505,2.17,0.04904421135182825,472.14,26.19,1.65,0.32,0.0,0.0,0.0,0.0,0.0,0.0
complete,101,3,10,5,200,100,0.83,63.42168674698795,2.14,0.08591314577002253,865.31,10.71,0.36,0.02,0.0,0.0,0.0,0.0,0.0,0.0
isolated,101,3,10,5,200,100,0.82,51.23170731707317,2.28,0.07745319086364083,689.47,84.14,12.28,2.88,1.01,0.32,0.0,0.0,0.0,0.0
complete,101,3,10,10,200,100,1.0,49.21,2.67,0.049220664640721494,484.92,15.69,1.32,0.15,0.02,0.0,0.0,0.0,0.0,0.0
isolated,101,3,10,10,200,100,0.96,52.947916666666664,2.41,0.05865111263601608,532.04,52.78,10.49,2.43,0.47,0.09,0.0,0.0,0.0,0.0
complete,101,3,10,unlimited,200,100,0.99,26.161616161616163,6.62,0.02833055582786001,237.5,26.77,13.9,6.36,2.07,0.97,0.46,0.35,0.31,0.31
isolated,101,3,10,unlimited,200,100,1.0,37.16,2.07,0.037408097245368095,361.42,18.86,1.22,0.09,0.01,0.0,0.0,0.0,0.0,0.0
complete,101,4,10,5,200,100,0.88,54.125,2.13,0.07119890206842466,716.46,9.51,0.32,0.01,0.0,0.0,0.0,0.0,0.0,0.0
isolated,101,4,10,5,200,100,0.92,47.23913043478261,2.03,0.05926869914714243,536.25,59.9,7.11,1.34,0.0,0.0,0.0,0.0,0.0,0.0
complete,101,4,10,10,200,100,0.97,41.123711340206185,2.85,0.04596608175669052,448.48,18.26,1.81,0.28,0.06,0.01,0.0,0.0,0.0,0.0
isolated,101,4,10,10,200,100,0.98,45.326530612244895,2.5,0.04844623076169003,440.89,40.16,9.57,2.14,0.91,0.42,0.11,0.0,0.0,0.0
complete,101,4,10,unlimited,200,100,1.0,20.9,6.58,0.021468483482011566,159.57,30.73,16.45,7.19,2.63,0.98,0.49,0.33,0.32,0.31
isolated,101,4,10,unlimited,200,100,1.0,35.55,2.26,0.03582982060582296,339.9,21.45,3.11,0.91,0.13,0.0,0.0,0.0,0.0,0.0
complete,101,5,10,5,200,100,0.96,44.010416666666664,2.15,0.050240172532104686,502.79,9.33,0.35,0.03,0.0,0.0,0.0,0.0,0.0,0.0
isolated,101,5,10,5,200,100,0.93,45.70967741935484,2.07,0.05637682580139202,501.35,59.55,12.91,1.29,0.0,0.0,0.0,0.0,0.0,0.0
complete,101,5,10,10,200,100,0.97,37.51546391752577,2.78,0.0425350455837663,417.78,14.63,1.21,0.23,0.05,0.0,0.0,0.0,0.0,0.0
isolated,101,5,10,10,200,100,0.98,44.5,2.32,0.04765219096167042,438.67,39.44,6.19,1.36,0.35,0.09,0.0,0.0,0.0,0.0
complete,101,5,10,unlimited,200,100,1.0,17.52,6.73,0.018155082835016177,114.68,35.68,19.29,8.94,3.81,1.37,0.52,0.33,0.3,0.28
isolated,101,5,10,unlimited,200,100,1.0,32.42,2.21,0.032761493971179306,311.62,19.72,2.27,0.41,0.18,0.0,0.0,0.0,0.0,0.0
