network_structure,grid_size,sigma,num_agents,agent_range,num_timesteps,num_simulations,success_proportion,avg_time_to_peak,avg_max_visits,avg_visits,one+_visit,two+_visits,three+_visits,four+_visits,five+_visits,six+_visits,seven+_visits,eight+_visits,nine+_visits,ten+_visits
complete,151,1,10,5,200,100,0.27,85.0,1.96,0.08815402833209068,2005.32,4.66,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated,151,1,10,5,200,100,0.35,75.6,2.32,0.08815402833209068,1905.16,101.28,3.45,0.11,0.0,0.0,0.0,0.0,0.0,0.0
complete,151,1,10,10,200,100,0.49,93.28571428571429,2.37,0.08815402833209068,1994.55,14.87,0.55,0.03,0.0,0.0,0.0,0.0,0.0,0.0
isolated,151,1,10,10,200,100,0.48,83.6875,2.68,0.08815402833209068,1899.36,105.06,5.29,0.28,0.01,0.0,0.0,0.0,0.0,0.0
complete,151,1,10,unlimited,200,100,0.5,74.52,7.92,0.08815402833209068,1954.9,31.74,10.91,4.78,2.66,1.72,1.26,1.04,0.84,0.15
isolated,151,1,10,unlimited,200,100,0.54,82.27777777777777,2.99,0.08815402833209068,1920.36,85.62,3.8,0.22,0.0,0.0,0.0,0.0,0.0,0.0
complete,151,2,10,5,200,100,0.47,72.59574468085107,1.96,0.08815402833209068,2004.94,5.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated,151,2,10,5,200,100,0.37,86.83783783783784,2.4,0.08815402833209068,1876.85,123.06,9.38,0.71,0.0,0.0,0.0,0.0,0.0,0.0
complete,151,2,10,10,200,100,0.68,72.3970588235294,2.37,0.08815402833209068,1994.37,14.99,0.61,0.03,0.0,0.0,0.0,0.0,0.0,0.0
isolated,151,2,10,10,200,100,0.7,81.65714285714286,3.02,0.08815402833209068,1835.46,154.77,18.15,1.41,0.21,0.0,0.0,0.0,0.0,0.0
complete,151,2,10,unlimited,200,100,0.83,62.46987951807229,7.41,0.08815402833209068,1960.16,30.27,9.71,4.05,2.08,1.24,1.02,0.83,0.59,0.05
isolated,151,2,10,unlimited,200,100,0.93,67.7741935483871,3.54,0.08815402833209068,1895.1,100.59,9.76,3.01,0.91,0.45,0.18,0.0,0.0,0.0
complete,151,3,10,5,200,100,0.52,63.69230769230769,1.97,0.08815402833209068,2004.25,5.71,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated,151,3,10,5,200,100,0.63,58.77777777777778,2.42,0.08815402833209068,1837.43,158.0,13.43,1.14,0.0,0.0,0.0,0.0,0.0,0.0
complete,151,3,10,10,200,100,0.77,75.41558441558442,2.33,0.08815402833209068,1995.23,14.22,0.51,0.04,0.0,0.0,0.0,0.0,0.0,0.0
isolated,151,3,10,10,200,100,0.8,84.4,3.16,0.08815402833209068,1809.62,174.54,23.47,2.35,0.02,0.0,0.0,0.0,0.0,0.0
complete,151,3,10,unlimited,200,100,0.97,53.670103092783506,7.63,0.08815402833209068,1957.24,32.87,9.8,4.07,2.03,1.38,1.07,0.84,0.61,0.09
isolated,151,3,10,unlimited,200,100,1.0,53.46,4.52,0.08815402833209068,1865.82,112.28,18.2,7.1,3.61,1.84,0.79,0.36,0.0,0.0
complete,151,4,10,5,200,100,0.64,57.515625,2.01,0.08815402833209068,2004.24,5.7,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated,151,4,10,5,200,100,0.61,64.70491803278688,2.37,0.08815402833209068,1829.52,167.05,12.02,1.12,0.29,0.0,0.0,0.0,0.0,0.0
complete,151,4,10,10,200,100,0.84,58.01190476190476,2.3,0.08815402833209068,1997.07,12.47,0.45,0.01,0.0,0.0,0.0,0.0,0.0,0.0
isolated,151,4,10,10,200,100,0.81,67.30864197530865,3.1,0.08815402833209068,1798.99,181.91,24.66,3.77,0.67,0.0,0.0,0.0,0.0,0.0
complete,151,4,10,unlimited,200,100,0.99,36.58585858585859,7.23,0.08815402833209068,1960.65,31.51,9.16,3.53,1.81,1.13,0.92,0.73,0.52,0.04
isolated,151,4,10,unlimited,200,100,0.99,46.292929292929294,5.99,0.08815402833209068,1831.11,124.87,24.16,12.12,7.38,4.61,3.17,1.43,0.88,0.27
complete,151,5,10,5,200,100,0.7,65.25714285714285,1.99,0.08815402833209068,2004.22,5.74,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0
isolated,151,5,10,5,200,100,0.68,55.63235294117647,2.52,0.08815402833209068,1787.25,198.89,21.87,1.55,0.44,0.0,0.0,0.0,0.0,0.0
complete,151,5,10,10,200,100,0.87,62.05747126436781,2.21,0.08815402833209068,1996.89,12.83,0.27,0.01,0.0,0.0,0.0,0.0,0.0,0.0
isolated,151,5,10,10,200,100,0.88,64.82954545454545,3.26,0.08815402833209068,1773.09,200.33,29.75,5.21,1.36,0.26,0.0,0.0,0.0,0.0
complete,151,5,10,unlimited,200,100,1.0,27.23,6.94,0.08815402833209068,1962.56,30.56,8.73,3.53,1.69,1.07,0.78,0.61,0.44,0.03
isolated,151,5,10,unlimited,200,100,1.0,49.47,6.51,0.08815402833209068,1818.78,126.81,28.1,13.6,8.57,6.24,4.17,2.3,0.98,0.45
