network_structure,grid_size,sigma,num_agents,agent_range,num_timesteps,num_simulations,success_proportion,avg_time_to_peak,avg_max_visits,avg_visits,one+_visit,two+_visits,three+_visits,four+_visits,five+_visits,six+_visits,seven+_visits,eight+_visits,nine+_visits,ten+_visits
complete,151,1,10,5,200,100,0.25,67.36,1.82,0.07361080654357266,1673.78,4.59,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated,151,1,10,5,200,100,0.25,93.16,2.22,0.07643962984079647,1661.13,78.38,3.28,0.11,0.0,0.0,0.0,0.0,0.0,0.0
complete,151,1,10,10,200,100,0.34,100.94117647058823,2.35,0.07338274637077323,1657.99,14.52,0.65,0.02,0.02,0.0,0.0,0.0,0.0,0.0
isolated,151,1,10,10,200,100,0.4,98.2,2.52,0.07029516249287313,1516.14,81.84,4.52,0.3,0.0,0.0,0.0,0.0,0.0,0.0
complete,151,1,10,unlimited,200,100,0.58,87.37931034482759,7.49,0.059506162010438145,1309.45,28.15,9.47,3.89,2.2,1.32,0.91,0.77,0.59,0.05
isolated,151,1,10,unlimited,200,100,0.57,87.85964912280701,2.5,0.060120170167975086,1320.02,48.8,1.93,0.05,0.0,0.0,0.0,0.0,0.0,0.0
complete,151,2,10,5,200,100,0.27,75.37037037037037,1.84,0.07339590368843474,1668.66,4.8,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated,151,2,10,5,200,100,0.45,90.71111111111111,2.13,0.06658479891232841,1433.23,79.92,5.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complete,151,2,10,10,200,100,0.62,83.6774193548387,2.18,0.0565238366738301,1277.51,10.84,0.43,0.02,0.0,0.0,0.0,0.0,0.0,0.0
isolated,151,2,10,10,200,100,0.59,86.9322033898305,2.53,0.058896539625455026,1240.19,93.16,8.79,0.67,0.09,0.0,0.0,0.0,0.0,0.0
complete,151,2,10,unlimited,200,100,0.76,81.21052631578948,6.52,0.048559273716065075,1063.03,27.37,8.88,3.53,1.69,0.94,0.69,0.58,0.45,0.04
isolated,151,2,10,unlimited,200,100,0.84,76.94047619047619,2.39,0.0428182974430946,936.21,37.18,2.62,0.29,0.0,0.0,0.0,0.0,0.0,0.0
complete,151,3,10,5,200,100,0.47,70.17021276595744,1.77,0.061392044208587356,1396.31,3.48,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated,151,3,10,5,200,100,0.46,83.8913043478261,2.08,0.06472961712205605,1380.23,89.61,5.33,0.47,0.26,0.0,0.0,0.0,0.0,0.0
complete,151,3,10,10,200,100,0.67,79.55223880597015,2.19,0.05276084382263937,1193.58,8.96,0.44,0.02,0.0,0.0,0.0,0.0,0.0,0.0
isolated,151,3,10,10,200,100,0.65,79.2,2.45,0.053716942239375474,1119.17,91.41,12.1,1.72,0.3,0.1,0.0,0.0,0.0,0.0
complete,151,3,10,unlimited,200,100,0.91,56.285714285714285,6.45,0.03079689487303188,664.24,24.13,7.27,2.64,1.33,0.84,0.7,0.57,0.44,0.04
isolated,151,3,10,unlimited,200,100,0.98,57.80612244897959,2.24,0.027038287794394985,588.66,24.28,2.81,0.62,0.13,0.0,0.0,0.0,0.0,0.0
complete,151,4,10,5,200,100,0.53,68.83018867924528,1.74,0.05766413753782729,1311.17,3.62,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated,151,4,10,5,200,100,0.56,54.214285714285715,1.96,0.052348581202578834,1099.23,86.69,6.88,0.8,0.0,0.0,0.0,0.0,0.0,0.0
complete,151,4,10,10,200,100,0.68,67.77941176470588,2.06,0.04872154730055699,1102.49,8.22,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated,151,4,10,10,200,100,0.78,69.73076923076923,2.42,0.043590193412569624,905.71,73.22,12.47,2.07,0.43,0.0,0.0,0.0,0.0,0.0
complete,151,4,10,unlimited,200,100,0.99,41.292929292929294,6.1,0.01924476996622955,402.48,24.15,6.64,2.31,1.24,0.68,0.52,0.45,0.31,0.02
isolated,151,4,10,unlimited,200,100,0.99,55.17171717171717,2.18,0.025270821455199335,548.94,23.49,2.7,0.7,0.28,0.09,0.0,0.0,0.0,0.0
complete,151,5,10,5,200,100,0.63,56.492063492063494,1.68,0.048502258672865235,1102.18,3.68,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated,151,5,10,5,200,100,0.58,59.39655172413793,2.04,0.05238805315556336,1080.83,102.91,9.96,0.8,0.0,0.0,0.0,0.0,0.0,0.0
complete,151,5,10,10,200,100,0.8,66.925,2.03,0.04146309372395949,938.46,6.77,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated,151,5,10,10,200,100,0.86,66.52325581395348,2.32,0.037809745186614625,794.63,58.65,8.16,0.66,0.0,0.0,0.0,0.0,0.0,0.0
complete,151,5,10,unlimited,200,100,1.0,33.57,5.93,0.015161615718608834,309.55,24.67,6.28,2.19,1.09,0.7,0.52,0.43,0.26,0.01
isolated,151,5,10,unlimited,200,100,1.0,49.94,2.19,0.022341125389237312,483.6,23.36,2.12,0.23,0.09,0.0,0.0,0.0,0.0,0.0
