network_structure,grid_size,sigma,num_agents,agent_range,num_timesteps,num_simulations,success_proportion,avg_time_to_peak,avg_max_visits,avg_visits,one+_visit,two+_visits,three+_visits,four+_visits,five+_visits,six+_visits,seven+_visits,eight+_visits,nine+_visits,ten+_visits
complete,151,2,10,5,200,100,0.39,90.1025641025641,3.34,0.06935660716635236,1521.86,53.44,4.92,0.8,0.27,0.05,0.03,0.03,0.0,0.0
isolated,151,2,10,5,200,100,0.35,66.54285714285714,3.06,0.06766808473312574,1304.08,160.76,54.55,18.89,3.97,0.58,0.07,0.0,0.0,0.0
complete,151,2,10,10,200,100,0.43,83.16279069767442,3.79,0.06611990702162186,1422.41,72.75,9.95,1.77,0.45,0.18,0.05,0.03,0.01,0.0
isolated,151,2,10,10,200,100,0.31,77.12903225806451,2.95,0.07144862067453182,1407.01,160.26,46.98,12.14,2.42,0.29,0.0,0.0,0.0,0.0
complete,151,2,10,unlimited,200,100,0.97,89.80412371134021,6.11,0.04127450550414455,753.4,136.33,36.85,9.95,2.68,1.04,0.48,0.22,0.14,0.01
isolated,151,2,10,unlimited,200,100,0.52,100.17307692307692,3.02,0.06538748300513136,1309.18,136.41,35.14,8.23,1.73,0.21,0.0,0.0,0.0,0.0
complete,151,4,10,5,200,100,0.71,69.30985915492958,2.58,0.0474584448050524,1047.11,31.59,2.78,0.48,0.1,0.04,0.0,0.0,0.0,0.0
isolated,151,4,10,5,200,100,0.5,75.56,2.79,0.060865751502127106,1214.74,125.36,36.63,9.16,1.65,0.26,0.0,0.0,0.0,0.0
complete,151,4,10,10,200,100,0.73,87.57534246575342,3.27,0.05215999298276393,1130.26,51.49,5.88,1.19,0.29,0.09,0.05,0.04,0.01,0.0
isolated,151,4,10,10,200,100,0.57,74.85964912280701,2.72,0.056870312705583084,1125.78,119.98,37.46,10.95,2.47,0.06,0.0,0.0,0.0,0.0
complete,151,4,10,unlimited,200,100,1.0,59.0,5.84,0.026314635323012148,435.71,119.57,32.23,8.22,2.58,0.9,0.43,0.21,0.13,0.02
isolated,151,4,10,unlimited,200,100,0.73,107.08219178082192,2.7,0.05840533309942547,1189.69,104.84,28.56,7.48,1.13,0.0,0.0,0.0,0.0,0.0
complete,151,6,10,5,200,100,0.75,62.81333333333333,2.43,0.04302881452567869,952.74,25.82,2.06,0.3,0.09,0.05,0.03,0.01,0.0,0.0
isolated,151,6,10,5,200,100,0.72,61.083333333333336,2.28,0.04428753124862944,893.79,82.8,25.27,6.97,0.95,0.02,0.0,0.0,0.0,0.0
complete,151,6,10,10,200,100,0.76,73.42105263157895,2.84,0.04596289636419455,1001.07,41.18,4.68,0.74,0.19,0.08,0.04,0.02,0.0,0.0
isolated,151,6,10,10,200,100,0.72,61.513888888888886,2.29,0.044423490197798336,908.7,79.79,19.63,4.17,0.5,0.11,0.0,0.0,0.0,0.0
complete,151,6,10,unlimited,200,100,1.0,51.33,5.74,0.02295074777422043,377.02,107.4,28.29,7.12,1.98,0.74,0.4,0.24,0.1,0.01
isolated,151,6,10,unlimited,200,100,0.87,81.28735632183908,2.29,0.04285776939607912,876.51,70.91,17.33,8.31,3.15,0.99,0.0,0.0,0.0,0.0
complete,151,8,10,5,200,100,0.84,61.404761904761905,2.31,0.03709486426033946,820.9,22.58,1.85,0.36,0.06,0.04,0.01,0.0,0.0,0.0
isolated,151,8,10,5,200,100,0.8,68.1375,2.23,0.041888513661681503,859.93,68.17,20.44,4.97,1.43,0.16,0.0,0.0,0.0,0.0
complete,151,8,10,10,200,100,0.92,69.96739130434783,2.55,0.03568703127055831,779.82,30.16,3.16,0.43,0.12,0.01,0.0,0.0,0.0,0.0
isolated,151,8,10,10,200,100,0.82,56.48780487804878,2.02,0.036542256918556205,756.61,55.81,15.42,4.23,1.03,0.1,0.0,0.0,0.0,0.0
complete,151,8,10,unlimited,200,100,1.0,40.58,4.8,0.01823604227884742,297.78,88.29,21.97,5.19,1.55,0.53,0.26,0.16,0.07,0.0
isolated,151,8,10,unlimited,200,100,0.93,66.97849462365592,2.0,0.03389763606859349,710.16,48.07,10.7,3.06,0.77,0.14,0.0,0.0,0.0,0.0
complete,151,10,10,5,200,100,0.95,55.084210526315786,2.06,0.027775097583439323,620.23,12.16,0.73,0.1,0.05,0.02,0.01,0.0,0.0,0.0
isolated,151,10,10,5,200,100,0.93,59.70967741935484,1.82,0.030932853822200776,660.1,35.16,7.65,1.88,0.51,0.0,0.0,0.0,0.0,0.0
complete,151,10,10,10,200,100,0.95,54.8421052631579,2.59,0.027674224814701113,604.77,23.07,2.59,0.42,0.09,0.04,0.01,0.01,0.0,0.0
isolated,151,10,10,10,200,100,0.88,53.53409090909091,1.95,0.031625805885706765,665.62,43.93,9.98,1.56,0.01,0.0,0.0,0.0,0.0,0.0
complete,151,10,10,unlimited,200,100,1.0,39.29,4.76,0.017670277619402656,289.07,85.18,21.35,5.16,1.27,0.42,0.2,0.13,0.1,0.02
isolated,151,10,10,unlimited,200,100,0.99,58.111111111111114,1.8,0.026547081268365424,581.77,21.22,2.15,0.16,0.0,0.0,0.0,0.0,0.0,0.0
