network_structure,grid_size,sigma,num_agents,agent_range,agent_strategy,epsilon,num_timesteps,num_simulations,success_proportion,avg_time_to_peak,avg_max_visits,avg_visits,redundancy
complete,25,1.5,10,2,default,0,200,200,0.79,60.40506329113924,2.35,0.0580608,11.845
isolated,25,1.5,10,2,default,0,200,200,0.76,61.85526315789474,2.32,0.061446400000000005,128.19
complete,25,1.5,10,4,default,0,200,200,0.99,61.42929292929293,3.575,0.0408416,23.485
isolated,25,1.5,10,4,default,0,200,200,0.895,70.91061452513966,2.59,0.054697600000000006,113.46
complete,25,1.5,10,6,default,0,200,200,1.0,44.525,4.92,0.029136,29.585
isolated,25,1.5,10,6,default,0,200,200,0.955,65.70157068062828,2.44,0.0465568,93.595
complete,25,1.5,10,unlimited,default,0,200,200,0.985,46.121827411167516,7.095,0.0316352,36.715
isolated,25,1.5,10,unlimited,default,0,200,200,0.975,60.76923076923077,2.36,0.04176,51.405
complete,41,1.5,10,2,default,0,200,200,0.245,74.38775510204081,1.89,0.024698567925595976,6.045
isolated,41,1.5,10,2,default,0,200,200,0.3,72.81666666666666,1.905,0.023627776729879143,67.7
complete,41,1.5,10,4,default,0,200,200,0.5,84.67,2.61,0.020796999463153467,18.135
isolated,41,1.5,10,4,default,0,200,200,0.48,88.53125,2.065,0.021400589080251303,68.18
complete,41,1.5,10,6,default,0,200,200,0.56,91.24107142857143,3.57,0.02032689601137534,35.73
isolated,41,1.5,10,6,default,0,200,200,0.55,90.36363636363636,2.205,0.02041467767443885,75.02
complete,41,1.5,10,unlimited,default,0,200,200,0.655,72.03053435114504,7.705,0.017002074839308774,44.67
isolated,41,1.5,10,unlimited,default,0,200,200,0.7,89.37857142857143,2.085,0.01792849784535918,35.75
