network_structure,grid_size,sigma,num_agents,agent_range,num_timesteps,num_simulations,success_proportion,avg_time_to_peak,avg_max_visits,avg_visits,one+_visit,two+_visits,three+_visits,four+_visits,five+_visits,six+_visits,seven+_visits,eight+_visits,nine+_visits,ten+_visits
complete,101,1,10,5,200,200,0.455,96.17582417582418,3.695,0.15073032055680813,1475.105,55.14,5.765,1.045,0.33,0.11,0.07,0.03,0.005,0.0
isolated,101,1,10,5,200,200,0.355,68.53521126760563,4.68,0.15128908930497006,1105.61,216.675,111.54,63.81,30.54,12.16,2.605,0.34,0.02,0.0
star,101,1,10,5,200,200,0.39,80.1923076923077,5.385,0.1512351730222527,1103.09,199.275,102.095,66.07,39.96,20.735,8.69,2.5,0.335,0.0
wheel,101,1,10,5,200,200,0.47,83.61702127659575,3.76,0.14341731202823252,1141.76,212.855,82.58,24.64,1.15,0.015,0.0,0.0,0.0,0.0
line,101,1,10,5,200,200,0.405,70.82716049382717,4.005,0.14575531810606798,1109.75,231.095,101.25,37.675,6.805,0.27,0.005,0.0,0.0,0.0
cycle,101,1,10,5,200,200,0.385,81.92207792207792,4.03,0.15247524752475244,1155.64,249.91,109.5,35.55,4.775,0.025,0.0,0.0,0.0,0.0
two_cliques,101,1,10,5,200,200,0.41,85.65853658536585,3.64,0.15108322713459463,1254.73,258.99,24.395,2.705,0.335,0.035,0.01,0.0,0.0,0.0
complete,101,1,10,10,200,200,0.52,90.79807692307692,4.095,0.14137339476521907,1371.755,59.555,8.315,1.695,0.48,0.195,0.09,0.045,0.015,0.005
isolated,101,1,10,10,200,200,0.335,94.71641791044776,5.015,0.16246446426820896,1179.745,231.835,124.97,71.285,32.18,12.86,3.435,0.93,0.06,0.0
star,101,1,10,10,200,200,0.385,76.59740259740259,6.405,0.15046564062346826,1061.755,196.305,101.13,67.21,45.69,29.7,19.045,9.93,4.135,0.0
wheel,101,1,10,10,200,200,0.375,72.52,4.215,0.15017645328889323,1162.27,245.47,93.745,28.735,1.72,0.01,0.0,0.0,0.0,0.0
line,101,1,10,10,200,200,0.36,72.77777777777777,4.43,0.1521419468679541,1149.135,244.385,107.58,40.44,9.93,0.53,0.0,0.0,0.0,0.0
cycle,101,1,10,10,200,200,0.37,65.41891891891892,4.16,0.14822566415057345,1118.485,242.435,105.115,38.545,7.415,0.055,0.0,0.0,0.0,0.0
two_cliques,101,1,10,10,200,200,0.43,73.34883720930233,3.785,0.14365258308009016,1187.545,248.355,25.65,3.315,0.485,0.045,0.005,0.0,0.0,0.0
complete,101,1,10,15,200,200,0.62,91.62096774193549,4.585,0.13116851289089304,1260.02,63.415,10.85,2.42,0.785,0.295,0.125,0.08,0.045,0.015
isolated,101,1,10,15,200,200,0.455,86.72527472527473,4.545,0.14651504754435837,1091.32,203.22,102.98,56.63,27.06,9.585,2.865,0.72,0.215,0.005
star,101,1,10,15,200,200,0.39,79.58974358974359,7.17,0.1510048034506421,1039.9,202.33,101.34,68.25,49.01,34.71,23.415,14.38,7.065,0.0
wheel,101,1,10,15,200,200,0.48,89.23958333333333,4.305,0.14492206646407213,1119.05,237.65,88.835,30.765,2.015,0.035,0.0,0.0,0.0,0.0
line,101,1,10,15,200,200,0.475,88.4,4.57,0.1450740123517302,1092.095,234.085,101.3,39.995,11.72,0.705,0.0,0.0,0.0,0.0
cycle,101,1,10,15,200,200,0.465,95.93548387096774,4.465,0.14960298009999018,1129.785,245.39,101.45,38.97,10.35,0.15,0.005,0.0,0.0,0.0
two_cliques,101,1,10,15,200,200,0.515,88.74757281553399,4.1,0.14087344378002153,1162.25,242.57,27.465,3.975,0.715,0.06,0.015,0.0,0.0,0.0
complete,101,1,10,20,200,200,0.66,97.8409090909091,5.145,0.13094304479952945,1241.085,74.065,14.92,3.68,1.115,0.44,0.215,0.155,0.065,0.01
isolated,101,1,10,20,200,200,0.39,77.41025641025641,4.755,0.1501715518086462,1088.98,210.725,114.225,68.16,32.545,12.825,3.715,0.645,0.08,0.0
star,101,1,10,20,200,200,0.44,91.45454545454545,7.74,0.15022056661111655,1017.975,200.12,101.805,69.465,50.155,37.12,27.475,17.805,10.48,0.0
wheel,101,1,10,20,200,200,0.475,83.83157894736843,4.64,0.1429467699245172,1090.775,233.375,94.215,36.775,3.015,0.045,0.0,0.0,0.0,0.0
line,101,1,10,20,200,200,0.495,88.57575757575758,4.665,0.14297127732575235,1061.505,233.74,103.805,44.655,13.985,0.76,0.0,0.0,0.0,0.0
cycle,101,1,10,20,200,200,0.54,97.29629629629629,4.525,0.14267228703068327,1051.405,242.485,105.135,44.265,11.895,0.21,0.005,0.0,0.0,0.0
two_cliques,101,1,10,20,200,200,0.57,107.16666666666667,4.445,0.14516714047642384,1188.505,251.6,34.19,5.405,0.96,0.165,0.02,0.005,0.0,0.0
complete,101,1,10,25,200,200,0.75,95.18666666666667,5.475,0.11997843348691305,1121.525,77.435,17.845,4.54,1.37,0.545,0.305,0.21,0.11,0.015
isolated,101,1,10,25,200,200,0.38,82.8157894736842,4.83,0.15338692285070088,1120.62,213.14,113.68,65.595,33.005,13.09,4.465,1.01,0.095,0.0
star,101,1,10,25,200,200,0.555,99.98198198198199,8.04,0.14262327222821292,934.145,192.97,106.1,73.32,53.43,38.72,27.685,18.03,10.5,0.0
