network_structure,grid_size,sigma,num_agents,agent_range,agent_strategy,epsilon,num_timesteps,num_simulations,success_proportion,avg_time_to_peak,avg_max_visits,avg_visits,redundancy
complete,25,3,10,2,default,0,200,200,0.99,31.924242424242426,1.705,0.022147200000000002,3.75
isolated,25,3,10,2,default,0,200,200,0.975,31.594871794871796,2.48,0.023555200000000002,46.125
complete,25,3,10,4,default,0,200,200,0.99,27.782828282828284,2.135,0.019523199999999998,5.115
isolated,25,3,10,4,default,0,200,200,1.0,31.785,2.43,0.0209824,32.015
complete,25,3,10,6,default,0,200,200,1.0,25.3,2.815,0.016832,9.21
isolated,25,3,10,6,default,0,200,200,1.0,30.63,2.4,0.0202432,27.505
complete,25,3,10,unlimited,default,0,200,200,1.0,23.05,3.925,0.015392000000000001,16.345
isolated,25,3,10,unlimited,default,0,200,200,1.0,32.51,2.6,0.021446400000000004,35.55
complete,25,2,10,2,default,0,200,200,0.84,49.63690476190476,1.9,0.0478048,8.8
isolated,25,2,10,2,default,0,200,200,0.9,44.71666666666667,2.27,0.0391968,93.495
complete,25,2,10,4,default,0,200,200,0.925,55.44864864864865,2.87,0.043065599999999996,13.565
isolated,25,2,10,4,default,0,200,200,0.95,48.910526315789475,2.395,0.0367776,76.835
complete,25,2,10,6,default,0,200,200,0.98,51.035714285714285,4.06,0.035209599999999994,21.605
isolated,25,2,10,6,default,0,200,200,1.0,48.745,2.45,0.0318368,63.435
complete,25,2,10,unlimited,default,0,200,200,1.0,42.88,5.46,0.028083200000000003,26.7
isolated,25,2,10,unlimited,default,0,200,200,1.0,51.67,2.535,0.0337088,57.235
complete,25,1,10,2,default,0,200,200,0.515,70.42718446601941,2.115,0.0859328,12.565
isolated,25,1,10,2,default,0,200,200,0.605,81.84297520661157,2.3,0.0828896,118.07
complete,25,1,10,4,default,0,200,200,0.615,87.10569105691057,3.765,0.08420480000000001,29.86
isolated,25,1,10,4,default,0,200,200,0.745,84.22818791946308,2.58,0.07344,109.59
complete,25,1,10,6,default,0,200,200,0.77,84.48051948051948,5.465,0.071712,45.47
isolated,25,1,10,6,default,0,200,200,0.83,83.8132530120482,2.585,0.0669216,104.125
complete,25,1,10,unlimited,default,0,200,200,0.83,83.3855421686747,6.47,0.0666944,41.17
isolated,25,1,10,unlimited,default,0,200,200,0.88,81.9659090909091,2.435,0.062163199999999995,63.04
