network_structure,grid_size,sigma,num_agents,agent_range,agent_strategy,epsilon,num_timesteps,num_simulations,success_proportion,avg_time_to_peak,avg_max_visits,avg_visits,redundancy
complete,41,3,10,4,default,0,200,200,0.775,58.593548387096774,1.965,0.013263011273777223,5.495
isolated,41,3,10,4,default,0,200,200,0.79,71.25949367088607,2.28,0.014407074766761944,89.93
complete,41,3,10,6,default,0,200,200,0.845,70.20710059171597,2.625,0.013250678312850945,13.08
isolated,41,3,10,6,default,0,200,200,0.885,68.44067796610169,2.405,0.01227057065335674,81.34
complete,41,3,10,8,default,0,200,200,0.885,70.25988700564972,3.465,0.01250417144266624,20.595
isolated,41,3,10,8,default,0,200,200,0.975,70.33846153846154,2.26,0.010821085010374196,71.295
complete,41,3,10,10,default,0,200,200,0.93,70.08602150537635,4.49,0.011633609494928976,28.91
isolated,41,3,10,10,default,0,200,200,0.95,72.01578947368421,2.4,0.011522612846592475,86.125
complete,41,3,10,unlimited,default,0,200,200,0.93,52.60752688172043,5.58,0.009275112084850773,29.775
isolated,41,3,10,unlimited,default,0,200,200,0.96,70.72916666666667,2.375,0.011157702296832606,57.435
complete,41,2,10,4,default,0,200,200,0.485,75.29896907216495,2.245,0.020388560816006734,8.86
isolated,41,2,10,4,default,0,200,200,0.605,83.55371900826447,2.165,0.018941977046183313,80.885
complete,41,2,10,6,default,0,200,200,0.615,90.6829268292683,3.105,0.01940917862480231,20.88
isolated,41,2,10,6,default,0,200,200,0.7,90.53571428571429,2.35,0.018046023708303712,95.855
complete,41,2,10,8,default,0,200,200,0.72,95.34027777777777,4.21,0.018230292653908096,33.965
isolated,41,2,10,8,default,0,200,200,0.755,83.98675496688742,2.295,0.01645507174881386,83.39
complete,41,2,10,10,default,0,200,200,0.75,96.19333333333333,5.36,0.01786755850901757,45.76
isolated,41,2,10,10,default,0,200,200,0.84,86.875,2.175,0.01537630040190943,77.99
complete,41,2,10,unlimited,default,0,200,200,0.805,70.99378881987577,6.365,0.014095848870445873,37.33
isolated,41,2,10,unlimited,default,0,200,200,0.89,87.69101123595506,2.125,0.014660988668185312,48.35
complete,41,1,10,4,default,0,200,200,0.22,96.0,2.45,0.02584408235516026,12.86
isolated,41,1,10,4,default,0,200,200,0.2,100.75,2.105,0.02628371613876757,49.615
complete,41,1,10,6,default,0,200,200,0.23,105.67391304347827,3.39,0.02601601833983837,29.455
isolated,41,1,10,6,default,0,200,200,0.295,96.32203389830508,2.105,0.02472613572060765,57.165
complete,41,1,10,8,default,0,200,200,0.255,122.41176470588235,4.83,0.02629314722653473,50.84
isolated,41,1,10,8,default,0,200,200,0.365,109.6027397260274,2.15,0.02437646000493319,56.49
complete,41,1,10,10,default,0,200,200,0.295,101.61016949152543,6.005,0.024952481827019337,64.07
isolated,41,1,10,10,default,0,200,200,0.37,106.21621621621621,2.175,0.024129075318117844,58.685
complete,41,1,10,unlimited,default,0,200,200,0.335,100.41791044776119,7.19,0.024323500819779166,49.665
isolated,41,1,10,unlimited,default,0,200,200,0.375,109.44,2.22,0.02423644462500544,32.465
