network_structure,grid_size,sigma,num_agents,agent_range,agent_strategy,epsilon,num_timesteps,num_simulations,success_proportion,avg_time_to_peak,avg_max_visits,avg_visits,redundancy
complete,41,0.4,10,2,default,0,200,200,0.045,88.66666666666667,1.68,0.028436906022837743,2.345
isolated,41,0.4,10,2,default,0,200,200,0.135,112.0,1.955,0.027440112592678575,28.26
complete,41,0.4,10,4,default,0,200,200,0.07,102.78571428571429,2.455,0.028176462906806345,12.63
isolated,41,0.4,10,4,default,0,200,200,0.09,100.88888888888889,2.07,0.027869589820228954,29.25
complete,41,0.4,10,6,default,0,200,200,0.06,83.33333333333333,3.645,0.028148169643504882,30.76
isolated,41,0.4,10,6,default,0,200,200,0.11,119.63636363636364,2.11,0.027881197312865452,29.93
complete,41,0.4,10,unlimited,default,0,200,200,0.105,111.28571428571429,7.715,0.027812277825336254,63.665
isolated,41,0.4,10,unlimited,default,0,200,200,0.11,118.54545454545455,2.145,0.02786378607391071,27.185
complete,41,0.6,10,2,default,0,200,200,0.105,89.61904761904762,1.68,0.02748218975348588,2.795
isolated,41,0.6,10,2,default,0,200,200,0.125,91.92,1.975,0.02720360993020995,32.07
complete,41,0.6,10,4,default,0,200,200,0.095,96.21052631578948,2.45,0.027733201781750115,12.475
isolated,41,0.6,10,4,default,0,200,200,0.115,107.8695652173913,2.145,0.027626557943152302,35.94
complete,41,0.6,10,6,default,0,200,200,0.11,118.68181818181819,3.49,0.027865962478780055,31.06
isolated,41,0.6,10,6,default,0,200,200,0.075,114.2,2.14,0.02823014756025014,36.31
complete,41,0.6,10,unlimited,default,0,200,200,0.185,106.86486486486487,7.095,0.026663861522612846,55.8
isolated,41,0.6,10,unlimited,default,0,200,200,0.17,126.5,2.205,0.027350879993035503,30.475
complete,41,0.8,10,2,default,0,200,200,0.14,84.03571428571429,1.71,0.026808229712279273,2.895
isolated,41,0.8,10,2,default,0,200,200,0.1,96.15,1.985,0.02765702761132311,46.535
complete,41,0.8,10,4,default,0,200,200,0.155,88.03225806451613,2.5,0.02664572481536832,12.6
isolated,41,0.8,10,4,default,0,200,200,0.24,96.54166666666667,2.06,0.025561149722145644,43.995
complete,41,0.8,10,6,default,0,200,200,0.2,107.575,3.405,0.026481768981877804,29.405
isolated,41,0.8,10,6,default,0,200,200,0.22,108.27272727272727,2.155,0.026235835231642027,48.96
complete,41,0.8,10,unlimited,default,0,200,200,0.23,90.65217391304348,7.345,0.025514719751599656,55.6
isolated,41,0.8,10,unlimited,default,0,200,200,0.28,118.71428571428571,2.215,0.025861493594115003,30.54
complete,41,1,10,2,default,0,200,200,0.13,71.46153846153847,1.72,0.02673931022475008,3.095
isolated,41,1,10,2,default,0,200,200,0.165,74.75757575757575,1.925,0.026165464807533265,49.72
complete,41,1,10,4,default,0,200,200,0.195,84.38461538461539,2.4,0.025892688730575583,12.115
isolated,41,1,10,4,default,0,200,200,0.3,107.0,2.095,0.025115712192220075,53.66
complete,41,1,10,6,default,0,200,200,0.23,103.17391304347827,3.46,0.025932589486513544,28.665
isolated,41,1,10,6,default,0,200,200,0.355,111.69014084507042,2.095,0.02461513907227115,53.735
complete,41,1,10,unlimited,default,0,200,200,0.355,90.26760563380282,6.76,0.02351170180351417,47.195
isolated,41,1,10,unlimited,default,0,200,200,0.375,110.56,2.205,0.02429738396134705,33.1
complete,41,2,10,2,default,0,200,200,0.385,70.75324675324676,1.705,0.02194396482929731,3.225
isolated,41,2,10,2,default,0,200,200,0.38,67.97368421052632,1.92,0.021884476429535265,78.05
complete,41,2,10,4,default,0,200,200,0.545,76.6697247706422,2.32,0.019411355029671652,9.675
isolated,41,2,10,4,default,0,200,200,0.61,84.71311475409836,2.135,0.018960113753427835,89.975
complete,41,2,10,6,default,0,200,200,0.595,83.02521008403362,3.075,0.01906530665544609,19.99
isolated,41,2,10,6,default,0,200,200,0.81,87.23456790123457,2.05,0.015910970531478066,69.835
complete,41,2,10,unlimited,default,0,200,200,0.745,78.36912751677852,6.545,0.016016163433496322,37.765
isolated,41,2,10,unlimited,default,0,200,200,0.84,87.63095238095238,2.22,0.015468434874711627,48.305
complete,41,3,10,2,default,0,200,200,0.7,48.85,1.545,0.013812190769141482,3.025
isolated,41,3,10,2,default,0,200,200,0.71,55.67605633802817,2.05,0.014296078118425447,98.19
complete,41,3,10,4,default,0,200,200,0.73,61.75342465753425,1.975,0.01452097328825757,6.54
isolated,41,3,10,4,default,0,200,200,0.795,57.37106918238994,2.15,0.012711655373543622,72.485
complete,41,3,10,6,default,0,200,200,0.83,63.16265060240964,2.53,0.012684813046821723,11.745
isolated,41,3,10,6,default,0,200,200,0.88,68.33522727272727,2.395,0.012352548570102,86.285
complete,41,3,10,unlimited,default,0,200,200,0.945,61.17989417989418,5.835,0.010129713730212852,31.69
isolated,41,3,10,unlimited,default,0,200,200,0.975,64.3025641025641,2.155,0.009967208833301896,46.535
