network_structure,grid_size,sigma,num_agents,agent_range,agent_strategy,epsilon,num_timesteps,num_simulations,success_proportion,avg_time_to_peak,avg_max_visits,avg_visits,redundancy
complete,101,3,10,10,epsilonGreedy,0,200,1000,0.917,54.279171210468924,2.354,0.06604646603274189,11.107
isolated,101,3,10,10,epsilonGreedy,0,200,1000,0.944,57.472457627118644,2.556,0.06514459366728752,80.552
complete,101,3,10,25,epsilonGreedy,0,200,1000,1.0,35.428,4.421,0.03571022448779532,27.676
isolated,101,3,10,25,epsilonGreedy,0,200,1000,0.998,45.57214428857716,2.454,0.04595725909224586,46.195
complete,101,3,10,unlimited,epsilonGreedy,0,200,1000,0.997,33.861584754262786,6.208,0.034663268307028726,33.422
isolated,101,3,10,unlimited,epsilonGreedy,0,200,1000,0.999,42.691691691691695,2.332,0.042985001470444074,29.976
complete,101,3,10,10,epsilonGreedy,0.5,200,1000,0.985,58.97360406091371,1.962,0.06086560141162631,4.207
isolated,101,3,10,10,epsilonGreedy,0.5,200,1000,0.95,63.503157894736844,2.705,0.06992255661209684,63.43
complete,101,3,10,25,epsilonGreedy,0.5,200,1000,1.0,30.309,2.585,0.030692089010881288,7.382
isolated,101,3,10,25,epsilonGreedy,0.5,200,1000,0.997,48.698094282848544,2.545,0.049163807469855894,33.153
complete,101,3,10,unlimited,epsilonGreedy,0.5,200,1000,0.998,32.21643286573146,3.512,0.032890893049701005,12.249
isolated,101,3,10,unlimited,epsilonGreedy,0.5,200,1000,0.999,38.4024024024024,2.333,0.03878443289873542,21.035
complete,101,3,10,10,epsilonGreedy,0.1,200,1000,0.934,57.906852248394,2.334,0.06693951573375159,10.51
isolated,101,3,10,10,epsilonGreedy,0.1,200,1000,0.951,56.22187171398528,2.477,0.06300068620723458,73.654
complete,101,3,10,25,epsilonGreedy,0.1,200,1000,0.999,33.753753753753756,4.208,0.03423193804528968,22.991
isolated,101,3,10,25,epsilonGreedy,0.1,200,1000,0.999,42.6956956956957,2.414,0.04298892265464171,39.397
complete,101,3,10,unlimited,epsilonGreedy,0.1,200,1000,0.994,34.25050301810865,5.593,0.03553083031075384,28.4
isolated,101,3,10,unlimited,epsilonGreedy,0.1,200,1000,0.997,39.676028084252756,2.317,0.04034604450544064,26.966
complete,101,3,10,10,epsilonGreedy,0.15,200,1000,0.938,55.340085287846485,2.313,0.06402215469071659,9.272
isolated,101,3,10,10,epsilonGreedy,0.15,200,1000,0.949,58.10221285563751,2.554,0.06503185962160572,75.947
complete,101,3,10,25,epsilonGreedy,0.15,200,1000,1.0,33.421,4.018,0.03374277031663562,20.943
isolated,101,3,10,25,epsilonGreedy,0.15,200,1000,0.998,42.40981963927856,2.448,0.04286344476031762,37.942
complete,101,3,10,unlimited,epsilonGreedy,0.15,200,1000,0.992,34.50504032258065,5.372,0.036103323203607485,26.089
isolated,101,3,10,unlimited,epsilonGreedy,0.15,200,1000,0.998,38.30260521042084,2.307,0.038845211253798646,24.938
complete,101,3,10,10,epsilonGreedy,0.2,200,1000,0.946,55.11099365750528,2.281,0.06267522791883148,8.726
isolated,101,3,10,10,epsilonGreedy,0.2,200,1000,0.935,53.442780748663104,2.546,0.06270855798451132,70.729
complete,101,3,10,25,epsilonGreedy,0.2,200,1000,0.999,32.2972972972973,3.792,0.0328056072934026,18.23
isolated,101,3,10,25,epsilonGreedy,0.2,200,1000,0.999,42.772772772772775,2.458,0.043064405450446035,37.004
complete,101,3,10,unlimited,epsilonGreedy,0.2,200,1000,0.998,32.675350701402806,5.099,0.03333986864032938,23.887
isolated,101,3,10,unlimited,epsilonGreedy,0.2,200,1000,0.999,37.32332332332332,2.304,0.03772767375747475,24.02
complete,101,3,10,10,epsilonGreedy,0.3,200,1000,0.964,57.802904564315355,2.177,0.06266248407018919,7.131
isolated,101,3,10,10,epsilonGreedy,0.3,200,1000,0.958,55.28705636743215,2.517,0.06113616312126262,62.656
complete,101,3,10,25,epsilonGreedy,0.3,200,1000,0.998,31.718436873747496,3.471,0.03240368591314576,14.406
isolated,101,3,10,25,epsilonGreedy,0.3,200,1000,0.999,42.074074074074076,2.475,0.04238015880796,33.594
complete,101,3,10,unlimited,epsilonGreedy,0.3,200,1000,0.999,33.22522522522522,4.563,0.03371434173120282,19.941
isolated,101,3,10,unlimited,epsilonGreedy,0.3,200,1000,0.999,38.453453453453456,2.311,0.03883442799725518,23.853
complete,101,3,10,10,epsilonGreedy,0.4,200,1000,0.964,57.90767634854772,2.06,0.0627614939711793,5.588
isolated,101,3,10,10,epsilonGreedy,0.4,200,1000,0.957,60.009404388714735,2.648,0.06570826389569649,65.812
complete,101,3,10,25,epsilonGreedy,0.4,200,1000,0.999,30.545545545545547,2.955,0.031090089206940494,10.53
isolated,101,3,10,25,epsilonGreedy,0.4,200,1000,0.999,43.51851851851852,2.452,0.04379472600725419,30.759
complete,101,3,10,unlimited,epsilonGreedy,0.4,200,1000,0.996,32.58132530120482,3.943,0.033576119988236446,15.315
isolated,101,3,10,unlimited,epsilonGreedy,0.4,200,1000,1.0,38.713,2.386,0.03893049701009705,23.224
complete,101,3,10,10,epsilonGreedy,0.5,200,1000,0.981,55.61162079510704,1.989,0.05818547201254779,3.965
isolated,101,3,10,10,epsilonGreedy,0.5,200,1000,0.948,62.46097046413502,2.651,0.0692216449367709,64.057
complete,101,3,10,25,epsilonGreedy,0.5,200,1000,0.999,30.444444444444443,2.528,0.030991079305950398,7.214
isolated,101,3,10,25,epsilonGreedy,0.5,200,1000,1.0,44.896,2.433,0.04499166748358004,27.586
complete,101,3,10,unlimited,epsilonGreedy,0.5,200,1000,0.999,32.41941941941942,3.54,0.03292520341143025,12.051
isolated,101,3,10,unlimited,epsilonGreedy,0.5,200,1000,0.998,36.519038076152306,2.299,0.03710028428585433,19.588
complete,101,3,10,10,epsilonGreedy,0.6,200,1000,0.978,62.55316973415133,1.825,0.06526517008136458,2.798
isolated,101,3,10,10,epsilonGreedy,0.6,200,1000,0.937,70.7556029882604,2.754,0.07832369375551416,67.259
complete,101,3,10,25,epsilonGreedy,0.6,200,1000,1.0,31.515,2.243,0.031874326046466034,4.772
isolated,101,3,10,25,epsilonGreedy,0.6,200,1000,0.998,53.655310621242485,2.569,0.05386530732281149,32.564
complete,101,3,10,unlimited,epsilonGreedy,0.6,200,1000,0.996,31.416666666666668,3.042,0.03243897657092443,8.9
isolated,101,3,10,unlimited,epsilonGreedy,0.6,200,1000,0.998,39.8496993987976,2.37,0.04035878835408293,20.443
complete,101,3,10,10,epsilonGreedy,0.7,200,1000,0.972,69.99382716049382,1.697,0.07316341535143613,1.761
isolated,101,3,10,10,epsilonGreedy,0.7,200,1000,0.856,81.64953271028037,2.891,0.09772767375747475,80.884
complete,101,3,10,25,epsilonGreedy,0.7,200,1000,1.0,32.986,1.906,0.03331634153514361,2.698
isolated,101,3,10,25,epsilonGreedy,0.7,200,1000,0.997,64.89167502507523,2.644,0.06499068718753062,37.147
complete,101,3,10,unlimited,epsilonGreedy,0.7,200,1000,0.998,32.690380761523045,2.603,0.033354573081070475,6.029
isolated,101,3,10,unlimited,epsilonGreedy,0.7,200,1000,0.997,45.28786359077232,2.388,0.045830800901872366,22.733
complete,101,3,10,10,epsilonGreedy,0.8,200,1000,0.929,83.36167922497309,1.593,0.09081756690520537,1.157
isolated,101,3,10,10,epsilonGreedy,0.8,200,1000,0.711,97.07876230661041,2.938,0.12530438192334084,99.482
complete,101,3,10,25,epsilonGreedy,0.8,200,1000,1.0,38.651,1.669,0.03886971865503382,1.347
isolated,101,3,10,25,epsilonGreedy,0.8,200,1000,0.981,85.55963302752293,2.825,0.08698558964807371,53.981
complete,101,3,10,unlimited,epsilonGreedy,0.8,200,1000,0.995,32.97386934673367,2.139,0.03412312518380551,3.315
isolated,101,3,10,unlimited,epsilonGreedy,0.8,200,1000,0.998,53.27354709418837,2.458,0.05349181452798745,23.886
complete,101,3,10,10,epsilonGreedy,0.9,200,1000,0.681,103.51688693098384,1.517,0.13262915400450934,0.817
isolated,101,3,10,10,epsilonGreedy,0.9,200,1000,0.411,104.14355231143553,3.032,0.15841878247230665,127.681
complete,101,3,10,25,epsilonGreedy,0.9,200,1000,1.0,61.997,1.431,0.061755710224487795,0.62
isolated,101,3,10,25,epsilonGreedy,0.9,200,1000,0.767,112.06649282920469,2.996,0.1309234388785413,96.784
complete,101,3,10,unlimited,epsilonGreedy,0.9,200,1000,0.995,38.36281407035176,1.631,0.03937947260072542,1.232
isolated,101,3,10,unlimited,epsilonGreedy,0.9,200,1000,0.996,77.13755020080322,2.605,0.07707969806881679,37.495
complete,101,3,10,10,epsilonGreedy,1.0,200,1000,0.202,96.76732673267327,1.575,0.17659739241250857,0.91
isolated,101,3,10,10,epsilonGreedy,1.0,200,1000,0.179,93.97765363128492,3.122,0.17843544750514656,148.294
complete,101,3,10,25,epsilonGreedy,1.0,200,1000,0.186,95.81720430107526,1.559,0.17804332908538378,0.852
isolated,101,3,10,25,epsilonGreedy,1.0,200,1000,0.151,93.56953642384106,3.133,0.18128516812077247,151.288
