network_structure,grid_size,sigma,num_agents,agent_range,agent_strategy,epsilon,num_timesteps,num_simulations,success_proportion,avg_time_to_peak,avg_max_visits,avg_visits,redundancy
complete,101,1,10,10,epsilonGreedy,0.1,200,1000,0.554,85.09747292418773,3.855,0.13463778060974413,52.161
isolated,101,1,10,10,epsilonGreedy,0.1,200,1000,0.429,75.46153846153847,4.772,0.1446652288991275,426.309
complete,101,1,10,25,epsilonGreedy,0.1,200,1000,0.727,86.69876203576341,5.212,0.11629252034114301,79.556
isolated,101,1,10,25,epsilonGreedy,0.1,200,1000,0.461,84.3232104121475,5.596,0.14476325850406824,549.2
complete,101,1,10,unlimited,epsilonGreedy,0.1,200,1000,0.907,84.4696802646086,5.698,0.09431820409763747,101.868
isolated,101,1,10,unlimited,epsilonGreedy,0.1,200,1000,0.602,92.28571428571429,5.322,0.1334731889030487,496.8
complete,101,2,10,10,epsilonGreedy,0.1,200,1000,0.784,65.89795918367346,3.38,0.09397510048034505,40.158
isolated,101,2,10,10,epsilonGreedy,0.1,200,1000,0.714,66.26050420168067,3.623,0.10343103617292422,253.548
complete,101,2,10,25,epsilonGreedy,0.1,200,1000,0.964,60.48651452282158,4.803,0.0651985099500049,67.003
isolated,101,2,10,25,epsilonGreedy,0.1,200,1000,0.815,67.25766871165644,3.835,0.09098617782570335,272.729
complete,101,2,10,unlimited,epsilonGreedy,0.1,200,1000,1.0,44.033,5.219,0.04414567199294187,87.177
isolated,101,2,10,unlimited,epsilonGreedy,0.1,200,1000,0.945,70.95238095238095,3.447,0.0774924027056171,208.949
complete,101,3,10,10,epsilonGreedy,0.1,200,1000,0.887,55.22547914317926,3.065,0.07115478874620136,30.844
isolated,101,3,10,10,epsilonGreedy,0.1,200,1000,0.867,56.64705882352941,2.876,0.07520145083815312,148.53
complete,101,3,10,25,epsilonGreedy,0.1,200,1000,0.995,43.981909547738695,4.359,0.044860307812959514,55.274
isolated,101,3,10,25,epsilonGreedy,0.1,200,1000,0.941,54.18490967056323,2.858,0.06253112439956866,138.335
complete,101,3,10,unlimited,epsilonGreedy,0.1,200,1000,1.0,29.904,4.632,0.03029506911087148,66.234
isolated,101,3,10,unlimited,epsilonGreedy,0.1,200,1000,0.998,49.85270541082164,2.585,0.05014508381531223,81.43
complete,101,4,10,10,epsilonGreedy,0.1,200,1000,0.939,47.35143769968051,2.786,0.05652681109695128,24.721
isolated,101,4,10,10,epsilonGreedy,0.1,200,1000,0.899,52.60177975528365,2.678,0.06713949612783061,122.284
complete,101,4,10,25,epsilonGreedy,0.1,200,1000,1.0,34.605,4.05,0.034903440839133416,45.61
isolated,101,4,10,25,epsilonGreedy,0.1,200,1000,0.975,45.215384615384615,2.433,0.04909812763454564,78.371
complete,101,4,10,unlimited,epsilonGreedy,0.1,200,1000,1.0,23.666,4.228,0.02417998235467111,53.996
isolated,101,4,10,unlimited,epsilonGreedy,0.1,200,1000,1.0,38.373,2.156,0.038597196353298696,36.612
complete,101,5,10,10,epsilonGreedy,0.1,200,1000,0.977,41.97645854657114,2.661,0.04569257915890598,19.744
isolated,101,5,10,10,epsilonGreedy,0.1,200,1000,0.952,44.93172268907563,2.337,0.0523233016370944,73.341
complete,101,5,10,25,epsilonGreedy,0.1,200,1000,1.0,25.767,3.619,0.026239584354475053,34.662
isolated,101,5,10,25,epsilonGreedy,0.1,200,1000,0.987,38.36676798378926,2.18,0.040650916576806195,47.442
complete,101,5,10,unlimited,epsilonGreedy,0.1,200,1000,1.0,18.019,3.839,0.01864425056367023,40.392
isolated,101,5,10,unlimited,epsilonGreedy,0.1,200,1000,1.0,32.544,1.998,0.03288305068130575,19.085
