network_structure,grid_size,sigma,num_agents,agent_range,agent_strategy,epsilon,num_timesteps,num_simulations,success_proportion,avg_time_to_peak,avg_max_visits,avg_visits,redundancy
complete,101,3,10,10,epsilonGreedy,0,100,1000,0.636,39.221698113207545,3.43,0.061116557200274486,41.802
isolated,101,3,10,10,epsilonGreedy,0,100,1000,0.585,41.957264957264954,2.257,0.06572394863248701,58.146
complete,101,3,10,25,epsilonGreedy,0,100,1000,0.906,44.650110375275936,4.909,0.049850995000490145,79.017
isolated,101,3,10,25,epsilonGreedy,0,100,1000,0.57,41.194736842105264,2.276,0.06615135771002842,59.561
complete,101,3,10,unlimited,epsilonGreedy,0,100,1000,0.994,38.756539235412475,5.63,0.039333398686403294,104.078
isolated,101,3,10,unlimited,epsilonGreedy,0,100,1000,0.609,48.69622331691297,2.339,0.06838153122242917,60.586
complete,101,3,10,10,epsilonGreedy,0.05,100,1000,0.669,41.08968609865471,3.328,0.06037545338692285,37.663
isolated,101,3,10,10,epsilonGreedy,0.05,100,1000,0.626,42.87699680511182,2.388,0.06395549455935692,61.318
complete,101,3,10,25,epsilonGreedy,0.05,100,1000,0.913,38.46221248630887,4.543,0.043932947750220566,64.397
isolated,101,3,10,25,epsilonGreedy,0.05,100,1000,0.722,40.81717451523546,2.463,0.05712185079894128,65.386
complete,101,3,10,unlimited,epsilonGreedy,0.05,100,1000,0.999,34.146146146146144,5.066,0.034518184491716494,83.74
isolated,101,3,10,unlimited,epsilonGreedy,0.05,100,1000,0.775,42.17677419354839,2.522,0.05507989412802666,68.877
complete,101,3,10,10,epsilonGreedy,0.1,100,1000,0.733,37.63574351978172,3.046,0.05419762768356043,29.596
isolated,101,3,10,10,epsilonGreedy,0.1,100,1000,0.692,40.884393063583815,2.39,0.058907950200960686,54.51
complete,101,3,10,25,epsilonGreedy,0.1,100,1000,0.926,34.55939524838013,4.202,0.039605920988138414,49.496
isolated,101,3,10,25,epsilonGreedy,0.1,100,1000,0.802,38.917705735660846,2.468,0.05098715812175277,61.098
complete,101,3,10,unlimited,epsilonGreedy,0.1,100,1000,0.999,30.33233233233233,4.639,0.030783256543476127,67.679
isolated,101,3,10,unlimited,epsilonGreedy,0.1,100,1000,0.88,40.575,2.455,0.04774629938241349,62.461
complete,101,3,10,10,epsilonGreedy,0.15,100,1000,0.724,34.498618784530386,2.93,0.0525213214390746,25.295
isolated,101,3,10,10,epsilonGreedy,0.15,100,1000,0.737,40.33242876526459,2.392,0.055901382217429664,49.878
complete,101,3,10,25,epsilonGreedy,0.15,100,1000,0.935,33.4855614973262,4.05,0.038044309381433196,43.969
isolated,101,3,10,25,epsilonGreedy,0.15,100,1000,0.84,37.28928571428571,2.433,0.047370845995490636,56.818
complete,101,3,10,unlimited,epsilonGreedy,0.15,100,1000,0.999,28.013013013013012,4.411,0.028511910597000294,55.882
isolated,101,3,10,unlimited,epsilonGreedy,0.15,100,1000,0.913,38.52026286966046,2.441,0.043984903440839135,54.485
complete,101,3,10,10,epsilonGreedy,0.2,100,1000,0.777,35.113256113256114,2.747,0.049586315067150284,20.111
isolated,101,3,10,10,epsilonGreedy,0.2,100,1000,0.76,39.69868421052632,2.38,0.05408391334182923,45.118
complete,101,3,10,25,epsilonGreedy,0.2,100,1000,0.943,30.347826086956523,3.671,0.03462209587295363,34.032
isolated,101,3,10,25,epsilonGreedy,0.2,100,1000,0.87,36.326436781609196,2.421,0.04470542103715322,50.205
complete,101,3,10,unlimited,epsilonGreedy,0.2,100,1000,0.999,24.066066066066067,3.99,0.024646603274188803,42.412
isolated,101,3,10,unlimited,epsilonGreedy,0.2,100,1000,0.957,36.73667711598746,2.324,0.0396598372708558,40.329
complete,101,3,10,10,epsilonGreedy,0.25,100,1000,0.816,35.09681372549019,2.565,0.04709244191745907,15.729
isolated,101,3,10,10,epsilonGreedy,0.25,100,1000,0.807,39.56629491945477,2.353,0.05120086266052347,40.117
complete,101,3,10,25,epsilonGreedy,0.25,100,1000,0.958,28.37160751565762,3.424,0.0317419860797961,26.879
isolated,101,3,10,25,epsilonGreedy,0.25,100,1000,0.919,36.07616974972797,2.353,0.04142142927164004,39.099
complete,101,3,10,unlimited,epsilonGreedy,0.25,100,1000,0.999,23.48748748748749,3.787,0.024079992157631604,37.342
isolated,101,3,10,unlimited,epsilonGreedy,0.25,100,1000,0.96,35.01875,2.287,0.03785707283599648,34.45
complete,101,3,10,10,epsilonGreedy,0.3,100,1000,0.831,34.69915764139591,2.429,0.04581413586903244,12.49
isolated,101,3,10,10,epsilonGreedy,0.3,100,1000,0.823,39.660996354799515,2.338,0.05032937947260072,35.523
complete,101,3,10,25,epsilonGreedy,0.3,100,1000,0.971,27.66117404737384,3.148,0.03015292618370748,21.656
isolated,101,3,10,25,epsilonGreedy,0.3,100,1000,0.925,36.11459459459459,2.339,0.04108028624644643,34.885
complete,101,3,10,unlimited,epsilonGreedy,0.3,100,1000,1.0,21.41,3.558,0.0219684344672091,29.374
isolated,101,3,10,unlimited,epsilonGreedy,0.3,100,1000,0.983,33.79857578840285,2.2,0.035216155278894226,24.818
complete,101,3,10,10,epsilonGreedy,0,200,1000,0.838,67.03579952267303,3.447,0.08781099892167434,46.419
isolated,101,3,10,10,epsilonGreedy,0,200,1000,0.728,62.20192307692308,3.235,0.098699147142437,231.974
complete,101,3,10,25,epsilonGreedy,0,200,1000,0.99,50.3020202020202,4.859,0.051758651112636014,78.802
isolated,101,3,10,25,epsilonGreedy,0,200,1000,0.822,70.53649635036497,3.135,0.09271738064895597,196.095
complete,101,3,10,unlimited,epsilonGreedy,0,200,1000,1.0,39.185,5.637,0.039393196745417115,105.09
isolated,101,3,10,unlimited,epsilonGreedy,0,200,1000,0.946,78.3276955602537,2.788,0.08420547005195568,138.104
complete,101,3,10,10,epsilonGreedy,0.05,200,1000,0.87,58.62183908045977,3.234,0.07646407214978923,37.504
isolated,101,3,10,10,epsilonGreedy,0.05,200,1000,0.81,58.98888888888889,3.055,0.085071071463582,191.366
complete,101,3,10,25,epsilonGreedy,0.05,200,1000,0.993,46.096676737160124,4.594,0.047224781884129007,63.093
isolated,101,3,10,25,epsilonGreedy,0.05,200,1000,0.902,60.0609756097561,3.0,0.0733016370944025,169.619
complete,101,3,10,unlimited,epsilonGreedy,0.05,200,1000,1.0,34.774,5.228,0.03506911087148319,84.555
isolated,101,3,10,unlimited,epsilonGreedy,0.05,200,1000,0.992,60.641129032258064,2.755,0.06151945887658073,111.008
complete,101,3,10,10,epsilonGreedy,0.1,200,1000,0.893,56.650615901455765,3.086,0.07155082835016174,31.046
isolated,101,3,10,10,epsilonGreedy,0.1,200,1000,0.837,56.08721624850657,3.001,0.07895794529948043,161.782
complete,101,3,10,25,epsilonGreedy,0.1,200,1000,0.996,42.78815261044177,4.263,0.0435418096265072,52.316
isolated,101,3,10,25,epsilonGreedy,0.1,200,1000,0.924,54.814935064935064,2.962,0.06553181060680324,148.735
complete,101,3,10,unlimited,epsilonGreedy,0.1,200,1000,1.0,30.775,4.692,0.03114890696990491,68.03
isolated,101,3,10,unlimited,epsilonGreedy,0.1,200,1000,0.996,50.21184738955823,2.595,0.05079011861582198,85.223
complete,101,3,10,10,epsilonGreedy,0.15,200,1000,0.91,53.31098901098901,2.81,0.06618272718360944,24.535
isolated,101,3,10,10,epsilonGreedy,0.15,200,1000,0.892,57.58183856502242,2.877,0.07250563670228408,135.427
complete,101,3,10,25,epsilonGreedy,0.15,200,1000,0.999,39.832832832832835,4.018,0.04018527595333791,44.274
isolated,101,3,10,25,epsilonGreedy,0.15,200,1000,0.949,49.24868282402529,2.77,0.05679541221448878,115.537
complete,101,3,10,unlimited,epsilonGreedy,0.15,200,1000,1.0,27.992,4.471,0.028420743064405448,55.977
isolated,101,3,10,unlimited,epsilonGreedy,0.15,200,1000,0.997,45.38314944834504,2.525,0.04592392902656603,69.41
complete,101,3,10,10,epsilonGreedy,0.2,200,1000,0.938,52.99360341151386,2.738,0.06186452308597196,21.069
isolated,101,3,10,10,epsilonGreedy,0.2,200,1000,0.913,54.258488499452355,2.73,0.0665993530046074,108.835
complete,101,3,10,25,epsilonGreedy,0.2,200,1000,0.997,36.599799398194584,3.733,0.03733947652190961,35.433
isolated,101,3,10,25,epsilonGreedy,0.2,200,1000,0.964,44.310165975103736,2.595,0.04991177335555338,89.388
complete,101,3,10,unlimited,epsilonGreedy,0.2,200,1000,1.0,24.141,3.948,0.024645622978139402,43.0
isolated,101,3,10,unlimited,epsilonGreedy,0.2,200,1000,0.999,39.793793793793796,2.366,0.04014704440741103,47.362
complete,101,3,10,10,epsilonGreedy,0.25,200,1000,0.955,50.76439790575916,2.576,0.057327712969316734,15.779
isolated,101,3,10,10,epsilonGreedy,0.25,200,1000,0.939,54.49627263045793,2.652,0.06310361729242231,84.702
complete,101,3,10,25,epsilonGreedy,0.25,200,1000,0.997,34.03309929789368,3.469,0.034830898931477304,28.178
isolated,101,3,10,25,epsilonGreedy,0.25,200,1000,0.976,45.50819672131148,2.601,0.049226546417017944,73.436
complete,101,3,10,unlimited,epsilonGreedy,0.25,200,1000,1.0,22.499,3.729,0.02303597686501323,35.069
isolated,101,3,10,unlimited,epsilonGreedy,0.25,200,1000,1.0,35.97,2.273,0.03624154494657387,31.728
