network_structure,grid_size,sigma,num_agents,agent_range,agent_strategy,epsilon,num_timesteps,num_simulations,success_proportion,avg_time_to_peak,avg_max_visits,avg_visits,redundancy
complete,101,3,10,10,epsilonGreedy,0.4,100,1000,0.898,36.2728285077951,2.161,0.042910498970689145,7.075
isolated,101,3,10,10,epsilonGreedy,0.4,100,1000,0.799,41.18898623279099,2.411,0.05294578962846779,32.683
complete,101,3,10,25,epsilonGreedy,0.4,100,1000,0.986,25.1105476673428,2.725,0.026623860405842564,12.645
isolated,101,3,10,25,epsilonGreedy,0.4,100,1000,0.937,37.07684098185699,2.343,0.04121262621311636,28.755
complete,101,3,10,unlimited,epsilonGreedy,0.4,100,1000,1.0,18.063,3.04,0.01868738358984413,17.908
isolated,101,3,10,unlimited,epsilonGreedy,0.4,100,1000,0.991,32.199798183652874,2.188,0.03314380943044799,18.885
complete,101,3,10,10,epsilonGreedy,0.5,100,1000,0.888,36.76126126126126,1.937,0.043960396039603965,3.875
isolated,101,3,10,10,epsilonGreedy,0.5,100,1000,0.798,45.15413533834587,2.377,0.0561052837957063,28.441
complete,101,3,10,25,epsilonGreedy,0.5,100,1000,0.991,24.235116044399597,2.372,0.02540633271247917,7.215
isolated,101,3,10,25,epsilonGreedy,0.5,100,1000,0.947,40.54171066525871,2.33,0.04381237133614351,23.775
complete,101,3,10,unlimited,epsilonGreedy,0.5,100,1000,1.0,17.212,2.761,0.01785315165179884,11.923
isolated,101,3,10,unlimited,epsilonGreedy,0.5,100,1000,0.997,33.01504513540622,2.17,0.0335418096265072,14.433
complete,101,3,10,10,epsilonGreedy,0.6,100,1000,0.904,40.296460176991154,1.762,0.04610136261150868,2.162
isolated,101,3,10,10,epsilonGreedy,0.6,100,1000,0.763,46.2870249017038,2.369,0.05883442799725517,26.218
complete,101,3,10,25,epsilonGreedy,0.6,100,1000,0.99,24.157575757575756,2.06,0.02540535241642976,4.111
isolated,101,3,10,25,epsilonGreedy,0.6,100,1000,0.951,45.48264984227129,2.359,0.04818547201254779,21.755
complete,101,3,10,unlimited,epsilonGreedy,0.6,100,1000,1.0,16.275,2.423,0.016934614253504555,7.301
isolated,101,3,10,unlimited,epsilonGreedy,0.6,100,1000,0.999,35.52252252252252,2.195,0.03586609155965101,13.503
complete,101,3,10,10,epsilonGreedy,0.7,100,1000,0.863,45.593279258400926,1.605,0.05298206058229585,1.156
isolated,101,3,10,10,epsilonGreedy,0.7,100,1000,0.622,52.336012861736336,2.456,0.06994706401333203,29.918
complete,101,3,10,25,epsilonGreedy,0.7,100,1000,0.997,25.68505516549649,1.8,0.026377806097441427,1.982
isolated,101,3,10,25,epsilonGreedy,0.7,100,1000,0.88,53.679545454545455,2.45,0.0590510734241741,26.069
complete,101,3,10,unlimited,epsilonGreedy,0.7,100,1000,1.0,16.296,2.079,0.016955200470542102,3.978
isolated,101,3,10,unlimited,epsilonGreedy,0.7,100,1000,0.998,39.52805611222445,2.211,0.03984805411234193,13.725
complete,101,3,10,10,epsilonGreedy,0.8,100,1000,0.707,53.452616690240454,1.447,0.06674933830016665,0.644
isolated,101,3,10,10,epsilonGreedy,0.8,100,1000,0.444,55.18468468468468,2.508,0.07950397019900009,33.744
complete,101,3,10,25,epsilonGreedy,0.8,100,1000,0.997,32.03009027081244,1.558,0.03257915890598961,0.937
isolated,101,3,10,25,epsilonGreedy,0.8,100,1000,0.669,59.64275037369208,2.556,0.07254288795216154,31.754
complete,101,3,10,unlimited,epsilonGreedy,0.8,100,1000,1.0,17.778,1.837,0.018407999215763162,2.036
isolated,101,3,10,unlimited,epsilonGreedy,0.8,100,1000,0.99,48.720202020202024,2.324,0.049243211449857854,17.041
