network_structure,grid_size,sigma,num_agents,agent_range,num_timesteps,num_simulations,success_proportion,avg_time_to_peak,avg_max_visits,avg_visits,one+_visit,two+_visits,three+_visits,four+_visits,five+_visits,six+_visits,seven+_visits,eight+_visits,nine+_visits,ten+_visits
complete,101,1,10,5,200,100,0.44,71.4090909090909,2.52,0.1415743554553475,1406.3,36.23,1.59,0.07,0.01,0.0,0.0,0.0,0.0,0.0
isolated,101,1,10,5,200,100,0.44,97.61363636363636,2.76,0.15287716890500927,1439.77,114.11,5.47,0.15,0.0,0.0,0.0,0.0,0.0,0.0
complete,101,1,10,10,200,100,0.47,92.91489361702128,2.88,0.14770120576414075,1462.36,41.85,2.25,0.21,0.02,0.01,0.0,0.0,0.0,0.0
isolated,101,1,10,10,200,100,0.43,99.16279069767442,2.81,0.15453386922850698,1449.59,119.53,7.03,0.23,0.02,0.0,0.0,0.0,0.0,0.0
complete,101,1,10,15,200,100,0.47,88.48936170212765,2.89,0.14566218998137434,1441.23,42.33,2.2,0.1,0.02,0.01,0.01,0.0,0.0,0.0
isolated,101,1,10,15,200,100,0.53,97.94339622641509,2.7,0.14401529261837073,1363.12,100.81,5.05,0.11,0.01,0.0,0.0,0.0,0.0,0.0
complete,101,1,10,20,200,100,0.61,87.0,3.04,0.129467699245172,1271.22,45.98,3.19,0.26,0.05,0.0,0.0,0.0,0.0,0.0
isolated,101,1,10,20,200,100,0.5,85.88,2.61,0.14110381335163216,1327.87,105.89,5.42,0.21,0.01,0.0,0.0,0.0,0.0,0.0
complete,101,1,10,25,200,100,0.5,93.48,3.21,0.14482893833937846,1424.26,48.98,3.77,0.32,0.05,0.02,0.0,0.0,0.0,0.0
isolated,101,1,10,25,200,100,0.46,86.26086956521739,2.77,0.14575041662582097,1363.28,114.88,8.04,0.6,0.0,0.0,0.0,0.0,0.0,0.0
complete,101,1,10,unlimited,200,100,0.93,82.53763440860214,6.03,0.08995196549357906,797.9,86.44,23.53,6.15,2.04,0.73,0.37,0.28,0.15,0.01
isolated,101,1,10,unlimited,200,100,0.44,79.06818181818181,4.54,0.14487795314184881,1086.8,193.51,98.44,58.87,28.92,8.82,2.17,0.32,0.05,0.0
complete,101,2,10,5,200,100,0.72,76.48611111111111,2.36,0.10986177825703361,1091.84,27.64,1.11,0.09,0.02,0.0,0.0,0.0,0.0,0.0
isolated,101,2,10,5,200,100,0.66,82.42424242424242,2.42,0.12096853249681402,1150.14,80.37,3.39,0.1,0.0,0.0,0.0,0.0,0.0,0.0
complete,101,2,10,10,200,100,0.67,65.76119402985074,2.51,0.10887167924713262,1077.13,31.74,1.63,0.08,0.02,0.0,0.0,0.0,0.0,0.0
isolated,101,2,10,10,200,100,0.73,77.87671232876713,2.36,0.10964611312616411,1042.86,71.89,3.57,0.18,0.0,0.0,0.0,0.0,0.0,0.0
complete,101,2,10,15,200,100,0.69,78.31884057971014,2.86,0.11473384962258601,1132.07,36.21,1.94,0.14,0.03,0.01,0.0,0.0,0.0,0.0
isolated,101,2,10,15,200,100,0.74,73.87837837837837,2.39,0.10554847563964317,1006.32,66.97,3.2,0.19,0.02,0.0,0.0,0.0,0.0,0.0
complete,101,2,10,20,200,100,0.67,78.7910447761194,2.88,0.11742966375845504,1151.5,43.36,2.82,0.2,0.02,0.0,0.0,0.0,0.0,0.0
isolated,101,2,10,20,200,100,0.72,75.30555555555556,2.32,0.10902852661503774,1039.56,68.93,3.66,0.05,0.0,0.0,0.0,0.0,0.0,0.0
complete,101,2,10,25,200,100,0.7,67.97142857142858,3.05,0.10644054504460349,1040.36,41.91,3.24,0.25,0.03,0.01,0.0,0.0,0.0,0.0
isolated,101,2,10,25,200,100,0.68,81.1470588235294,2.43,0.11781197921772374,1109.03,86.5,6.09,0.18,0.0,0.0,0.0,0.0,0.0,0.0
complete,101,2,10,unlimited,200,100,1.0,49.39,5.91,0.049397117929614744,380.83,88.72,24.24,6.5,2.17,0.68,0.35,0.26,0.13,0.02
isolated,101,2,10,unlimited,200,100,0.88,89.375,3.25,0.10160768552102736,815.82,123.85,56.18,27.13,10.42,2.86,0.24,0.0,0.0,0.0
complete,101,3,10,5,200,100,0.84,70.64285714285714,2.25,0.09052053720223509,898.28,23.9,1.17,0.05,0.0,0.0,0.0,0.0,0.0,0.0
isolated,101,3,10,5,200,100,0.85,70.41176470588235,2.09,0.08905989608861876,854.59,51.84,2.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0
complete,101,3,10,10,200,100,0.83,69.04819277108433,2.46,0.09049112832075286,893.67,27.93,1.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0
isolated,101,3,10,10,200,100,0.84,66.01190476190476,2.17,0.08670718557004216,827.27,54.06,3.04,0.13,0.0,0.0,0.0,0.0,0.0,0.0
complete,101,3,10,15,200,100,0.73,76.12328767123287,2.72,0.10839133418292324,1068.83,34.78,1.98,0.11,0.0,0.0,0.0,0.0,0.0,0.0
isolated,101,3,10,15,200,100,0.85,69.14117647058823,2.21,0.08800117635525925,841.72,53.4,2.51,0.06,0.01,0.0,0.0,0.0,0.0,0.0
complete,101,3,10,20,200,100,0.84,52.67857142857143,2.71,0.07572786981668463,740.45,29.99,1.86,0.18,0.02,0.0,0.0,0.0,0.0,0.0
isolated,101,3,10,20,200,100,0.86,74.83720930232558,2.17,0.09152043917263014,883.24,48.42,1.9,0.04,0.0,0.0,0.0,0.0,0.0,0.0
complete,101,3,10,25,200,100,0.82,63.548780487804876,3.01,0.08735418096265071,851.15,36.88,2.81,0.25,0.01,0.0,0.0,0.0,0.0,0.0
isolated,101,3,10,25,200,100,0.8,66.55,2.23,0.09238309969610821,880.6,57.95,3.6,0.23,0.02,0.0,0.0,0.0,0.0,0.0
