network_structure,grid_size,sigma,num_agents,agent_range,num_timesteps,num_simulations,success_proportion,avg_time_to_peak,avg_max_visits,avg_visits,one+_visit,two+_visits,three+_visits,four+_visits,five+_visits,six+_visits,seven+_visits,eight+_visits,nine+_visits,ten+_visits
complete,101,1,10,5,200,100,0.43,88.3953488372093,3.63,0.14999509851975293,1462.29,58.81,7.19,1.37,0.28,0.11,0.04,0.01,0.0,0.0
isolated,101,1,10,5,200,100,0.3,94.93333333333334,5.17,0.16614057445348496,1189.08,240.7,126.4,80.13,40.63,14.83,2.65,0.38,0.0,0.0
complete,101,1,10,10,200,100,0.49,85.73469387755102,3.98,0.14215273012449756,1384.36,55.7,7.61,1.61,0.49,0.18,0.09,0.04,0.01,0.01
isolated,101,1,10,10,200,100,0.46,91.0,4.43,0.1478874620135281,1116.03,202.56,101.31,55.38,23.29,8.0,1.79,0.24,0.0,0.0
complete,101,1,10,15,200,100,0.58,91.96551724137932,4.49,0.13561415547495342,1311.83,59.01,9.39,2.08,0.55,0.29,0.11,0.09,0.04,0.01
isolated,101,1,10,15,200,100,0.38,102.10526315789474,4.86,0.16057249289285366,1191.42,221.8,115.97,63.3,30.27,11.26,3.41,0.44,0.13,0.0
complete,101,1,10,20,200,100,0.76,90.82894736842105,5.05,0.11570434271149888,1089.88,70.88,14.36,3.37,0.93,0.36,0.24,0.16,0.09,0.03
isolated,101,1,10,20,200,100,0.46,80.71739130434783,4.31,0.14325066169983333,1084.0,191.36,96.31,53.53,24.25,9.42,2.02,0.41,0.0,0.0
complete,101,1,10,25,200,100,0.7,92.57142857142857,5.47,0.12332124301539064,1165.47,70.7,15.56,3.89,1.28,0.59,0.25,0.14,0.09,0.03
isolated,101,1,10,25,200,100,0.41,80.58536585365853,4.53,0.14904421135182822,1111.88,202.81,103.16,59.34,30.2,10.47,2.4,0.14,0.0,0.0
complete,101,1,10,unlimited,200,100,0.8,92.4875,6.07,0.11272424272130184,1019.6,94.12,25.82,6.64,2.02,0.84,0.4,0.28,0.16,0.02
isolated,101,1,10,unlimited,200,100,0.53,95.54716981132076,4.55,0.14277031663562392,1074.81,190.64,94.83,55.14,27.2,10.71,2.65,0.36,0.06,0.0
complete,101,2,10,5,200,100,0.71,74.19718309859155,2.89,0.1094794627977649,1074.04,38.19,3.8,0.56,0.14,0.06,0.01,0.0,0.0,0.0
isolated,101,2,10,5,200,100,0.57,85.70175438596492,4.04,0.13317321831193019,1004.41,183.71,91.22,48.51,21.05,6.74,2.08,0.51,0.19,0.08
