network_structure,grid_size,sigma,num_agents,agent_range,num_timesteps,num_simulations,success_proportion,avg_time_to_peak
complete,61,1,10,5,200,100,0.97,50.95876288659794
isolated,61,1,10,5,200,100,0.87,58.275862068965516
complete,61,1,10,10,200,100,1.0,44.25
isolated,61,1,10,10,200,100,0.99,48.82828282828283
complete,61,1,10,unlimited,200,100,0.96,43.333333333333336
isolated,61,1,10,unlimited,200,100,0.97,43.577319587628864
complete,61,3,10,5,200,100,1.0,26.34
isolated,61,3,10,5,200,100,0.98,29.091836734693878
complete,61,3,10,10,200,100,1.0,21.39
isolated,61,3,10,10,200,100,1.0,28.41
complete,61,3,10,unlimited,200,100,1.0,14.12
isolated,61,3,10,unlimited,200,100,1.0,22.33
complete,61,5,10,5,200,100,1.0,18.19
isolated,61,5,10,5,200,100,1.0,22.29
complete,61,5,10,10,200,100,1.0,16.71
isolated,61,5,10,10,200,100,1.0,24.2
complete,61,5,10,unlimited,200,100,1.0,10.57
isolated,61,5,10,unlimited,200,100,1.0,22.73
complete,81,1,10,5,200,100,0.83,72.72289156626506
isolated,81,1,10,5,200,100,0.76,62.13157894736842
complete,81,1,10,10,200,100,0.95,60.71578947368421
isolated,81,1,10,10,200,100,0.87,55.0919540229885
complete,81,1,10,unlimited,200,100,0.87,54.0
isolated,81,1,10,unlimited,200,100,0.92,72.96739130434783
complete,81,3,10,5,200,100,0.98,46.47959183673469
isolated,81,3,10,5,200,100,0.91,40.68131868131868
complete,81,3,10,10,200,100,1.0,37.6
isolated,81,3,10,10,200,100,0.98,37.275510204081634
complete,81,3,10,unlimited,200,100,1.0,22.17
isolated,81,3,10,unlimited,200,100,1.0,31.7
complete,81,5,10,5,200,100,0.96,35.4375
isolated,81,5,10,5,200,100,0.98,34.8469387755102
complete,81,5,10,10,200,100,0.99,26.060606060606062
isolated,81,5,10,10,200,100,1.0,36.61
complete,81,5,10,unlimited,200,100,1.0,13.2
isolated,81,5,10,unlimited,200,100,1.0,29.0
complete,101,1,10,5,200,100,0.58,67.06896551724138
isolated,101,1,10,5,200,100,0.5,82.2
complete,101,1,10,10,200,100,0.86,83.27906976744185
isolated,101,1,10,10,200,100,0.73,78.8082191780822
complete,101,1,10,unlimited,200,100,0.73,85.83561643835617
isolated,101,1,10,unlimited,200,100,0.88,62.13636363636363
complete,101,3,10,5,200,100,0.85,60.294117647058826
isolated,101,3,10,5,200,100,0.81,50.666666666666664
complete,101,3,10,10,200,100,1.0,46.38
isolated,101,3,10,10,200,100,0.93,46.17204301075269
complete,101,3,10,unlimited,200,100,0.99,32.97979797979798
isolated,101,3,10,unlimited,200,100,0.99,40.58585858585859
complete,101,5,10,5,200,100,0.95,36.126315789473686
isolated,101,5,10,5,200,100,0.94,45.08510638297872
complete,101,5,10,10,200,100,0.99,33.74747474747475
isolated,101,5,10,10,200,100,0.97,39.865979381443296
complete,101,5,10,unlimited,200,100,1.0,16.97
isolated,101,5,10,unlimited,200,100,1.0,34.64
complete,121,1,10,5,200,100,0.49,87.22448979591837
isolated,121,1,10,5,200,100,0.54,74.57407407407408
complete,121,1,10,10,200,100,0.69,82.28985507246377
isolated,121,1,10,10,200,100,0.66,85.87878787878788
complete,121,1,10,unlimited,200,100,0.57,77.29824561403508
isolated,121,1,10,unlimited,200,100,0.72,83.43055555555556
complete,121,3,10,5,200,100,0.75,60.77333333333333
isolated,121,3,10,5,200,100,0.63,60.904761904761905
complete,121,3,10,10,200,100,0.87,58.32183908045977
isolated,121,3,10,10,200,100,0.87,63.48275862068966
complete,121,3,10,unlimited,200,100,1.0,37.11
isolated,121,3,10,unlimited,200,100,0.99,45.43434343434343
complete,121,5,10,5,200,100,0.78,54.64102564102564
isolated,121,5,10,5,200,100,0.91,52.23076923076923
complete,121,5,10,10,200,100,0.94,46.297872340425535
isolated,121,5,10,10,200,100,0.97,47.144329896907216
complete,121,5,10,unlimited,200,100,1.0,20.71
isolated,121,5,10,unlimited,200,100,1.0,37.61
