network_structure,grid_size,sigma,num_agents,agent_range,num_timesteps,num_simulations,success_proportion,avg_time_to_peak,avg_max_visits,avg_visits,one+_visit,two+_visits,three+_visits,four+_visits,five+_visits,six+_visits,seven+_visits,eight+_visits,nine+_visits,ten+_visits
complete,101,1,10,10,200,1000,0.522,92.23371647509579,4.08,0.14189393196745415,1378.13,58.69,8.172,1.63,0.482,0.179,0.093,0.056,0.024,0.004
isolated,101,1,10,10,200,1000,0.388,77.18041237113403,4.565,0.15032447799235366,1105.412,210.922,110.477,63.713,29.711,10.303,2.403,0.455,0.064,0.0
star,101,1,10,10,200,1000,0.396,79.18181818181819,6.445,0.15013822174296637,1069.348,193.534,97.535,65.41,44.812,30.005,18.148,9.184,3.584,0.0
wheel,101,1,10,10,200,1000,0.404,85.77970297029702,4.194,0.15180374473090874,1179.487,246.113,92.26,28.909,1.764,0.017,0.0,0.0,0.0,0.0
line,101,1,10,10,200,1000,0.407,85.41769041769042,4.344,0.15132339966669933,1144.707,243.392,106.141,40.248,8.815,0.345,0.002,0.0,0.0,0.0
cycle,101,1,10,10,200,1000,0.39,82.73333333333333,4.259,0.15220664640721498,1149.522,250.661,106.198,38.368,7.783,0.128,0.0,0.0,0.0,0.0
two_cliques,101,1,10,10,200,1000,0.429,85.990675990676,3.872,0.14909322615429857,1230.948,258.807,27.251,3.333,0.507,0.051,0.002,0.001,0.0,0.0
complete,101,1,10,25,200,1000,0.718,93.32451253481894,5.494,0.12195569061856679,1142.335,76.922,17.728,4.522,1.389,0.559,0.307,0.188,0.107,0.013
isolated,101,1,10,25,200,1000,0.399,82.66917293233082,4.729,0.15114694637780607,1096.076,211.902,114.967,68.977,33.884,12.331,3.136,0.52,0.057,0.0
star,101,1,10,25,200,1000,0.523,109.17590822179733,8.295,0.15047446328791295,1005.332,201.056,108.521,73.789,52.498,37.711,26.904,18.352,10.827,0.0
wheel,101,1,10,25,200,1000,0.588,100.70068027210884,4.797,0.13980198019801982,1055.649,223.442,100.204,42.528,4.192,0.102,0.003,0.0,0.0,0.0
line,101,1,10,25,200,1000,0.55,97.4509090909091,5.015,0.14174884815214192,1020.168,239.963,113.34,53.215,18.151,1.123,0.02,0.0,0.0,0.0
cycle,101,1,10,25,200,1000,0.547,103.57404021937843,4.949,0.14533379080482306,1047.686,246.967,115.98,56.031,15.414,0.468,0.004,0.0,0.0,0.0
two_cliques,101,1,10,25,200,1000,0.639,100.21752738654148,4.667,0.1345348495245564,1092.206,233.415,38.249,6.914,1.36,0.206,0.035,0.005,0.0,0.0
complete,101,1,10,unlimited,200,1000,0.897,88.18617614269789,6.159,0.09871875306342515,881.383,90.554,24.759,6.578,2.056,0.799,0.447,0.278,0.156,0.02
isolated,101,1,10,unlimited,200,1000,0.496,93.91532258064517,4.504,0.1454582884030977,1098.842,196.147,98.973,54.201,24.637,8.646,2.06,0.291,0.019,0.004
star,101,1,10,unlimited,200,1000,0.776,110.37371134020619,8.722,0.12885991569453972,817.924,178.082,109.017,73.531,49.69,33.75,23.739,16.969,11.798,0.0
wheel,101,1,10,unlimited,200,1000,0.853,101.5052754982415,5.073,0.11467895304381924,849.848,187.295,91.552,36.007,4.925,0.207,0.005,0.001,0.0,0.0
line,101,1,10,unlimited,200,1000,0.765,112.36732026143791,5.776,0.1313214390746005,844.768,230.525,148.263,84.48,28.839,2.674,0.06,0.001,0.0,0.0
cycle,101,1,10,unlimited,200,1000,0.77,111.78311688311689,5.519,0.13045093618272716,851.951,229.566,147.184,80.093,20.853,1.063,0.019,0.001,0.0,0.0
two_cliques,101,1,10,unlimited,200,1000,0.862,98.76798143851508,5.167,0.11149691206744436,868.357,198.963,54.773,12.215,2.606,0.408,0.049,0.008,0.001,0.0
complete,101,2,10,10,200,1000,0.688,75.30668604651163,3.859,0.11294088814822074,1093.898,49.151,6.819,1.434,0.452,0.179,0.094,0.055,0.025,0.003
isolated,101,2,10,10,200,1000,0.594,67.74074074074075,3.79,0.12002548769728456,921.657,154.978,75.639,41.548,19.778,7.8,2.397,0.525,0.058,0.0
star,101,2,10,10,200,1000,0.606,68.96039603960396,5.293,0.11919419664738748,878.844,148.262,71.607,46.389,31.094,19.911,11.711,5.864,2.218,0.0
wheel,101,2,10,10,200,1000,0.635,73.38110236220473,3.629,0.11822076267032643,943.23,178.142,63.744,19.722,1.119,0.013,0.0,0.0,0.0,0.0
line,101,2,10,10,200,1000,0.6,73.17333333333333,3.762,0.12244289775512203,951.455,184.432,77.583,29.034,6.261,0.273,0.002,0.0,0.0,0.0
cycle,101,2,10,10,200,1000,0.602,67.08970099667773,3.595,0.11860405842564452,921.463,182.042,74.804,26.206,5.301,0.064,0.0,0.0,0.0,0.0
two_cliques,101,2,10,10,200,1000,0.657,76.89954337899543,3.45,0.11775610234290755,987.83,190.018,20.406,2.554,0.369,0.042,0.008,0.003,0.0,0.0
complete,101,2,10,25,200,1000,0.95,67.57263157894737,5.201,0.073712381139104,664.424,66.404,15.119,3.767,1.168,0.502,0.268,0.169,0.103,0.016
isolated,101,2,10,25,200,1000,0.664,74.84638554216868,3.819,0.11557494363297716,880.803,148.248,74.918,43.104,21.299,7.874,2.23,0.449,0.043,0.012
