network_structure,grid_size,sigma,num_agents,agent_range,agent_strategy,epsilon,num_timesteps,num_simulations,success_proportion,avg_time_to_peak,avg_max_visits,avg_visits,redundancy
complete,101,1,10,10,default,0,200,1000,0.691,86.77279305354558,2.78,0.1203411430251936,21.688
isolated,101,1,10,10,default,0,200,1000,0.714,79.49439775910363,2.735,0.1126938535437702,113.446
star,101,1,10,10,default,0,200,1000,0.625,82.8768,4.415,0.12527987452210568,198.662
wheel,101,1,10,10,default,0,200,1000,0.62,79.16290322580645,3.115,0.12359670620527398,166.918
line,101,1,10,10,default,0,200,1000,0.66,82.53030303030303,2.815,0.1210371532202725,142.659
cycle,101,1,10,10,default,0,200,1000,0.608,80.23848684210526,2.885,0.12565924909322615,161.43
two_cliques,101,1,10,10,default,0,200,1000,0.653,83.47932618683002,2.607,0.1224507401235173,97.12
complete,101,1,10,25,default,0,200,1000,0.81,80.75061728395062,5.448,0.10235074992647779,49.857
isolated,101,1,10,25,default,0,200,1000,0.803,82.60896637608967,2.797,0.10463189883344769,100.707
star,101,1,10,25,default,0,200,1000,0.692,93.38872832369943,7.918,0.12471816488579548,348.474
wheel,101,1,10,25,default,0,200,1000,0.73,89.6027397260274,4.554,0.11803744730908733,278.036
line,101,1,10,25,default,0,200,1000,0.682,94.31378299120234,4.468,0.12638172728163904,309.225
cycle,101,1,10,25,default,0,200,1000,0.691,91.86685962373372,4.395,0.12379178511910595,331.703
two_cliques,101,1,10,25,default,0,200,1000,0.765,86.2562091503268,4.163,0.11174002548769726,133.419
complete,101,1,10,unlimited,default,0,200,1000,0.768,79.8515625,7.207,0.10658366826781686,45.171
isolated,101,1,10,unlimited,default,0,200,1000,0.774,78.44444444444444,2.696,0.10480933241839034,76.139
star,101,1,10,unlimited,default,0,200,1000,0.723,86.45228215767635,8.408,0.11656210175472992,218.321
wheel,101,1,10,unlimited,default,0,200,1000,0.757,83.98150594451783,4.899,0.11094402509557887,154.378
line,101,1,10,unlimited,default,0,200,1000,0.73,88.8082191780822,4.869,0.11746887560043132,191.699
cycle,101,1,10,unlimited,default,0,200,1000,0.719,81.95271210013908,4.848,0.11383589844132928,193.193
two_cliques,101,1,10,unlimited,default,0,200,1000,0.747,80.52208835341365,4.742,0.10954808352122339,99.026
complete,101,2,10,10,default,0,200,1000,0.875,71.07428571428571,2.527,0.08645230859719635,15.349
