network_structure,grid_size,sigma,num_agents,agent_range,num_timesteps,num_simulations,success_proportion,avg_time_to_peak,avg_max_visits,avg_visits,one+_visit,two+_visits,three+_visits,four+_visits,five+_visits,six+_visits,seven+_visits,eight+_visits,nine+_visits,ten+_visits
complete,101,1,10,5,200,1000,0.476,85.59453781512605,3.474,0.1436555239682384,1407.105,51.681,5.274,0.946,0.264,0.107,0.034,0.013,0.005,0.001
isolated,101,1,10,5,200,1000,0.381,75.31233595800525,4.542,0.1504695618076659,1109.579,212.989,109.564,61.86,28.006,9.819,2.638,0.436,0.049,0.0
complete,101,1,10,10,200,1000,0.52,95.12115384615385,4.238,0.14357710028428586,1392.553,60.58,8.734,1.804,0.541,0.223,0.114,0.058,0.022,0.001
isolated,101,1,10,10,200,1000,0.374,76.85026737967914,4.678,0.15188903048720712,1117.277,214.144,111.09,62.994,29.292,10.825,3.119,0.649,0.026,0.004
complete,101,1,10,15,200,1000,0.556,91.42985611510791,4.65,0.1378639349083423,1324.974,66.094,11.325,2.592,0.751,0.306,0.162,0.091,0.047,0.008
isolated,101,1,10,15,200,1000,0.377,76.6923076923077,4.67,0.15146848348201156,1110.549,211.644,111.618,64.482,30.994,11.737,3.387,0.672,0.047,0.0
complete,101,1,10,20,200,1000,0.646,92.39164086687306,5.032,0.128894226056269,1226.143,69.611,13.935,3.418,0.966,0.384,0.204,0.123,0.058,0.008
isolated,101,1,10,20,200,1000,0.364,78.75824175824175,4.714,0.15377708067836487,1127.759,214.419,113.299,65.254,31.427,12.156,3.553,0.761,0.052,0.0
complete,101,1,10,25,200,1000,0.722,91.79501385041551,5.552,0.1204548573669248,1132.291,73.167,16.511,4.239,1.324,0.577,0.326,0.202,0.104,0.019
isolated,101,1,10,25,200,1000,0.419,80.04295942720763,4.635,0.14776786589550042,1084.061,204.933,108.635,63.722,30.385,11.562,3.402,0.597,0.08,0.003
complete,101,1,10,50,200,1000,0.885,88.26553672316385,6.173,0.10010293108518772,897.724,89.052,24.178,6.434,2.036,0.795,0.427,0.294,0.178,0.032
isolated,101,1,10,50,200,1000,0.495,91.3959595959596,4.436,0.14433977061072442,1096.653,191.46,95.277,52.664,24.298,8.91,2.568,0.469,0.094,0.017
complete,101,1,10,75,200,1000,0.895,86.98100558659218,6.231,0.09788059994118224,871.636,91.749,24.706,6.525,2.087,0.83,0.445,0.303,0.186,0.013
isolated,101,1,10,75,200,1000,0.497,99.39034205231388,4.585,0.1480217625722968,1114.94,200.185,100.099,56.21,26.191,9.419,2.433,0.433,0.057,0.003
complete,101,1,10,unlimited,200,1000,0.895,88.8413407821229,6.2,0.09951279286344476,889.811,90.745,24.329,6.447,2.026,0.832,0.46,0.287,0.175,0.018
isolated,101,1,10,unlimited,200,1000,0.509,96.0844793713163,4.444,0.1451887069895108,1100.396,195.919,97.079,52.868,23.894,8.177,2.138,0.529,0.061,0.009
complete,101,2,10,5,200,1000,0.701,75.30242510699001,3.19,0.11134888736398392,1090.299,40.114,4.297,0.784,0.215,0.096,0.044,0.016,0.004,0.001
isolated,101,2,10,5,200,1000,0.567,66.71075837742504,3.91,0.12295363199686304,929.409,162.389,81.996,46.852,22.169,8.378,2.492,0.54,0.025,0.0
complete,101,2,10,10,200,1000,0.703,74.7524893314367,3.693,0.11072541907656111,1073.752,47.253,6.563,1.298,0.379,0.15,0.068,0.033,0.013,0.001
isolated,101,2,10,10,200,1000,0.586,67.23378839590444,3.813,0.12077149299088322,914.788,159.592,81.869,46.119,20.66,7.019,1.712,0.214,0.017,0.0
complete,101,2,10,15,200,1000,0.761,76.473061760841,4.398,0.10488775610234291,999.392,56.934,10.084,2.263,0.697,0.285,0.161,0.095,0.044,0.005
isolated,101,2,10,15,200,1000,0.608,70.90625,3.822,0.12009704930889126,920.0,155.664,76.535,43.688,20.309,6.926,1.631,0.327,0.03,0.0
complete,101,2,10,20,200,1000,0.852,72.18779342723005,4.729,0.09028918733457504,843.238,60.784,12.311,2.993,0.933,0.384,0.207,0.127,0.058,0.005
isolated,101,2,10,20,200,1000,0.636,75.8506289308176,3.846,0.11963631016567002,917.983,154.269,76.102,41.957,20.265,7.474,1.929,0.388,0.043,0.0
complete,101,2,10,25,200,1000,0.948,67.57067510548524,5.107,0.07397019900009803,666.025,66.938,15.503,3.883,1.212,0.488,0.253,0.163,0.092,0.013
isolated,101,2,10,25,200,1000,0.65,78.49230769230769,3.8,0.11961572394863246,918.936,154.384,75.288,42.933,19.776,7.082,1.647,0.153,0.001,0.0
complete,101,2,10,50,200,1000,0.999,50.5995995995996,5.969,0.050729340260758746,401.713,83.751,22.694,5.999,1.791,0.708,0.389,0.257,0.157,0.031
isolated,101,2,10,50,200,1000,0.863,90.27230590961761,3.345,0.10421037153220272,849.99,121.884,51.193,24.921,10.46,3.496,0.882,0.206,0.018,0.0
