network_structure,grid_size,sigma,num_agents,agent_range,agent_strategy,epsilon,num_timesteps,num_simulations,success_proportion,avg_time_to_peak,avg_max_visits,avg_visits,redundancy
complete,101,1,10,5,default,0,200,1000,0.496,84.5625,2.027,0.140910695029899,8.962
isolated,101,1,10,5,default,0,200,1000,0.523,80.54110898661568,2.593,0.1357935496519949,137.125
complete,101,1,10,10,default,0,200,1000,0.704,86.97869318181819,2.73,0.11904029016763061,21.286
isolated,101,1,10,10,default,0,200,1000,0.691,82.87698986975398,2.74,0.11770218606019017,120.174
complete,101,1,10,15,default,0,200,1000,0.79,83.15822784810126,3.59,0.10655327909028525,33.293
isolated,101,1,10,15,default,0,200,1000,0.746,85.8887399463807,2.837,0.11358984413292814,116.69
complete,101,1,10,25,default,0,200,1000,0.796,83.70477386934674,5.512,0.10629252034114302,50.771
isolated,101,1,10,25,default,0,200,1000,0.802,83.45511221945137,2.797,0.10541221448877561,102.108
complete,101,1,10,unlimited,default,0,200,1000,0.767,77.51108213820078,7.266,0.10494167238506028,45.65
isolated,101,1,10,unlimited,default,0,200,1000,0.782,77.71355498721228,2.651,0.10329575531810604,74.69
complete,101,2,10,5,default,0,200,1000,0.647,72.61514683153014,1.964,0.1162454661307715,7.556
isolated,101,2,10,5,default,0,200,1000,0.645,70.71007751937985,2.485,0.11529065777864915,140.254
complete,101,2,10,10,default,0,200,1000,0.883,69.5039637599094,2.533,0.08408195274973042,14.73
isolated,101,2,10,10,default,0,200,1000,0.89,63.68651685393258,2.53,0.07811096951279288,90.773
complete,101,2,10,15,default,0,200,1000,0.976,63.98872950819672,3.266,0.06690814626017057,23.421
isolated,101,2,10,15,default,0,200,1000,0.951,62.39116719242902,2.593,0.06875208312910498,76.564
complete,101,2,10,25,default,0,200,1000,0.987,54.15096251266464,4.93,0.055922948730516606,36.483
isolated,101,2,10,25,default,0,200,1000,0.976,59.567622950819676,2.601,0.06267816880697971,66.892
complete,101,2,10,unlimited,default,0,200,1000,0.948,50.893459915611814,6.73,0.05847171845897461,37.902
isolated,101,2,10,unlimited,default,0,200,1000,0.982,53.35234215885947,2.375,0.055869032447799234,35.664
complete,101,3,10,5,default,0,200,1000,0.762,61.78346456692913,1.887,0.09379374571120477,5.899
isolated,101,3,10,5,default,0,200,1000,0.742,58.73450134770889,2.36,0.09428585432800705,130.418
complete,101,3,10,10,default,0,200,1000,0.924,57.31060606060606,2.363,0.06779237329673561,11.448
isolated,101,3,10,10,default,0,200,1000,0.93,57.53978494623656,2.579,0.06716204293696697,85.716
complete,101,3,10,15,default,0,200,1000,0.988,47.46153846153846,2.982,0.049301048916772866,17.409
isolated,101,3,10,15,default,0,200,1000,0.989,53.04954499494439,2.544,0.054569159886285655,62.793
complete,101,3,10,25,default,0,200,1000,1.0,35.353,4.483,0.03563670228408979,27.704
isolated,101,3,10,25,default,0,200,1000,0.999,47.48248248248248,2.465,0.0476766983629056,48.14
complete,101,3,10,unlimited,default,0,200,1000,0.993,35.83182275931521,6.228,0.037232624252524264,34.3
isolated,101,3,10,unlimited,default,0,200,1000,0.996,40.99497991967871,2.287,0.04179100088226644,28.795
complete,101,4,10,5,default,0,200,1000,0.786,54.4910941475827,1.908,0.08492304676012155,5.863
isolated,101,4,10,5,default,0,200,1000,0.787,50.50190597204574,2.268,0.08170277423781981,119.626
complete,101,4,10,10,default,0,200,1000,0.958,49.02713987473904,2.284,0.05525732771296931,9.227
isolated,101,4,10,10,default,0,200,1000,0.954,51.78197064989518,2.552,0.05842564454465248,74.538
complete,101,4,10,15,default,0,200,1000,0.995,39.3748743718593,2.878,0.04036663072247819,14.882
isolated,101,4,10,15,default,0,200,1000,0.997,46.771313941825476,2.503,0.0472806587589452,51.791
complete,101,4,10,25,default,0,200,1000,1.0,27.146,4.163,0.027591412606607194,23.358
isolated,101,4,10,25,default,0,200,1000,1.0,39.466,2.391,0.039668659935300464,36.725
complete,101,4,10,unlimited,default,0,200,1000,0.999,25.42042042042042,5.931,0.02607097343397706,32.275
isolated,101,4,10,unlimited,default,0,200,1000,1.0,36.79,2.307,0.03704538770708754,26.413
complete,101,5,10,5,default,0,200,1000,0.866,48.043879907621246,1.91,0.06803842760513674,5.336
isolated,101,5,10,5,default,0,200,1000,0.834,44.33932853717026,2.273,0.06977649250073523,112.83
complete,101,5,10,10,default,0,200,1000,0.966,42.48654244306418,2.259,0.047879619645132834,8.346
isolated,101,5,10,10,default,0,200,1000,0.956,45.69456066945607,2.489,0.05243015390647975,66.044
complete,101,5,10,15,default,0,200,1000,0.996,35.480923694779115,2.713,0.03640721497892364,12.766
isolated,101,5,10,15,default,0,200,1000,0.999,42.808808808808806,2.428,0.04309969610822468,45.169
complete,101,5,10,25,default,0,200,1000,1.0,23.4,3.932,0.02391922360552887,20.816
isolated,101,5,10,25,default,0,200,1000,1.0,39.236,2.45,0.039443191843936874,37.567
complete,101,5,10,unlimited,default,0,200,1000,1.0,19.148,5.534,0.019751004803450642,29.972
isolated,101,5,10,unlimited,default,0,200,1000,1.0,35.15,2.32,0.03543770218606018,27.137
