network_structure,grid_size,sigma,num_agents,agent_range,num_timesteps,num_simulations,success_proportion,avg_time_to_peak,avg_max_visits,avg_visits,one+_visit,two+_visits,three+_visits,four+_visits,five+_visits,six+_visits,seven+_visits,eight+_visits,nine+_visits,ten+_visits
complete,101,1,10,5,200,100,0.52,79.4423076923077,2.5,0.1355847465934712,1351.28,30.63,1.11,0.08,0.0,0.0,0.0,0.0,0.0,0.0
isolated,101,1,10,5,200,100,0.41,95.14634146341463,2.71,0.15489657876678753,1459.14,114.53,6.1,0.31,0.02,0.0,0.0,0.0,0.0,0.0
complete,101,1,10,10,200,100,0.43,80.72093023255815,2.74,0.14676012155671012,1453.7,41.2,2.1,0.09,0.01,0.0,0.0,0.0,0.0,0.0
isolated,101,1,10,10,200,100,0.49,87.9795918367347,2.67,0.14323105577884518,1351.35,103.92,5.47,0.34,0.02,0.0,0.0,0.0,0.0,0.0
complete,101,1,10,unlimited,200,100,0.86,85.54651162790698,6.07,0.10054896578766788,912.15,80.97,22.66,6.19,2.24,0.71,0.32,0.24,0.19,0.03
isolated,101,1,10,unlimited,200,100,0.45,99.93333333333334,4.61,0.15289677482599742,1155.14,213.46,100.52,54.84,24.34,8.45,2.54,0.41,0.0,0.0
complete,101,2,10,5,200,100,0.79,73.56962025316456,2.22,0.0991275365160278,986.13,24.1,0.92,0.05,0.0,0.0,0.0,0.0,0.0,0.0
isolated,101,2,10,5,200,100,0.77,81.31168831168831,2.33,0.10745024997549259,1019.65,71.85,4.37,0.23,0.0,0.0,0.0,0.0,0.0,0.0
complete,101,2,10,10,200,100,0.67,65.19402985074628,2.58,0.10849916674835798,1074.29,30.7,1.79,0.02,0.0,0.0,0.0,0.0,0.0,0.0
isolated,101,2,10,10,200,100,0.77,65.9090909090909,2.24,0.09582393882952653,917.14,57.71,2.59,0.06,0.0,0.0,0.0,0.0,0.0,0.0
complete,101,2,10,unlimited,200,100,1.0,51.3,5.73,0.051269483383981955,402.53,86.84,23.99,6.24,2.02,0.7,0.33,0.2,0.14,0.01
isolated,101,2,10,unlimited,200,100,0.85,88.85882352941177,3.4,0.10443093814331927,840.86,125.3,52.18,28.51,12.69,3.98,1.35,0.43,0.0,0.0
complete,101,3,10,5,200,100,0.86,55.33720930232558,2.16,0.07508087442407607,747.83,17.37,0.64,0.06,0.0,0.0,0.0,0.0,0.0,0.0
isolated,101,3,10,5,200,100,0.86,64.67441860465117,2.17,0.08295265170081363,804.19,40.22,1.72,0.07,0.0,0.0,0.0,0.0,0.0,0.0
complete,101,3,10,10,200,100,0.79,62.40506329113924,2.51,0.09048132536025881,894.62,26.88,1.43,0.07,0.0,0.0,0.0,0.0,0.0,0.0
isolated,101,3,10,10,200,100,0.83,63.19277108433735,2.17,0.0857268895206352,815.97,55.95,2.47,0.11,0.0,0.0,0.0,0.0,0.0,0.0
complete,101,3,10,unlimited,200,100,1.0,39.05,5.74,0.039260856778747175,298.03,74.71,19.35,5.25,1.63,0.67,0.44,0.27,0.15,0.0
isolated,101,3,10,unlimited,200,100,0.94,80.95744680851064,3.02,0.08734437800215668,731.55,88.22,35.62,20.58,10.24,3.77,0.98,0.04,0.0,0.0
complete,101,4,10,5,200,100,0.95,61.8,2.17,0.06833643760415645,680.78,15.7,0.56,0.05,0.01,0.0,0.0,0.0,0.0,0.0
isolated,101,4,10,5,200,100,0.91,68.3076923076923,2.0,0.07956082736986571,770.76,39.54,1.28,0.02,0.0,0.0,0.0,0.0,0.0,0.0
complete,101,4,10,10,200,100,0.94,56.90425531914894,2.34,0.06517988432506618,644.26,19.66,0.96,0.02,0.0,0.0,0.0,0.0,0.0,0.0
isolated,101,4,10,10,200,100,0.94,64.1063829787234,1.96,0.07181648857955103,699.18,32.47,0.94,0.01,0.0,0.0,0.0,0.0,0.0,0.0
complete,101,4,10,unlimited,200,100,1.0,31.29,5.18,0.031653759435349475,234.33,65.31,16.56,4.28,1.36,0.44,0.27,0.22,0.11,0.02
isolated,101,4,10,unlimited,200,100,0.99,67.68686868686869,2.41,0.06863052641897854,610.02,61.12,18.07,6.73,2.83,1.2,0.13,0.0,0.0,0.0
complete,101,5,10,5,200,100,0.99,46.43434343434343,2.0,0.04800509753945691,479.98,9.37,0.34,0.01,0.0,0.0,0.0,0.0,0.0,0.0
isolated,101,5,10,5,200,100,0.94,62.180851063829785,2.02,0.07004215273012449,677.78,34.96,1.67,0.09,0.0,0.0,0.0,0.0,0.0,0.0
complete,101,5,10,10,200,100,0.95,49.863157894736844,2.31,0.05721988040388196,566.08,16.77,0.78,0.07,0.0,0.0,0.0,0.0,0.0,0.0
isolated,101,5,10,10,200,100,0.93,64.41935483870968,2.18,0.07343397706107244,707.66,38.84,2.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0
complete,101,5,10,unlimited,200,100,1.0,27.62,4.65,0.028056072934026073,209.26,56.71,14.48,3.58,1.18,0.47,0.24,0.15,0.12,0.01
isolated,101,5,10,unlimited,200,100,0.98,62.255102040816325,2.32,0.06470934222135084,584.97,49.86,16.11,6.22,2.21,0.65,0.08,0.0,0.0,0.0
