network_structure,grid_size,sigma,num_agents,agent_range,num_timesteps,num_simulations,success_proportion,avg_time_to_peak,avg_max_visits,avg_visits,one+_visit,two+_visits,three+_visits,four+_visits,five+_visits,six+_visits,seven+_visits,eight+_visits,nine+_visits,ten+_visits
complete,101,1,10,5,200,100,0.48,98.33333333333333,3.58,0.14920105871973333,1463.51,51.93,5.17,0.87,0.27,0.14,0.08,0.02,0.01,0.0
isolated,101,1,10,5,200,100,0.35,67.94285714285714,4.58,0.1517302225272032,1102.22,225.15,115.67,65.05,27.76,9.6,2.06,0.24,0.05,0.0
complete,101,1,10,10,200,100,0.44,92.47727272727273,4.47,0.15066169983334962,1463.63,62.05,8.32,1.73,0.59,0.28,0.14,0.08,0.06,0.02
isolated,101,1,10,10,200,100,0.37,88.89189189189189,4.72,0.15673953533967255,1163.16,220.18,111.5,61.91,28.45,10.45,2.86,0.37,0.02,0.0
complete,101,1,10,unlimited,200,100,0.9,89.9,6.19,0.09990197039505931,892.65,91.11,24.8,6.72,2.14,0.87,0.41,0.24,0.16,0.0
isolated,101,1,10,unlimited,200,100,0.6,78.55,4.19,0.12560533281050876,957.67,159.56,78.05,47.24,24.98,10.77,2.72,0.31,0.0,0.0
complete,101,2,10,5,200,100,0.73,77.08219178082192,3.09,0.10907754141750808,1070.28,37.64,3.79,0.79,0.12,0.05,0.01,0.01,0.01,0.0
isolated,101,2,10,5,200,100,0.59,64.32203389830508,3.65,0.11856680717576705,913.57,162.22,74.42,37.13,16.11,4.82,1.05,0.18,0.0,0.0
complete,101,2,10,10,200,100,0.68,74.23529411764706,3.69,0.11320458778551121,1101.77,45.15,6.07,1.21,0.38,0.11,0.06,0.03,0.02,0.0
isolated,101,2,10,10,200,100,0.54,67.83333333333333,4.0,0.12707577688461913,956.54,167.2,87.38,50.53,23.66,8.61,1.93,0.45,0.0,0.0
complete,101,2,10,unlimited,200,100,1.0,54.15,6.36,0.05406332712479167,426.28,89.9,23.86,7.05,2.29,0.96,0.56,0.39,0.18,0.03
isolated,101,2,10,unlimited,200,100,0.82,83.8170731707317,3.3,0.10364670130379373,845.94,123.04,50.0,24.14,10.17,3.32,0.69,0.0,0.0,0.0
complete,101,3,10,5,200,100,0.86,68.25581395348837,2.84,0.08597196353298693,841.27,31.05,3.6,0.72,0.21,0.08,0.03,0.03,0.01,0.0
isolated,101,3,10,5,200,100,0.63,55.44444444444444,3.58,0.10776394471130278,811.5,139.75,73.6,43.47,20.9,7.4,1.91,0.58,0.19,0.0
complete,101,3,10,10,200,100,0.8,67.8375,3.51,0.09339280462699735,902.22,42.93,5.96,1.09,0.3,0.11,0.06,0.03,0.0,0.0
isolated,101,3,10,10,200,100,0.74,63.0945945945946,3.16,0.09772571316537595,789.39,109.46,50.83,29.05,13.36,4.38,0.42,0.01,0.0,0.0
complete,101,3,10,unlimited,200,100,1.0,43.21,5.54,0.04333888834427996,323.69,85.89,23.14,6.17,1.86,0.67,0.33,0.22,0.12,0.01
isolated,101,3,10,unlimited,200,100,0.95,74.65263157894736,2.71,0.08030585236741496,688.89,81.3,28.9,13.04,4.79,1.87,0.34,0.07,0.0,0.0
complete,101,4,10,5,200,100,0.89,53.0,2.45,0.06878737378688364,675.68,23.01,2.5,0.4,0.07,0.03,0.01,0.0,0.0,0.0
isolated,101,4,10,5,200,100,0.78,53.37179487179487,2.91,0.08492304676012158,675.83,98.39,47.44,26.58,12.52,4.21,1.12,0.21,0.0,0.0
complete,101,4,10,10,200,100,0.9,63.24444444444445,3.27,0.07638466816978727,740.42,33.23,4.35,0.74,0.25,0.11,0.05,0.04,0.01,0.0
isolated,101,4,10,10,200,100,0.72,52.72222222222222,3.17,0.0930889128516812,726.67,112.39,56.75,32.63,14.46,4.55,1.47,0.52,0.16,0.0
complete,101,4,10,unlimited,200,100,1.0,31.91,5.14,0.03226154298598176,239.22,65.96,17.28,4.27,1.26,0.49,0.32,0.2,0.09,0.01
isolated,101,4,10,unlimited,200,100,0.97,66.70103092783505,2.37,0.07028722674247623,627.0,59.19,16.76,7.98,4.12,1.63,0.32,0.0,0.0,0.0
complete,101,5,10,5,200,100,0.96,51.479166666666664,2.43,0.057268895206352324,563.81,18.07,1.85,0.34,0.09,0.03,0.01,0.0,0.0,0.0
isolated,101,5,10,5,200,100,0.88,48.97727272727273,2.46,0.0667581609646113,573.65,64.05,22.31,12.14,5.99,2.4,0.44,0.02,0.0,0.0
complete,101,5,10,10,200,100,0.95,52.54736842105263,3.1,0.05971963532986962,575.65,28.18,3.99,0.87,0.27,0.09,0.09,0.04,0.02,0.0
isolated,101,5,10,10,200,100,0.87,48.57471264367816,2.61,0.06789530438192334,557.31,71.89,34.16,18.05,7.38,2.78,0.76,0.27,0.0,0.0
complete,101,5,10,unlimited,200,100,1.0,33.86,5.33,0.03417312028232526,252.08,71.31,18.53,4.27,1.17,0.54,0.29,0.21,0.17,0.03
isolated,101,5,10,unlimited,200,100,0.99,51.07070707070707,2.13,0.05250465640623469,483.67,40.25,7.86,2.43,1.09,0.26,0.04,0.0,0.0,0.0
